"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0031325","GO:0031325","positive regulation of cellular metabolic process",127,0.423016331711758,1.81408237900326,2.6415584937692e-05,0.000434316242350553,0.000314206431364126,252,"tags=71%, list=48%, signal=48%","Apoc2/Atf3/Lcn2/Ccr5/Trem2/Ptprc/Ccr2/Fcgr2b/C3ar1/Fcer1g/Cybb/Mmp12/Cd74/Aif1/Vsir/Tyrobp/Fcgr3/Creb5/Laptm5/Itgam/Nckap1l/Unc93b1/Il1b/Irf5/Irf7/Cdkn1a/Runx1/Sox11/Csf1r/Apoe/C3/Tcf7l2/Cyba/B2m/Il4ra/Cebpd/Apobec1/Fli1/Lyn/Cx3cr1/Rassf2/Sulf1/Jun/Msn/Plek/Sbno2/Pim1/Vim/Parp14/H2-T23/Mdfic/Adam17/Ctsh/Pbxip1/Trf/Spp1/Stat3/Mmp14/Tnfrsf1a/Irf9/Cebpb/Hmox1/Stat1/Arid5a/Litaf/Tspo/Cd38/Il10rb/Dab2/Notch2/Zfp36/Pnp/Kdr/Myh9/Trim56/Tgfbr2/Camk1/Arap1/Nras/Maf/Adcyap1/Vsx2/Clu/Ccnd3/Nfkbia/Pou2f2/Mafb/Fgf2/Iqgap1/Trim25"
"GO:0060326","GO:0060326","cell chemotaxis",36,0.561832824085248,2.10898900079988,2.8585017698136e-05,0.000466101156350597,0.000337201252707024,121,"tags=56%, list=23%, signal=46%","S100a8/Saa3/S100a9/Ccr5/Ccr2/C3ar1/Fcer1g/Csf3r/Cd74/Vav1/Aif1/Fcgr3/Itgam/Nckap1l/Ccl6/Il1b/Csf1r/Prex1/Lyn/Cx3cr1"
"GO:0006909","GO:0006909","phagocytosis",28,0.598148276533262,2.128981750283,3.02154177893083e-05,0.000488647699166436,0.000353512567060414,129,"tags=68%, list=25%, signal=54%","Trem2/Ptprc/Ccr2/Fcgr2b/Fcer1g/Vav1/Pld4/Aif1/Tyrobp/Fcgr3/Itgam/Nckap1l/Fcgr1/Abca1/C3/Dock2/Cyba/Pros1/Anxa3"
"GO:0060255","GO:0060255","regulation of macromolecule metabolic process",191,0.398122204646499,1.73068766073083,3.11813260239943e-05,0.000500168749962121,0.000361847480432489,266,"tags=68%, list=51%, signal=53%","S100a8/Atf3/Lcn2/S100a9/Pirb/Ccr5/Socs3/Trem2/Ptprc/Ccr2/Fcgr2b/C3ar1/Fcer1g/Cybb/Ptpn6/Mmp12/Cd74/Ifi204/Pld4/Aif1/Vsir/Tyrobp/Fcgr3/Creb5/Laptm5/Nckap1l/Arg1/Unc93b1/Il1b/Crym/Irf5/Irf7/Slfn2/Ctsc/Cdkn1a/Runx1/Sox11/Csf1r/Apoe/Grn/C3/Tcf7l2/Inpp5d/Cyba/B2m/Il4ra/Cebpd/Apobec1/Fli1/Gfap/Ctsz/Trps1/Serpina3n/Lyn/Cx3cr1/Bst2/Rassf2/Sulf1/Anxa3/Ctsd/Jun/Msn/Zfp710/Sbno2/Samsn1/Mertk/Pim1/Vim/Parp14/H2-T23/Mdfic/Srgn/Adam17/Ctsh/Igfbp3/Pbxip1/Trf/Spp1/Stat3/Psmb8/Mmp14/Tnfrsf1a/Irf9/Lgmn/Cebpb/Hmox1/Stat1/Axl/Arid5a/Litaf/Tspo/Ptbp3/Cd38/Txnip/Ctla2a/Cyfip1/Dab2/Notch2/Zfp36/Pnp/Kdr/Zfp36l1/Myh9/Tapbp/Ecm1/Trim56/Tgfbr2/Camk1/Arap1/Nras/Maf/Patl2/Adcyap1/Vsx2/Clu/Ccnd3/Nfkbia/Pou2f2/Mafb/Tsc22d4/Fgf2/Iqgap1/Trim25/Arhgef2/Timp2/Ctsa/Efemp1/Gpnmb/Igfbp5/Fn1"
"GO:0002263","GO:0002263","cell activation involved in immune response",29,0.599190786336767,2.13410584963115,3.44035650105071e-05,0.000543025870125844,0.000392852498141033,129,"tags=69%, list=25%, signal=55%","Trem2/Ptprc/Ccr2/Fcer1g/Lcp1/Ptpn6/Myo1f/Cd74/Tyrobp/Itgam/Nckap1l/Apbb1ip/Slfn2/Grn/Dock2/Il4ra/Lyn/Cx3cr1/Dock10/Anxa3"
"GO:0002366","GO:0002366","leukocyte activation involved in immune response",29,0.599190786336767,2.13410584963115,3.44035650105071e-05,0.000543025870125844,0.000392852498141033,129,"tags=69%, list=25%, signal=55%","Trem2/Ptprc/Ccr2/Fcer1g/Lcp1/Ptpn6/Myo1f/Cd74/Tyrobp/Itgam/Nckap1l/Apbb1ip/Slfn2/Grn/Dock2/Il4ra/Lyn/Cx3cr1/Dock10/Anxa3"
"GO:0006935","GO:0006935","chemotaxis",42,0.542945638673145,2.08602433624021,3.4969528440703e-05,0.000543266768610292,0.000393026776341428,121,"tags=52%, list=23%, signal=44%","S100a8/Saa3/S100a9/Ccr5/Trem2/Ccr2/C3ar1/Fcer1g/Csf3r/Cd74/Vav1/Aif1/Fcgr3/Itgam/Nckap1l/Ccl6/Il1b/Csf1r/Dock2/Prex1/Lyn/Cx3cr1"
"GO:0042330","GO:0042330","taxis",42,0.542945638673145,2.08602433624021,3.4969528440703e-05,0.000543266768610292,0.000393026776341428,121,"tags=52%, list=23%, signal=44%","S100a8/Saa3/S100a9/Ccr5/Trem2/Ccr2/C3ar1/Fcer1g/Csf3r/Cd74/Vav1/Aif1/Fcgr3/Itgam/Nckap1l/Ccl6/Il1b/Csf1r/Dock2/Prex1/Lyn/Cx3cr1"
"GO:0006959","GO:0006959","humoral immune response",22,0.636079796509129,2.14912851594707,3.59592545748028e-05,0.000554278197469421,0.000400993003317702,112,"tags=68%, list=22%, signal=56%","Wfdc17/S100a9/Trem2/Ptprc/Ccr2/Fcgr2b/C1qb/Ptpn6/C1qa/C1qc/Ccl6/Il1b/C3/B2m/Rnase4"
"GO:0010467","GO:0010467","gene expression",185,0.400825493311273,1.73995789447544,3.67994425852509e-05,0.000562831784656589,0.000407181102779276,301,"tags=78%, list=58%, signal=51%","Ecel1/Atf3/Lcn2/S100a9/Ccr5/Trem2/Ptprc/Ccr2/Fcgr2b/C3ar1/Fcer1g/Cybb/Ptpn6/Mmp12/Cd74/Ifi204/Pld4/Aif1/Vsir/Tyrobp/Fcgr3/Creb5/Laptm5/Ctss/Nckap1l/Arg1/Unc93b1/Il1b/Crym/Irf5/Irf7/Slfn2/Cdkn1a/Runx1/Sox11/Csf1r/Apoe/Grn/C3/Tcf7l2/Inpp5d/F13a1/Cyba/B2m/Il4ra/Cebpd/Apobec1/Fli1/Gfap/Ctsz/Trps1/Lyn/Cx3cr1/Bst2/Sulf1/Anxa3/Jun/Msn/Zfp710/Sbno2/Mertk/Pim1/Vim/Parp14/H2-T23/Mdfic/Srgn/Adam17/Ctsh/Pbxip1/Trf/Spp1/Stat3/Npc2/Mmp14/Tnfrsf1a/Irf9/Lgmn/Cebpb/Hmox1/Stat1/Tnfaip8/Axl/Arid5a/Litaf/Tspo/Ptbp3/Cd38/Txnip/Lgals3/Ctla2a/Cyfip1/Dab2/Notch2/Zfp36/Pnp/Kdr/Zfp36l1/Myh9/Tapbp/Ecm1/Trim56/Tgfbr2/Camk1/Arap1/Nras/Maf/Patl2/Adcyap1/Vsx2/Clu/Ccnd3/Nfkbia/Pou2f2/Tgm2/Mafb/Tsc22d4/Fgf2/Iqgap1/Trim25/Arhgef2/Efemp1/Gpnmb/Igfbp5/Fn1/Cfh/Pabpc1/Cflar/Ddit3/Eef1a1/Gadd45a/Sdcbp/Prdx6/Serp1/Sh3pxd2b/Gadd45g/Mapkapk2/Zfp36l2/Isg15/Nsa2/Hspa5/Junb/Tmsb4x/Rplp0/Mapt"
"GO:0001508","GO:0001508","action potential",17,-0.54257810895347,-2.64034599729207,3.73667630073358e-05,0.00056711248779595,0.000410277980874068,212,"tags=94%, list=41%, signal=58%","Calm2/Kcnn2/Ntrk3/Kcnc2/Kcnq2/Scn8a/Scn2a/Kcnc1/Kcnb2/Grin2a/Cacnb4/Fgf12/Scn2b/Kcnd2/Scn1a/Kcna2"
"GO:0050863","GO:0050863","regulation of T cell activation",30,0.592890789647577,2.13514127998696,3.77122808148594e-05,0.000567987252272654,0.000410910829931293,105,"tags=60%, list=20%, signal=51%","Ptprc/Ccr2/H2-Eb1/H2-Ab1/H2-Aa/Ptpn6/Cd74/Vav1/Aif1/Vsir/Laptm5/Nckap1l/Arg1/Il1b/Dock8/Runx1/B2m/Il4ra"
"GO:0002444","GO:0002444","myeloid leukocyte mediated immunity",19,0.661497433444791,2.15391317656159,3.8020561123449e-05,0.000568292174973976,0.000411131426502367,129,"tags=79%, list=25%, signal=62%","Ccr2/Fcgr2b/Fcer1g/Myo1f/Tyrobp/Ncf1/Fcgr3/Itgam/Arg1/Fcgr1/C3/Il4ra/Lyn/Cx3cr1/Anxa3"
"GO:0001909","GO:0001909","leukocyte mediated cytotoxicity",20,0.646582049046015,2.13887153830031,3.8714449232362e-05,0.000574312844627445,0.000415487084757284,166,"tags=90%, list=32%, signal=64%","Ptprc/Fcgr2b/Ptpn6/Vav1/Tyrobp/Ncf1/Fcgr3/Itgam/Nckap1l/Arg1/Fcgr1/Ctsc/H2-K1/B2m/Cx3cr1/H2-T23/Ctsh/H2-D1"
"GO:0050789","GO:0050789","regulation of biological process",412,0.421393324887094,1.77802634092945,4.29793902429988e-05,0.000632823410070423,0.000457816599917568,254,"tags=54%, list=49%, signal=133%","S100a8/Ecel1/Apoc2/Atf3/Lcn2/Saa3/Lst1/Cyth4/Il10ra/S100a9/Pirb/Ccr5/Socs3/Trem2/Bcl2a1b/Arhgap30/Ptprc/Ccr2/Fcgr2b/H2-Eb1/H2-Ab1/Cd53/C3ar1/C1qb/Fcer1g/H2-Aa/Lcp1/Cybb/Hp/Ptpn6/Ms4a6c/Csf3r/Myo1f/Ms4a6d/Mmp12/Cd74/Vav1/Tnfrsf12a/Ifi204/C1qa/Cd68/Pld4/C1qc/Aif1/Ly86/Adgre1/Ms4a7/Vsir/Tyrobp/Ncf1/Fcgr3/Creb5/Laptm5/Ctss/Ifi27l2a/Aoah/Itgam/Nckap1l/Arg1/Unc93b1/Fcgr1/Ccl6/Il1b/Stab1/Oasl2/Dock8/Crym/Arhgap15/Apbb1ip/Abca1/Tbxas1/Irf5/Irf7/Slfn2/Ctsc/Cdkn1a/Runx1/Sox11/Csf1r/Pik3ap1/Apoe/Bmp2k/Skap2/Grn/C3/Tcf7l2/Dock2/Inpp5d/H2-K1/Cyba/B2m/Arhgap45/Il4ra/Cebpd/Apobec1/Fli1/Prex1/Gbp3/Mt2/Osmr/Gfap/Ctsz/Trps1/Serpina3n/Lyn/Cx3cr1/Bst2/Rassf2/Pros1/Fxyd5/Dock10/Sulf1/Anxa3/Rnf213/Ifit2/Ctsd/Jun/Svil/Cfb/Msn/Gda/Plek/Zfp710/Sbno2/Samsn1/Mertk/Tmem176a/Selenop/Pim1/Vim/Edem1/Parp14/H2-T23/Mdfic/Itgb5/Srgn/Adam17/Ctsh/Igfbp3/Zcchc24/Ifitm3/Pbxip1/H2-D1/Marcksl1/Trf/Spp1/Stat3/Adamts5/Slc1a3/Psmb8/Sdc4/Wipf1/Mmp14/Tnfrsf1a/Rbp1/Irf9/Adamts1/Lgmn/Cebpb/Coro1a/Hmox1/Stat1/Tnfaip8/Ucp2/S100a4/Axl/Arid5a/Litaf/Tspo/Ptbp3/Cd38/Txnip/Cotl1/Il10rb/Lgals3/Dusp16/Ctla2a/Rab31/Cyfip1/Dab2/Notch2/Zfp36/Metrn/Pnp/Kdr/Sat1/Zfp36l1/Rap1b/Mcl1/Myh9/P2rx4/Pdpn/Arhgdib/Tapbp/Ecm1/Trim56/Spata13/Tmem176b/Tgfbr2/Camk1/Arap1/Vcam1/Nras/Maf/Arhgap17/Patl2/Adcyap1/Clic1/Cd9/Vsx2/Clu/Ccnd3/Nfkbia/Pou2f2/Tgm2/Mafb/Tsc22d4/Fgf2/Kctd12/Iqgap1/Trim25/Shisa5/Ly6e"
"GO:0031328","GO:0031328","positive regulation of cellular biosynthetic process",104,0.42990898935569,1.81165803108803,4.47543416643035e-05,0.000654076415582747,0.000473192103678718,252,"tags=73%, list=48%, signal=47%","Apoc2/Atf3/Lcn2/Ccr5/Trem2/Ptprc/Ccr2/Fcgr2b/C3ar1/Fcer1g/Cybb/Mmp12/Cd74/Aif1/Vsir/Tyrobp/Fcgr3/Creb5/Laptm5/Unc93b1/Il1b/Irf5/Irf7/Runx1/Sox11/Csf1r/Apoe/C3/Tcf7l2/Cyba/B2m/Il4ra/Cebpd/Apobec1/Fli1/Sulf1/Jun/Msn/Sbno2/Pim1/Vim/H2-T23/Mdfic/Adam17/Ctsh/Pbxip1/Trf/Spp1/Stat3/Mmp14/Tnfrsf1a/Irf9/Cebpb/Stat1/Arid5a/Litaf/Cd38/Dab2/Notch2/Zfp36/Pnp/Kdr/Myh9/Trim56/Camk1/Arap1/Nras/Maf/Adcyap1/Vsx2/Clu/Nfkbia/Pou2f2/Mafb/Fgf2/Trim25"
"GO:0006836","GO:0006836","neurotransmitter transport",19,-0.545208663335237,-2.79077032100604,4.64521093781385e-05,0.000673897145610789,0.000487531426600277,132,"tags=79%, list=25%, signal=61%","Snap47/Cplx2/Rims1/Slc6a17/Sptbn2/Syn2/Rab3a/Snap25/Cacnb4/Nat8l/Rims3/Rph3a/Sncg/Vamp1/Cplx1"
"GO:0050900","GO:0050900","leukocyte migration",38,0.548300046306343,2.07473652740387,4.8313173280599e-05,0.000695780225420598,0.000503362758113656,121,"tags=55%, list=23%, signal=46%","S100a8/S100a9/Trem2/Ccr2/C3ar1/Fcer1g/Csf3r/Myo1f/Cd74/Vav1/Aif1/Fcgr3/Itgam/Nckap1l/Ccl6/Il1b/Dock8/Csf1r/Prex1/Lyn/Cx3cr1"
