"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0048519","GO:0048519","negative regulation of biological process",228,0.385440513068468,1.68058434964022,4.91102405788506e-05,0.000702134091754147,0.000507959467772093,266,"tags=65%, list=51%, signal=57%","Apoc2/Atf3/Lcn2/Lst1/Il10ra/Pirb/Ccr5/Socs3/Trem2/Ptprc/Ccr2/Fcgr2b/Fcer1g/H2-Aa/Ptpn6/Myo1f/Mmp12/Cd74/Cd68/C1qc/Aif1/Vsir/Tyrobp/Laptm5/Aoah/Itgam/Nckap1l/Arg1/Il1b/Stab1/Oasl2/Dock8/Crym/Slfn2/Ctsc/Cdkn1a/Runx1/Sox11/Csf1r/Pik3ap1/Apoe/Skap2/Grn/Tcf7l2/Inpp5d/H2-K1/Cyba/B2m/Arhgap45/Il4ra/Cebpd/Apobec1/Mt2/Gfap/Ctsz/Trps1/Serpina3n/Lyn/Cx3cr1/Bst2/Rassf2/Pros1/Sulf1/Rnf213/Jun/Svil/Plek/Sbno2/Samsn1/Mertk/Tmem176a/Pim1/Vim/Parp14/H2-T23/Mdfic/Srgn/Adam17/Ctsh/Igfbp3/Ifitm3/Pbxip1/H2-D1/Spp1/Stat3/Adamts5/Sdc4/Mmp14/Tnfrsf1a/Adamts1/Lgmn/Cebpb/Coro1a/Hmox1/Stat1/Ucp2/Axl/Arid5a/Litaf/Tspo/Ptbp3/Cd38/Txnip/Lgals3/Dusp16/Ctla2a/Cyfip1/Dab2/Notch2/Zfp36/Pnp/Kdr/Zfp36l1/Rap1b/Mcl1/Myh9/P2rx4/Pdpn/Arhgdib/Ecm1/Trim56/Tmem176b/Tgfbr2/Arap1/Nras/Maf/Arhgap17/Patl2/Adcyap1/Cd9/Vsx2/Clu/Ccnd3/Nfkbia/Mafb/Tsc22d4/Fgf2/Iqgap1/Trim25/Ly6e/Arhgef2/Cd63/Mt1/Timp2/Ctsa/Efemp1/Gpnmb/Igfbp5/Fn1"
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion",27,0.606551067337636,2.14313139966103,5.01733596315098e-05,0.000712172939229991,0.000515222079972187,105,"tags=59%, list=20%, signal=50%","Ccr5/Ptprc/Ccr2/H2-Eb1/H2-Ab1/H2-Aa/Cd74/Vav1/Aif1/Vsir/Nckap1l/Il1b/Dock8/Runx1/B2m/Il4ra"
"GO:0002705","GO:0002705","positive regulation of leukocyte mediated immunity",17,0.680395374847421,2.14850305992948,5.34915521727043e-05,0.000753848803119611,0.000545372516888624,103,"tags=76%, list=20%, signal=63%","Trem2/Ptprc/Fcer1g/Vav1/Tyrobp/Fcgr3/Itgam/Arg1/Fcgr1/Il1b/C3/H2-K1/B2m"
"GO:0051240","GO:0051240","positive regulation of multicellular organismal process",129,0.417934031528374,1.79157915863391,5.59570927859635e-05,0.000783002440189404,0.000566463738841109,233,"tags=65%, list=45%, signal=48%","Lcn2/S100a9/Ccr5/Trem2/Ptprc/Ccr2/Fcgr2b/H2-Eb1/H2-Ab1/C3ar1/Fcer1g/H2-Aa/Cybb/Mmp12/Cd74/Vav1/Tnfrsf12a/Aif1/Vsir/Tyrobp/Fcgr3/Laptm5/Itgam/Nckap1l/Unc93b1/Il1b/Dock8/Abca1/Tbxas1/Irf5/Irf7/Ctsc/Cdkn1a/Runx1/Sox11/Csf1r/Apoe/Grn/C3/Tcf7l2/Inpp5d/Cyba/B2m/Il4ra/Gfap/Lyn/Cx3cr1/Sulf1/Anxa3/Jun/Plek/Pim1/Vim/H2-T23/Adam17/Ctsh/Trf/Spp1/Stat3/Mmp14/Tnfrsf1a/Cebpb/Coro1a/Hmox1/Stat1/Ucp2/Axl/Arid5a/Tspo/Cd38/Lgals3/Cyfip1/Dab2/Notch2/Metrn/Pnp/Kdr/Zfp36l1/Pdpn/Ecm1/Trim56/Tgfbr2/Vcam1/Nras"
"GO:0009059","GO:0009059","macromolecule biosynthetic process",192,0.390621430256119,1.7001214854422,6.15414383351925e-05,0.000855079280530527,0.000618607786378955,301,"tags=77%, list=58%, signal=51%","Ecel1/Atf3/Lcn2/S100a9/Ccr5/Trem2/Ptprc/Ccr2/Fcgr2b/C3ar1/Fcer1g/Cybb/Ptpn6/Mmp12/Cd74/Ifi204/Pld4/Aif1/Vsir/Tyrobp/Fcgr3/Creb5/Laptm5/Ctss/Nckap1l/Arg1/Unc93b1/Il1b/Crym/Abca1/Irf5/Irf7/Slfn2/Cdkn1a/Runx1/Sox11/Csf1r/Apoe/Grn/C3/Tcf7l2/Inpp5d/F13a1/Cyba/B2m/Il4ra/Cebpd/Apobec1/Fli1/Gfap/Ctsz/Trps1/Lyn/Cx3cr1/Bst2/Sulf1/Anxa3/Jun/Msn/Zfp710/Sbno2/Mertk/Pim1/Vim/Parp14/H2-T23/Mdfic/Srgn/Adam17/Ctsh/Pbxip1/Trf/Spp1/Stat3/Npc2/Hexa/Mmp14/Tnfrsf1a/Irf9/Lgmn/Cebpb/Hmox1/Stat1/Tnfaip8/Axl/Arid5a/Litaf/Tspo/Ptbp3/Cd38/Txnip/Lgals3/Ctla2a/Cyfip1/Dab2/Notch2/Zfp36/Pnp/Kdr/Zfp36l1/Myh9/Tapbp/Ecm1/Trim56/Tgfbr2/Camk1/Arap1/Nras/Maf/Patl2/Adcyap1/Vsx2/Clu/Ccnd3/Nfkbia/Pou2f2/Tgm2/Mafb/Tsc22d4/Fgf2/Iqgap1/Trim25/Arhgef2/Efemp1/Gpnmb/Igfbp5/Fn1/Cfh/Pabpc1/Cflar/Ddit3/Eef1a1/Gadd45a/Sdcbp/Prdx6/Dbi/Serp1/Sh3pxd2b/Gadd45g/Mapkapk2/Zfp36l2/Isg15/Nsa2/Hspa5/Junb/Tmsb4x/Rplp0/Mapt"
"GO:0065007","GO:0065007","biological regulation",422,0.417835119291918,1.74544687725991,6.83164619156769e-05,0.000942576079437976,0.000681907415220154,254,"tags=54%, list=49%, signal=145%","S100a8/Ecel1/Apoc2/Atf3/Lcn2/Saa3/Lst1/Cyth4/Il10ra/S100a9/Pirb/Ccr5/Socs3/Trem2/Bcl2a1b/Arhgap30/Ptprc/Ccr2/Fcgr2b/H2-Eb1/H2-Ab1/Cd53/C3ar1/C1qb/Fcer1g/H2-Aa/Lcp1/Cybb/Hp/Ptpn6/Ms4a6c/Csf3r/Myo1f/Ms4a6d/Mmp12/Cd52/Cd74/Vav1/Tnfrsf12a/Ifi204/C1qa/Cd68/Pld4/C1qc/Aif1/Ly86/Adgre1/Ms4a7/Vsir/Tyrobp/Ncf1/Fcgr3/Creb5/Laptm5/Ctss/Ifi27l2a/Aoah/Itgam/Nckap1l/Arg1/Unc93b1/Fcgr1/Ccl6/Il1b/Stab1/Oasl2/Dock8/Crym/Arhgap15/Apbb1ip/Abca1/Tbxas1/Irf5/Irf7/Slfn2/Ctsc/Cdkn1a/Runx1/Sox11/Csf1r/Pik3ap1/Apoe/Bmp2k/Skap2/Grn/C3/Tcf7l2/Dock2/Inpp5d/F13a1/H2-K1/Cyba/B2m/Arhgap45/Il4ra/Cebpd/Apobec1/Fli1/Prex1/Gbp3/Mt2/Osmr/Gfap/Ctsz/Trps1/Serpina3n/Lyn/Cx3cr1/Bst2/Rassf2/Pros1/Fxyd5/Dock10/Sulf1/Anxa3/Rnf213/Ifit2/Ctsd/Jun/Svil/Cfb/Msn/Gda/Plek/Zfp710/Sbno2/Samsn1/Mertk/Tmem176a/Selenop/Pim1/Vim/Edem1/Parp14/H2-T23/Mdfic/Itgb5/Srgn/Adam17/Ctsh/Igfbp3/Zcchc24/Ifitm3/Pbxip1/H2-D1/Marcksl1/Trf/Spp1/Stat3/Adamts5/Slc1a3/Psmb8/Sdc4/Wipf1/Mmp14/Tnfrsf1a/Rbp1/Irf9/Adamts1/Ctsb/Lgmn/Cebpb/Coro1a/Hmox1/Stat1/Tnfaip8/Ucp2/S100a4/Axl/Arid5a/Litaf/Tspo/Ptbp3/Cd38/Txnip/Cotl1/Il10rb/Lgals3/Dusp16/Ctla2a/Rab31/Cyfip1/Dab2/Notch2/Zfp36/Metrn/Pnp/Kdr/Sat1/Zfp36l1/Rap1b/Mcl1/Myh9/P2rx4/Pdpn/Arhgdib/Tapbp/Ecm1/Trim56/Spata13/Tmem176b/Tgfbr2/Camk1/Arap1/Vcam1/Nras/Maf/Arhgap17/Patl2/Adcyap1/Clic1/Cd9/Vsx2/Clu/Ccnd3/Nfkbia/Pou2f2/Tgm2/Mafb/Tsc22d4/Fgf2/Kctd12/Iqgap1/Trim25/Shisa5/Ly6e"
"GO:0014059","GO:0014059","regulation of dopamine secretion",5,-0.877669902912621,-2.36671525424902,7.20895352678237e-05,0.000986135732552494,0.00071342068095136,69,"tags=100%, list=13%, signal=88%","Pcp4/Sncg/Kcna2/Chrna6"
"GO:0019886","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II",10,0.765306058313092,2.12016121778284,7.24732292043141e-05,0.000986135732552494,0.00071342068095136,103,"tags=90%, list=20%, signal=74%","Fcgr2b/H2-Eb1/H2-Ab1/Fcer1g/H2-Aa/Cd74/Ctss/Unc93b1/B2m"
"GO:0002218","GO:0002218","activation of innate immune response",15,0.680190960697337,2.09220951354702,7.45452903474283e-05,0.00100738258805121,0.000728791735480265,120,"tags=73%, list=23%, signal=58%","S100a8/S100a9/Trem2/Ifi204/Tyrobp/Unc93b1/Irf7/Pik3ap1/Cyba/Gbp3/Lyn"
"GO:0016079","GO:0016079","synaptic vesicle exocytosis",13,-0.615568598764644,-2.75035897355447,7.51022343633239e-05,0.00100800481903972,0.00072924188898437,132,"tags=85%, list=25%, signal=65%","Snap47/Cplx2/Rims1/Sptbn2/Rab3a/Snap25/Cacnb4/Rims3/Rph3a/Vamp1/Cplx1"
"GO:0010628","GO:0010628","positive regulation of gene expression",67,0.47018006163609,1.91834618200429,8.02502018742871e-05,0.00106982194795925,0.000773963540124703,108,"tags=43%, list=21%, signal=39%","Atf3/Lcn2/Ccr5/Trem2/Ptprc/Ccr2/Fcgr2b/C3ar1/Fcer1g/Cybb/Mmp12/Cd74/Aif1/Vsir/Tyrobp/Fcgr3/Laptm5/Unc93b1/Il1b/Irf5/Irf7/Runx1/Sox11/Csf1r/C3/Cyba/B2m/Il4ra/Apobec1"
"GO:0022407","GO:0022407","regulation of cell-cell adhesion",36,0.547197344050537,2.05405083219984,9.22618586749389e-05,0.00122169561856144,0.000883836668055226,105,"tags=53%, list=20%, signal=45%","Ccr5/Ptprc/Ccr2/H2-Eb1/H2-Ab1/H2-Aa/Ptpn6/Cd74/Vav1/Aif1/Vsir/Laptm5/Nckap1l/Arg1/Il1b/Dock8/Runx1/B2m/Il4ra"
"GO:0050777","GO:0050777","negative regulation of immune response",19,0.645882197312504,2.10306813747307,9.91516903413858e-05,0.0013041752336237,0.000943506611248556,155,"tags=84%, list=30%, signal=61%","Trem2/Ptprc/Ccr2/Fcgr2b/Ptpn6/Mmp12/Vsir/Nckap1l/Arg1/Grn/Inpp5d/Il4ra/Samsn1/Pim1/Parp14/H2-T23"
"GO:0031629","GO:0031629","synaptic vesicle fusion to presynaptic active zone membrane",8,-0.759765625,-2.57054406526478,0.00010952755557219,0.00142169649436797,0.00102852746091336,132,"tags=100%, list=25%, signal=76%","Cplx2/Rims1/Rab3a/Snap25/Rph3a/Vamp1/Cplx1"
"GO:0099500","GO:0099500","vesicle fusion to plasma membrane",8,-0.759765625,-2.57054406526478,0.00010952755557219,0.00142169649436797,0.00102852746091336,132,"tags=100%, list=25%, signal=76%","Cplx2/Rims1/Rab3a/Snap25/Rph3a/Vamp1/Cplx1"
"GO:0042116","GO:0042116","macrophage activation",13,0.698973874285686,2.0408106132339,0.000112646096207615,0.00145261926678186,0.00105089856523926,145,"tags=92%, list=28%, signal=68%","Trem2/C1qa/Aif1/Tyrobp/Itgam/Ctsc/Csf1r/Grn/Il4ra/Cx3cr1/Jun/Sbno2"
"GO:0002712","GO:0002712","regulation of B cell mediated immunity",9,0.766638029428667,2.05160030162987,0.000121486361504262,0.00154640381450264,0.00111874707096624,96,"tags=89%, list=18%, signal=74%","Trem2/Ptprc/Fcgr2b/Fcer1g/Ptpn6/Fcgr3/Fcgr1/C3"
"GO:0002889","GO:0002889","regulation of immunoglobulin mediated immune response",9,0.766638029428667,2.05160030162987,0.000121486361504262,0.00154640381450264,0.00111874707096624,96,"tags=89%, list=18%, signal=74%","Trem2/Ptprc/Fcgr2b/Fcer1g/Ptpn6/Fcgr3/Fcgr1/C3"
"GO:0006897","GO:0006897","endocytosis",54,0.4846112324635,1.93851059764786,0.000122895939148302,0.00155431851243333,0.00112447296548649,103,"tags=44%, list=20%, signal=40%","Apoc2/Il10ra/Trem2/Ptprc/Ccr2/Fcgr2b/Fcer1g/Myo1f/Vav1/Pld4/Aif1/Tyrobp/Fcgr3/Itgam/Nckap1l/Fcgr1/Abca1/Apoe/Bmp2k/Grn/C3/Dock2/Cyba/B2m"
"GO:0061900","GO:0061900","glial cell activation",12,0.713642613115836,2.06470944070788,0.000135693679734423,0.00169445335516466,0.00122585362904648,136,"tags=92%, list=26%, signal=69%","Trem2/C1qa/Aif1/Tyrobp/Itgam/Il1b/Ctsc/Csf1r/Grn/Cx3cr1/Jun"
"GO:0043170","GO:0043170","macromolecule metabolic process",242,0.37590711840953,1.64530294780777,0.000134903237690998,0.00169445335516466,0.00122585362904648,301,"tags=72%, list=58%, signal=57%","S100a8/Ecel1/Apoc2/Sprr1a/Atf3/Lcn2/Saa3/S100a9/Pirb/Ccr5/Socs3/Trem2/Ptprc/Ccr2/Fcgr2b/C3ar1/Fcer1g/Cybb/Ptpn18/Ptpn6/Mmp12/Cd74/Ifi204/Pld4/Aif1/Vsir/Tyrobp/Fcgr3/Creb5/Laptm5/Ctss/Aoah/Nckap1l/Arg1/Unc93b1/Il1b/Crym/Abca1/Irf5/Irf7/Slfn2/Ctsc/Cdkn1a/Runx1/Sox11/Csf1r/Apoe/Bmp2k/Grn/C3/Tcf7l2/Inpp5d/F13a1/Cyba/B2m/Il4ra/Cebpd/Apobec1/Fli1/Gfap/Ctsz/Trps1/Serpina3n/Lyn/Cx3cr1/Bst2/Rassf2/Sulf1/Anxa3/Rnf213/Ctsd/Jun/Cfb/Msn/Zfp710/Sbno2/Samsn1/Mertk/Pim1/Vim/Edem1/Parp14/H2-T23/Mdfic/Srgn/Adam17/Ctsh/Igfbp3/Pbxip1/Trf/Spp1/Stat3/Npc2/Adamts5/Hexa/Psmb8/Mmp14/Tnfrsf1a/Irf9/Adamts1/Ctsb/Lgmn/Cebpb/Hmox1/Stat1/Tnfaip8/Axl/Arid5a/Litaf/Tspo/Ptbp3/Cd38/Txnip/Lgals3/Ctla2a/Cyfip1/Dab2/Notch2/Zfp36/Pnp/Kdr/Zfp36l1/Myh9/Tapbp/Ecm1/Trim56/Tgfbr2/Camk1/Gusb/Arap1/Nras/Maf/Patl2/Adcyap1/Vsx2/Clu/Ccnd3/Nfkbia/Pou2f2/Tgm2/Mafb/Tsc22d4/Fgf2/Iqgap1/Trim25/Arhgef2/Timp2/Ctsa/Efemp1/Gpnmb/Igfbp5/Fn1/Cfh/Pabpc1/Cflar/Ddit3/Eef1a1/Gadd45a/Sdcbp/Prdx6/Map4k4/Dbi/Serp1/Sh3pxd2b/Gadd45g/Mapkapk2/Slc6a8/Zfp36l2/Isg15/Nsa2/Hspa5/Junb/Tmsb4x/Rplp0/Mapt"
"GO:0002286","GO:0002286","T cell activation involved in immune response",13,0.695848177067957,2.03168444086842,0.000138588545624135,0.00171944108028949,0.00124393101868517,105,"tags=77%, list=20%, signal=63%","Trem2/Ccr2/Fcer1g/Lcp1/Cd74/Tyrobp/Nckap1l/Apbb1ip/Slfn2/Il4ra"
"GO:0008152","GO:0008152","metabolic process",287,0.376401299529044,1.64430811184195,0.000139437695309842,0.00171944108028949,0.00124393101868517,252,"tags=58%, list=48%, signal=67%","S100a8/Ecel1/Apoc2/Sprr1a/Atf3/Lcn2/Saa3/Il10ra/S100a9/Pirb/Ccr5/Socs3/Trem2/Ptprc/Ccr2/Fcgr2b/C3ar1/Fcer1g/Cybb/Ptpn18/Ptpn6/Mmp12/Cd74/Vav1/Ifi204/Pld4/Aif1/Vsir/Tyrobp/Ncf1/Fcgr3/Creb5/Laptm5/Ctss/Aoah/Itgam/Nckap1l/Arg1/Unc93b1/Il1b/Oasl2/Crym/Abca1/Tbxas1/Irf5/Irf7/Slfn2/Ctsc/Cdkn1a/Runx1/Sox11/Csf1r/Apoe/Bmp2k/Grn/C3/Tcf7l2/Inpp5d/F13a1/Cyba/B2m/Il4ra/Cebpd/Apobec1/Fli1/Prex1/Lpcat2/Gfap/Ctsz/Trps1/Serpina3n/Lyn/Cx3cr1/Bst2/Rassf2/Sulf1/Anxa3/Rnf213/Ctsd/Jun/Cfb/Msn/Gda/Plek/Zfp710/Sbno2/Samsn1/Mertk/Selenop/Pnpla7/Pim1/Vim/Edem1/Parp14/H2-T23/Mdfic/Srgn/Adam17/Ctsh/Igfbp3/Pbxip1/Trf/Spp1/Stat3/Npc2/Adamts5/Slc1a3/Hexa/Psmb8/Mmp14/Tnfrsf1a/Rbp1/Irf9/Adamts1/Ctsb/Lgmn/Cebpb/Hmox1/Stat1/Tnfaip8/Ucp2/Axl/Arid5a/Litaf/Tspo/Ptbp3/Cd38/Txnip/Il10rb/Lgals3/Dusp16/Ctla2a/Cyfip1/Dab2/Notch2/Zfp36/Pnp/Kdr/Sat1/Zfp36l1/Mcl1/Myh9/P2rx4/Pdpn/Tapbp/Ecm1/Trim56/Tgfbr2/Camk1/Gusb/Arap1/Vcam1/Nras/Maf/Patl2/Adcyap1/Vsx2/Clu/Ccnd3/Nfkbia/Pou2f2/Tgm2/Mafb/Tsc22d4/Fgf2/Iqgap1/Trim25"
"GO:0098657","GO:0098657","import into cell",61,0.471740797596274,1.91421673231335,0.000141415534959627,0.00173299907127543,0.00125373955805985,103,"tags=43%, list=20%, signal=39%","Apoc2/Lcn2/Il10ra/Trem2/Ptprc/Ccr2/Fcgr2b/Fcer1g/Myo1f/Vav1/Pld4/Aif1/Tyrobp/Fcgr3/Itgam/Nckap1l/Arg1/Fcgr1/Abca1/Apoe/Bmp2k/Grn/C3/Dock2/Cyba/B2m"
"GO:0099504","GO:0099504","synaptic vesicle cycle",20,-0.477316452173272,-2.48149640744047,0.000144202092368833,0.00174617022671747,0.00126326824095227,138,"tags=75%, list=27%, signal=57%","Sncb/Fgf14/Snap47/Cplx2/Rims1/Sptbn2/Syn2/Rab3a/Snap25/Cacnb4/Rims3/Rph3a/Sncg/Vamp1/Cplx1"
"GO:0010557","GO:0010557","positive regulation of macromolecule biosynthetic process",103,0.424471387693054,1.78875676725453,0.000144260388725265,0.00174617022671747,0.00126326824095227,252,"tags=73%, list=48%, signal=47%","Atf3/Lcn2/Ccr5/Trem2/Ptprc/Ccr2/Fcgr2b/C3ar1/Fcer1g/Cybb/Mmp12/Cd74/Aif1/Vsir/Tyrobp/Fcgr3/Creb5/Laptm5/Unc93b1/Il1b/Irf5/Irf7/Runx1/Sox11/Csf1r/Apoe/C3/Tcf7l2/Cyba/B2m/Il4ra/Cebpd/Apobec1/Fli1/Sulf1/Jun/Msn/Sbno2/Pim1/Vim/H2-T23/Mdfic/Adam17/Ctsh/Pbxip1/Trf/Spp1/Stat3/Mmp14/Tnfrsf1a/Irf9/Cebpb/Stat1/Arid5a/Litaf/Cd38/Dab2/Notch2/Zfp36/Pnp/Kdr/Myh9/Trim56/Camk1/Arap1/Nras/Maf/Adcyap1/Vsx2/Clu/Nfkbia/Pou2f2/Mafb/Fgf2/Trim25"
"GO:0051250","GO:0051250","negative regulation of lymphocyte activation",22,0.612649795358318,2.06996536082373,0.00014526110089208,0.00174756190280533,0.00126427505012619,204,"tags=95%, list=39%, signal=61%","Lst1/Fcgr2b/H2-Aa/Ptpn6/Cd74/Vsir/Tyrobp/Laptm5/Arg1/Runx1/Sox11/Inpp5d/Il4ra/Lyn/Samsn1/Mertk/H2-T23/Sdc4/Cebpb/Axl/Lgals3"
"GO:0002695","GO:0002695","negative regulation of leukocyte activation",24,0.595812758622838,2.05480289187831,0.000148601338246627,0.00177691175976118,0.00128550822751149,204,"tags=92%, list=39%, signal=58%","Lst1/Fcgr2b/H2-Aa/Ptpn6/Cd74/Vsir/Tyrobp/Laptm5/Arg1/Runx1/Sox11/Grn/Inpp5d/Il4ra/Lyn/Samsn1/Mertk/H2-T23/Sdc4/Cebpb/Axl/Lgals3"
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse",23,-0.447893941016821,-2.521079342157,0.000154234310019499,0.0018331583955932,0.00132619990099201,138,"tags=70%, list=27%, signal=53%","Sncb/Fgf14/Snap47/Cplx2/Rims1/Sptbn2/Syn2/Rab3a/Snap25/Cacnb4/Rims3/Rph3a/Sncg/Vamp1/Cplx1/Hpca"
"GO:0002275","GO:0002275","myeloid cell activation involved in immune response",17,0.655248433291051,2.06909587569657,0.000159152945273833,0.00186909976800758,0.00135220171548445,145,"tags=82%, list=28%, signal=61%","Trem2/Ccr2/Fcer1g/Ptpn6/Myo1f/Tyrobp/Itgam/Grn/Dock2/Il4ra/Lyn/Cx3cr1/Anxa3/Sbno2"
"GO:0150076","GO:0150076","neuroinflammatory response",14,0.690127719924016,2.06250338522222,0.00015830966111218,0.00186909976800758,0.00135220171548445,136,"tags=86%, list=26%, signal=65%","Trem2/C1qa/Aif1/Tyrobp/Itgam/Il1b/Ctsc/Csf1r/Grn/Lyn/Cx3cr1/Jun"
"GO:1902622","GO:1902622","regulation of neutrophil migration",5,0.869902912621359,1.91602177106201,0.000175676663804479,0.00203888269227199,0.00147503130723761,72,"tags=100%, list=14%, signal=87%","C3ar1/Myo1f/Cd74/Nckap1l/Il1b"
"GO:1902624","GO:1902624","positive regulation of neutrophil migration",5,0.869902912621359,1.91602177106201,0.000175676663804479,0.00203888269227199,0.00147503130723761,72,"tags=100%, list=14%, signal=87%","C3ar1/Myo1f/Cd74/Nckap1l/Il1b"
"GO:0050866","GO:0050866","negative regulation of cell activation",28,0.568149880838829,2.02220883213406,0.000187315405355946,0.00216124733782036,0.00156355610749562,204,"tags=86%, list=39%, signal=55%","Lst1/Trem2/Fcgr2b/H2-Aa/Ptpn6/Cd74/Vsir/Tyrobp/Laptm5/Arg1/Runx1/Sox11/Apoe/Grn/Inpp5d/Il4ra/Lyn/Samsn1/Mertk/H2-T23/Sdc4/Cebpb/Axl/Lgals3"
"GO:0021782","GO:0021782","glial cell development",17,0.649746620497043,2.05172265115674,0.000197969965451204,0.00226251618504062,0.00163681913565507,120,"tags=71%, list=23%, signal=56%","S100a8/S100a9/Trem2/C1qa/Itgam/Il1b/Sox11/Csf1r/Grn/Tcf7l2/Gfap/Lyn"
"GO:0007165","GO:0007165","signal transduction",252,0.369402193407362,1.61468295512488,0.000198385859103917,0.00226251618504062,0.00163681913565507,105,"tags=28%, list=20%, signal=44%","S100a8/Ecel1/Atf3/Lcn2/Saa3/Cyth4/Il10ra/S100a9/Pirb/Ccr5/Socs3/Trem2/Bcl2a1b/Arhgap30/Ptprc/Ccr2/Fcgr2b/C3ar1/Fcer1g/Lcp1/Cybb/Hp/Ptpn6/Ms4a6c/Csf3r/Ms4a6d/Mmp12/Cd74/Vav1/Tnfrsf12a/Ifi204/Aif1/Ly86/Adgre1/Ms4a7/Vsir/Tyrobp/Fcgr3/Laptm5/Ctss/Ifi27l2a/Itgam/Nckap1l/Arg1/Unc93b1/Fcgr1/Ccl6/Il1b/Oasl2/Dock8/Arhgap15/Apbb1ip/Abca1/Irf5/Irf7/Ctsc/Cdkn1a/Runx1/Sox11/Csf1r/Pik3ap1/Apoe/Bmp2k/Grn/C3/Tcf7l2/Dock2/Inpp5d/Cyba/Arhgap45/Il4ra"
"GO:0043067","GO:0043067","regulation of programmed cell death",92,0.429853951201458,1.79876427811056,0.000209931795935101,0.00238043352517215,0.00172212652926798,221,"tags=65%, list=42%, signal=46%","S100a8/Atf3/Lcn2/S100a9/Ccr5/Trem2/Bcl2a1b/Ptprc/Fcgr2b/Fcer1g/Cd74/Tnfrsf12a/Aif1/Laptm5/Ctss/Nckap1l/Arg1/Il1b/Dock8/Irf5/Ctsc/Cdkn1a/Csf1r/Apoe/Grn/Tcf7l2/Inpp5d/Trps1/Lyn/Cx3cr1/Rassf2/Ifit2/Ctsd/Jun/Mertk/Pim1/Adam17/Ctsh/Igfbp3/Spp1/Tnfrsf1a/Lgmn/Cebpb/Coro1a/Hmox1/Tnfaip8/Ucp2/Axl/Tspo/Cd38/Txnip/Lgals3/Dab2/Notch2/Zfp36/Pnp/Kdr/Zfp36l1/Mcl1/Pdpn"
"GO:1903706","GO:1903706","regulation of hemopoiesis",40,0.514169769606711,1.96925448262876,0.000219519772829715,0.00246086654427857,0.0017803158609874,228,"tags=85%, list=44%, signal=52%","Trem2/Ptprc/Ccr2/H2-Aa/Ptpn6/Csf3r/Cd74/C1qc/Vsir/Tyrobp/Itgam/Nckap1l/Runx1/Csf1r/Inpp5d/B2m/Il4ra/Lyn/Rassf2/Jun/Tmem176a/Stat3/Mmp14/Rbp1/Cebpb/Stat1/Axl/Ctla2a/Notch2/Zfp36/Pnp/Zfp36l1/Tmem176b/Tgfbr2"
"GO:0009891","GO:0009891","positive regulation of biosynthetic process",106,0.417689983281222,1.76253464139011,0.000219448738548,0.00246086654427857,0.0017803158609874,252,"tags=72%, list=48%, signal=46%","Apoc2/Atf3/Lcn2/Ccr5/Trem2/Ptprc/Ccr2/Fcgr2b/C3ar1/Fcer1g/Cybb/Mmp12/Cd74/Aif1/Vsir/Tyrobp/Fcgr3/Creb5/Laptm5/Unc93b1/Il1b/Irf5/Irf7/Runx1/Sox11/Csf1r/Apoe/C3/Tcf7l2/Cyba/B2m/Il4ra/Cebpd/Apobec1/Fli1/Sulf1/Jun/Msn/Sbno2/Pim1/Vim/H2-T23/Mdfic/Adam17/Ctsh/Pbxip1/Trf/Spp1/Stat3/Mmp14/Tnfrsf1a/Irf9/Cebpb/Stat1/Arid5a/Litaf/Cd38/Dab2/Notch2/Zfp36/Pnp/Kdr/Myh9/Trim56/Camk1/Arap1/Nras/Maf/Adcyap1/Vsx2/Clu/Nfkbia/Pou2f2/Mafb/Fgf2/Trim25"
"GO:0002886","GO:0002886","regulation of myeloid leukocyte mediated immunity",13,0.685645981570434,2.00189684849108,0.000220916185963836,0.00246252901077202,0.00178151857369588,121,"tags=85%, list=23%, signal=67%","Ccr2/Fcer1g/Tyrobp/Fcgr3/Itgam/Arg1/Fcgr1/C3/Il4ra/Lyn/Cx3cr1"
"GO:0006915","GO:0006915","apoptotic process",104,0.410093219558073,1.72815338386061,0.000253671697550742,0.00281176550150345,0.00203417399100417,221,"tags=62%, list=42%, signal=45%","S100a8/Atf3/Lcn2/S100a9/Ccr5/Trem2/Bcl2a1b/Ptprc/Fcgr2b/Fcer1g/Cd74/Tnfrsf12a/Ifi204/Aif1/Ctss/Ifi27l2a/Itgam/Nckap1l/Il1b/Dock8/Irf5/Ctsc/Cdkn1a/Csf1r/Apoe/Grn/Tcf7l2/Inpp5d/Trps1/Lyn/Cx3cr1/Rassf2/Sulf1/Ifit2/Ctsd/Jun/Mertk/Pim1/Srgn/Adam17/Ctsh/Igfbp3/Spp1/Tnfrsf1a/Ctsb/Lgmn/Cebpb/Coro1a/Hmox1/Tnfaip8/Ucp2/Axl/Tspo/Cd38/Txnip/Lgals3/Dab2/Notch2/Zfp36/Pnp/Kdr/Zfp36l1/Mcl1/P2rx4/Pdpn"
