"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"H2-Q7",3.70071315807282e-07,2.84768604618923,0.013,0.002,0.00902307882201315,"GCL","H2-Q7"
"Selplg",3.72734683536362e-07,3.00262012509842,0.015,0.003,0.00908801705398357,"GCL","Selplg"
"Pnpla7",3.82505980153705e-07,2.01641409603026,0.023,0.007,0.00932626080810764,"GCL","Pnpla7"
"Kctd12",3.92509473796845e-07,1.36067913592642,0.039,0.018,0.00957016599011467,"GCL","Kctd12"
"Tmem151b",3.93697775701324e-07,-1.21019843841868,0.01,0.026,0.00959913916714968,"GCL","Tmem151b"
"Psd",4.05901652053757e-07,-1.20424561155222,0.008,0.023,0.0098966940803747,"GCL","Psd"
"Tspo",4.10666119507708e-07,1.72732143780328,0.025,0.009,0.0100128613258369,"GCL","Tspo"
"Ccl2",4.19471050554081e-07,3.64777391556344,0.012,0.002,0.0102275431546096,"GCL","Ccl2"
"Apoc1",4.34241322786185e-07,2.35252324149398,0.017,0.004,0.0105876719321728,"GCL","Apoc1"
"Il10rb",4.40852003363158e-07,1.71494553128454,0.029,0.012,0.0107488535460005,"GCL","Il10rb"
"Arhgef2",4.46236925768276e-07,1.30956997618239,0.039,0.018,0.0108801487240821,"GCL","Arhgef2"
"Rpp25",4.50714565848569e-07,-1.15445280151202,0.01,0.026,0.0109893225445198,"GCL","Rpp25"
"B3gat2",4.60795093321314e-07,-1.62299250635599,0.008,0.022,0.0112351059653603,"GCL","B3gat2"
"Ccdc92",4.7827650459563e-07,-1.24166926229255,0.022,0.043,0.0116613377350507,"GCL","Ccdc92"
"Tmem240",4.81864718707435e-07,-1.13372139648159,0.023,0.044,0.0117488255715247,"GCL","Tmem240"
"Cflar",4.82735576790364e-07,1.19906300323975,0.05,0.026,0.0117700588333026,"GCL","Cflar"
"Rftn1",4.83708989559869e-07,2.0105787948621,0.02,0.006,0.0117937925834487,"GCL","Rftn1"
"Pdlim4",5.12997227261944e-07,1.74514524442999,0.017,0.004,0.0125078983951007,"GCL","Pdlim4"
"S1pr3",5.2318768141197e-07,1.18959577000734,0.02,0.006,0.0127563620481866,"GCL","S1pr3"
"P2rx7",5.3125009635948e-07,3.67749667506981,0.013,0.002,0.0129529398494368,"GCL","P2rx7"
"Timp1",5.46267438468027e-07,3.54609554447317,0.013,0.002,0.0133190926847274,"GCL","Timp1"
"Rab31",5.48460425562347e-07,1.67042418179092,0.03,0.012,0.0133725620960611,"GCL","Rab31"
"Axl",5.49237621305407e-07,1.73362021853031,0.027,0.01,0.0133915116826684,"GCL","Axl"
"Cyfip1",5.60127106347939e-07,1.64393202719209,0.047,0.024,0.0136570191069755,"GCL","Cyfip1"
"Il21r",6.23250490006506e-07,3.74825527251439,0.012,0.002,0.0151960934473386,"GCL","Il21r"
"Gm5150",6.2674122938394e-07,3.09927478209025,0.012,0.002,0.0152812046548392,"GCL","Gm5150"
"Svop",6.57202078739969e-07,-1.01356550887933,0.029,0.052,0.0160239010838379,"GCL","Svop"
"Gm26936",6.6307522081372e-07,-1.77115891754999,0.005,0.018,0.0161671000338801,"GCL","Gm26936"
"Tmem106a",6.66646643186181e-07,3.39519379142643,0.013,0.002,0.0162541784541655,"GCL","Tmem106a"
"Ankrd34a",6.75129870162096e-07,-2.08509952507271,0.005,0.017,0.0164610164942922,"GCL","Ankrd34a"
"Irf9",6.82482281210075e-07,1.80131382482592,0.031,0.013,0.0166402829804641,"GCL","Irf9"
"Samsn1",6.84333373333377e-07,2.05952963000973,0.026,0.01,0.0166854163086144,"GCL","Samsn1"
"Zfp36l2",7.01973629528526e-07,1.09446550352173,0.05,0.027,0.0171155210351645,"GCL","Zfp36l2"
"Abi3",7.12752354279133e-07,3.3177470853358,0.015,0.003,0.0173783279020338,"GCL","Abi3"
"E130114P18Rik",7.22428056323791e-07,1.44185650416434,0.026,0.01,0.0176142408692867,"GCL","E130114P18Rik"
"Mertk",7.29244379278548e-07,2.03363021600586,0.022,0.007,0.0177804364555696,"GCL","Mertk"
"Svil",7.4069452728629e-07,2.12682369788379,0.025,0.009,0.0180596139642943,"GCL","Svil"
"Myd88",7.43939742579512e-07,2.44945211297625,0.018,0.005,0.0181387388035737,"GCL","Myd88"
"Cd180",7.46849789307306e-07,2.47031558499876,0.018,0.005,0.0182096915628907,"GCL","Cd180"
"Slc15a3",7.75072396314801e-07,4.08733071236531,0.011,0.001,0.0188978151669475,"GCL","Slc15a3"
"Card11",7.99460087943717e-07,4.13836348982081,0.01,0.001,0.0194924358642437,"GCL","Card11"
"Adcyap1",8.02439695123252e-07,1.45901379747618,0.022,0.007,0.0195650846464951,"GCL","Adcyap1"
"Tmcc3",8.23428606020637e-07,1.30900163870084,0.047,0.025,0.0200768362719952,"GCL","Tmcc3"
