,CLMP,LRIG1,NPTXR,AHCY,THOP1,CTSO,FCRL1,CD164,DDC,ACP6,TFF2,S100P,ANGPT2,CD2AP,ANGPTL7,CLEC5A,TINAGL1,GLRX,ENO2,NADK,GHRL,SERPINB8,SERPINB6,CDHR5,CCDC80,DIABLO,CA13,SEMA3F,KLK10,PILRB,ANGPTL1,APLP1,ADGRG2,TYMP,GRAP2,LILRA5,ALDH1A1,CD79B,ANXA4,ANXA11,SIGLEC7,ITGB7,QDPR,SNAP23,APEX1,ENTPD5,CLSTN2,COMT,CLUL1,HDGF,CHRDL2,CTSH,NOMO1,NQO2,SOST,FAM3C,TXNDC5,PPP1R2,DPP7,LRP11,ADGRE2,ENPP7,SSC4D,MCFD2,REG4,SUMF2,CANT1,CD1C,GAL,CDH2,TYRO3,CRKL,IGFBPL1,RTN4R,VCAN,FBP1,TSHB,BAG6,NECTIN2,ARG1,USP8,FKBP4,SDC4,PAG1,KYAT1,DAB2,NPDC1,METRNL,MEP1B,ROR1,NT-proBNP,RNASE3
Cat17,-0.47205,1.27139,1.22811,-0.70485,-0.14382,0.41658,-0.31366,8.07651,-1.89313,-0.99543,1.60105,-0.79540,-1.20344,-0.43107,1.66720,4.28701,-0.60945,1.09226,0.04984,-1.40211,-1.64018,1.94700,3.16226,-2.45452,0.37680,0.89221,-0.44784,-0.25504,0.94453,-0.17034,-0.49590,3.79695,-0.48872,0.24254,-1.65518,-1.08302,-1.02372,-1.61139,-1.39499,-1.12266,-1.31277,-0.99172,-0.10567,-0.90490,-1.00982,-1.17091,3.40090,-1.34797,2.30298,-0.16453,-0.71321,0.86433,-0.51198,-0.63929,-1.96954,5.58359,-1.44923,-0.90121,5.24828,0.10754,-1.61349,-0.71984,-0.62517,1.25047,1.22389,3.50547,2.11423,-1.06466,-1.52156,0.05939,-1.57329,0.13457,1.13029,0.02615,0.55871,-0.67388,-0.32730,-1.53061,-0.24321,2.39642,-2.16422,0.31087,3.47944,0.27335,4.83051,-0.13429,3.34703,-0.63419,-0.86136,0.60910,0.30136,-1.15480
Cat39,-0.35992,2.89979,1.77261,0.33093,0.59057,1.44293,-0.07616,8.53908,-1.17151,0.55073,1.56621,-0.54797,-0.89855,-0.06663,3.15742,4.43910,0.07117,-0.26737,1.41207,-0.60885,-0.52882,0.96242,3.73333,-0.98070,2.11338,0.88388,-1.13733,0.17890,-0.56221,0.15897,-0.09628,4.72005,-0.82390,0.13366,-0.71849,-0.73102,-0.41103,-1.44003,-0.62043,-0.53698,-0.68221,-0.17599,1.09270,-0.13918,-0.04144,-0.49176,4.99743,0.12505,3.91775,0.60100,-0.26133,1.39296,0.51894,0.51762,-1.41341,6.59187,-0.81992,-0.10296,1.59835,0.15180,-1.68226,-0.93690,0.97170,1.17582,1.78061,3.92973,3.08518,-0.92240,-1.48081,1.18748,-1.57162,0.80553,1.81571,0.22785,1.81494,0.13043,-1.11483,-0.89768,0.54805,0.80881,-2.08441,-0.74166,3.95079,0.51656,5.24612,0.23661,2.87428,0.14512,-0.81674,1.64046,-0.21860,-1.65246
Cat36,0.33933,3.27688,2.58591,0.75589,0.48079,4.17695,0.41649,8.45543,-1.19067,0.40531,2.74627,-0.64064,-0.37861,0.15171,4.15831,5.00710,0.93530,-0.07966,2.27078,-0.70706,-0.64876,0.66124,4.25681,-1.71580,2.49639,0.34391,-0.41357,1.07546,1.43928,0.99805,1.52115,8.20120,-0.19649,0.28689,-0.40676,-0.01342,1.25832,-0.28230,-0.63753,-0.15671,-0.07293,-0.69244,1.91483,0.36326,0.26301,0.26457,7.60329,-0.31150,6.48825,1.00683,0.04411,1.85030,0.93786,0.72121,-0.76672,6.25459,-0.52704,0.25553,3.93963,1.43735,-1.03599,-0.19553,1.61550,3.12846,2.79014,5.34448,3.55377,-0.39297,-1.11309,0.97002,-1.18074,1.19547,3.46765,0.94128,1.39542,0.25706,-0.79939,-0.56545,1.34936,0.51763,-1.59614,0.27154,3.69545,1.00394,6.41504,-0.27250,5.47811,1.56174,-0.47355,2.59525,1.21191,0.41573
Cat31,-0.28789,3.25528,2.94197,0.62399,-0.00915,4.39776,0.03882,8.33114,-1.08180,0.45741,3.05436,-1.36272,-0.96067,0.05156,4.57844,5.42205,1.14344,0.04984,2.45944,-0.80757,-0.15860,0.78532,4.29099,-1.56791,2.52710,0.05550,-0.94597,1.34332,0.97316,1.27917,1.57897,7.57018,-0.38531,0.19779,-1.04874,-1.43874,1.03715,-0.22081,-1.23410,0.78189,-0.25610,-1.09743,1.68887,-0.53545,0.42733,0.03643,7.78531,-0.81123,6.15507,0.39916,-0.05571,1.82635,1.37498,0.23174,-0.84754,6.26117,-0.58925,0.22382,3.17448,1.60448,-1.21163,-0.17205,0.66155,3.19924,3.45680,5.55580,3.78923,-0.91411,-1.05836,1.11218,-1.01003,0.71083,3.52226,0.51338,1.43336,0.63404,-0.69239,-1.34152,1.69877,0.70702,-1.95173,0.60528,3.96445,1.08962,6.69394,0.30911,5.88421,1.51505,-0.87189,2.82984,0.86984,-0.25174
Cat25,-1.40811,3.74590,3.40518,0.57291,-0.00344,2.96907,-0.80231,8.42726,-1.27994,0.64017,2.08582,-1.12638,-1.61711,-0.80945,3.92455,4.72972,0.87730,-0.29373,1.95937,-1.10895,-1.87544,1.04762,4.43140,-2.16170,1.81431,-0.64264,-0.96858,0.34742,2.49649,0.96520,0.20773,6.48039,-1.60302,0.99707,-1.88453,-0.83349,-0.46392,-0.84662,-1.35250,0.91498,-0.39923,-1.28261,1.28016,-0.52485,1.15334,-1.94357,7.49853,-0.34610,4.87097,-0.26378,-0.62063,1.19617,0.69754,-0.62643,-1.11872,6.35016,-1.23290,-0.33956,4.96304,0.73926,-1.28879,-0.75191,-3.50272,2.89204,1.94991,5.12231,4.00143,-1.38536,-1.21249,1.24560,-1.29848,0.30048,2.44200,0.98092,2.11843,0.18232,-1.65571,-1.31267,0.85326,-0.11714,-2.30589,0.76590,3.42040,0.70825,6.11893,-0.44947,5.36231,0.26898,-0.92054,2.19315,0.63886,-1.78788
Cat40,0.00694,3.62020,2.75578,0.76093,-0.05702,3.71228,0.16883,8.43369,-1.23453,1.12260,1.40076,-0.57296,-0.83219,0.60591,4.26882,4.35136,0.78154,0.08054,2.24273,-0.90146,-0.71440,0.87625,3.54081,-1.05365,2.51089,0.62733,-1.12852,1.29357,0.40005,0.66121,1.31342,7.96240,-0.35777,0.48885,-0.50591,-0.73962,-0.23906,-1.36697,-0.60921,0.71809,-0.58761,-0.70918,0.76373,-0.20061,0.07102,-0.32426,6.84237,-0.79716,6.64497,0.80225,-0.03943,1.90178,1.35798,1.13377,-1.03798,6.60454,-0.35144,0.29250,1.00886,1.25602,-1.13042,-0.42783,-1.63642,2.83768,2.94868,4.37864,3.55971,-1.06042,-0.89648,1.18868,-1.48109,0.84717,3.53594,1.01582,2.04022,1.12632,-1.19704,-0.69362,1.35734,0.49230,-1.72117,0.24238,4.09449,1.09128,5.18182,-0.16009,5.68603,1.18235,-0.81446,2.25286,0.51766,-1.59743
Cat41,0.08289,3.14035,2.58316,0.80003,0.57270,3.46284,-0.13293,8.50423,-1.20953,1.01174,1.52951,-0.80135,-0.88752,-0.44191,3.93025,4.28558,0.13407,-0.12703,2.35193,-1.18872,-0.37254,0.30206,3.47120,-1.68215,2.28361,1.18261,-1.06829,1.03445,0.43246,0.17176,0.95440,8.10002,-0.23712,0.41673,-1.14802,-0.70275,-0.38466,-1.19378,-0.78567,-0.65606,-0.80327,-0.52857,1.23489,-0.59069,0.41004,-0.40685,6.71118,-0.57624,5.96338,0.86908,-0.45073,1.61215,0.94061,0.05829,-1.26938,6.49714,-1.36516,-0.88386,-0.74614,1.23680,-1.36873,-0.62489,0.99711,2.62725,2.53836,4.27406,3.32162,-1.19271,-1.54521,0.64961,-1.35839,0.31848,3.51193,0.93367,1.81620,0.89636,-1.29712,-1.03548,0.99015,0.47339,-2.17631,0.71299,4.70763,0.71166,4.74201,-0.28928,5.28599,1.07340,-0.54109,2.08627,0.95550,-1.43477
Cat12,0.41446,3.61010,3.90120,0.56808,0.17742,2.59870,0.39826,8.62150,-1.47640,-0.92007,3.11364,-0.79629,-0.63660,-0.30294,3.29049,5.63539,0.29171,0.85086,3.38698,-0.60466,0.45582,1.58816,4.60524,-0.73131,2.63451,-0.53710,-1.53753,0.87452,0.69484,3.00842,0.49529,7.28129,-0.35511,0.24643,-0.85627,0.06359,-0.61297,-0.23631,-0.51319,0.03959,0.00749,-0.64246,2.37277,-0.03033,3.45435,-0.24414,7.16253,-1.16208,3.69563,1.29967,-0.10525,1.21483,1.89874,-0.67716,-0.15254,7.01940,-0.29036,-0.20075,-1.42680,1.65379,-0.83014,-0.63652,1.53559,2.55124,3.79930,5.31181,4.67346,-0.77399,-0.99813,1.29768,-0.85608,1.22226,4.78141,0.72123,1.17605,-0.71547,-0.91366,-0.95879,3.35288,1.96204,-1.69518,1.08612,3.95700,1.37705,5.61448,-0.10094,7.87897,0.90624,-1.24783,1.47905,1.20798,1.19610
Cat21,-0.55978,2.96576,2.54339,-0.17317,0.04223,3.52456,0.00751,8.44832,-1.33680,0.24382,2.20778,-0.82761,-0.78296,-0.21718,4.08009,4.77183,0.86159,-0.24067,1.61179,-0.60671,-1.22586,1.07687,3.61355,-1.18011,2.28881,-0.01287,-0.58692,1.59860,1.12983,1.54896,1.20473,8.05699,-1.24188,0.55658,-0.90783,-0.51106,0.15311,-1.06104,-0.50799,0.08906,-0.50430,-1.05045,1.04868,-0.69902,-0.02996,-0.46458,6.39602,-1.39847,5.65883,0.31199,0.04867,1.80195,1.06631,-0.73835,-1.07335,6.34043,-0.74822,-0.84962,3.67351,2.06511,-1.01821,-0.92649,0.64883,3.02978,3.12254,4.95047,3.46921,-0.57726,-1.10403,0.70297,-1.14225,1.03092,3.56657,0.92235,1.35454,0.78366,0.75728,-1.05377,1.15066,0.62564,-1.84845,0.73013,4.29227,0.87510,5.33203,-0.43582,5.98438,1.11714,-0.94676,2.41631,1.41482,-1.35922
Cat22,-0.77655,2.72123,2.40638,0.65942,0.37805,2.64023,-0.21755,8.30017,-1.58914,0.01062,2.20362,-1.11548,-0.97750,-0.62885,4.10943,4.50584,0.42061,-0.16503,0.88173,-0.90307,-1.43348,0.59433,3.26079,-1.19702,1.76281,1.22664,-1.11004,0.35433,-0.28623,0.88460,0.60200,7.14392,-0.50955,0.02444,-0.88944,-0.82274,0.09886,-1.06969,-0.86538,0.56890,-0.72305,-0.84344,0.36793,-1.05199,-0.48679,-0.12979,5.25217,-0.76801,5.24725,0.19284,0.01477,1.45887,-0.18264,-0.75257,-1.50936,6.14554,-0.99953,-0.57153,4.56128,0.91172,-1.26617,-1.05036,0.37276,2.29640,2.82101,4.55470,3.03140,-1.28414,-1.56295,0.56914,-1.65152,0.96437,2.64920,0.96809,1.47427,0.20752,0.59141,-0.99116,0.59942,0.38999,-2.13498,0.76946,3.73179,0.79403,5.16268,0.15169,4.89723,0.79594,-0.79894,1.88456,1.01178,-1.55290
