	Comparison	raw_p_value	gene	BH_adj_p_value	signif_level	dataresource
IGHA1	Control_vs_POAG	0.003753904	IGHA1	0.032156009	*	Mok et.al
IGHM	Control_vs_POAG	0.004991727	IGHM	0.032156009	*	Mok et.al
IGHG4	Control_vs_POAG	0.295130485	IGHG4	0.389291164	ns	Mok et.al
IGHG2	Control_vs_POAG	0.011216929	IGHG2	0.043154019	*	Mok et.al
IGKC	Control_vs_POAG	0.014473152	IGKC	0.050747636	ns	Mok et.al
HV459	Control_vs_POAG	0.023563841	HV459	0.057256001	ns	Mok et.al
HV307	Control_vs_POAG	NA	HV307	NA	ns	Mok et.al
HV323	Control_vs_POAG	NA	HV323	NA	ns	Mok et.al
HV311	Control_vs_POAG	0.018535982	HV311	0.051344669	ns	Mok et.al
HV169	Control_vs_POAG	0.062003341	HV169	0.113047638	ns	Mok et.al
LV657	Control_vs_POAG	0.057184186	LV657	0.105600129	ns	Mok et.al
LV327	Control_vs_POAG	0.03530271	LV327	0.08188681	ns	Mok et.al
LV325	Control_vs_POAG	0.526102503	LV325	0.625452332	ns	Mok et.al
LV319	Control_vs_POAG	NA	LV319	NA	ns	Mok et.al
LV151	Control_vs_POAG	NA	LV151	NA	ns	Mok et.al
LV147	Control_vs_POAG	0.046319841	LV147	0.095041451	ns	Mok et.al
LV144	Control_vs_POAG	NA	LV144	NA	ns	Mok et.al
KV315	Control_vs_POAG	0.018535982	KV315	0.051344669	ns	Mok et.al
KV320	Control_vs_POAG	0.018535982	KV320	0.051344669	ns	Mok et.al
KVD12	Control_vs_POAG	0.852032066	KVD12	0.919321016	ns	Mok et.al
KV105	Control_vs_POAG	0.006587651	KV105	0.033177807	*	Mok et.al
KNG1	Control_vs_POAG	0.002075105	KNG1	0.032156009	*	Mok et.al
CYTC	Control_vs_POAG	0.023563841	CYTC	0.057256001	ns	Mok et.al
CO5	Control_vs_POAG	0.018535982	CO5	0.051344669	ns	Mok et.al
CO3	Control_vs_POAG	0.004991727	CO3	0.032156009	*	Mok et.al
A2MG	Control_vs_POAG	0.12364969	A2MG	0.193508271	ns	Mok et.al
AACT	Control_vs_POAG	0.004991727	AACT	0.032156009	*	Mok et.al
A1AT	Control_vs_POAG	0.006587651	A1AT	0.033177807	*	Mok et.al
ANT3	Control_vs_POAG	0.006587651	ANT3	0.033177807	*	Mok et.al
CAH2	Control_vs_POAG	0.60650975	CAH2	0.705895802	ns	Mok et.al
FA12	Control_vs_POAG	0.004991727	FA12	0.032156009	*	Mok et.al
PLMN	Control_vs_POAG	0.003753904	PLMN	0.032156009	*	Mok et.al
CFAD	Control_vs_POAG	0.008628478	CFAD	0.03734513	*	Mok et.al
FA10	Control_vs_POAG	0.084648352	FA10	0.144062158	ns	Mok et.al
FA9	Control_vs_POAG	0.003663018	FA9	0.032156009	*	Mok et.al
HPTR	Control_vs_POAG	NA	HPTR	NA	ns	Mok et.al
HPT	Control_vs_POAG	0.174305007	HPT	0.255462894	ns	Mok et.al
THRB	Control_vs_POAG	0.004991727	THRB	0.032156009	*	Mok et.al
PGK1	Control_vs_POAG	0.252870393	PGK1	0.348483079	ns	Mok et.al
CERU	Control_vs_POAG	0.12364969	CERU	0.193508271	ns	Mok et.al
CSTN1	Control_vs_POAG	0.58685436	CSTN1	0.685901509	ns	Mok et.al
ATRN	Control_vs_POAG	0.085293119	ATRN	0.144062158	ns	Mok et.al
SEM7A	Control_vs_POAG	0.103059173	SEM7A	0.165973204	ns	Mok et.al
MYPT2	Control_vs_POAG	0.468738293	MYPT2	0.571984612	ns	Mok et.al
B4GA1	Control_vs_POAG	0.277125123	B4GA1	0.370838933	ns	Mok et.al
XLRS1	Control_vs_POAG	0.07008922	XLRS1	0.125256218	ns	Mok et.al
PER2	Control_vs_POAG	0.129449194	PER2	0.201446217	ns	Mok et.al
APOL1	Control_vs_POAG	0.002704885	APOL1	0.032156009	*	Mok et.al
AGRIN	Control_vs_POAG	0.277125123	AGRIN	0.370838933	ns	Mok et.al
QSOX1	Control_vs_POAG	0.037248152	QSOX1	0.08188681	ns	Mok et.al
GXLT2	Control_vs_POAG	0.618904584	GXLT2	0.717307823	ns	Mok et.al
HV64D	Control_vs_POAG	NA	HV64D	NA	ns	Mok et.al
KV106	Control_vs_POAG	0.057184186	KV106	0.105600129	ns	Mok et.al
KV109	Control_vs_POAG	NA	KV109	NA	ns	Mok et.al
KV108	Control_vs_POAG	0.018535982	KV108	0.051344669	ns	Mok et.al
HV366	Control_vs_POAG	0.103059173	HV366	0.165973204	ns	Mok et.al
HV551	Control_vs_POAG	0.103059173	HV551	0.165973204	ns	Mok et.al
HV338	Control_vs_POAG	0.018535982	HV338	0.051344669	ns	Mok et.al
HV335	Control_vs_POAG	NA	HV335	NA	ns	Mok et.al
HV428	Control_vs_POAG	0.014473152	HV428	0.050747636	ns	Mok et.al
HV320	Control_vs_POAG	NA	HV320	NA	ns	Mok et.al
HV103	Control_vs_POAG	0.163311866	HV103	0.244526415	ns	Mok et.al
HV343	Control_vs_POAG	NA	HV343	NA	ns	Mok et.al
HV374	Control_vs_POAG	0.103059173	HV374	0.165973204	ns	Mok et.al
HV373	Control_vs_POAG	0.147318895	HV373	0.221778988	ns	Mok et.al
HV315	Control_vs_POAG	NA	HV315	NA	ns	Mok et.al
KVD21	Control_vs_POAG	NA	KVD21	NA	ns	Mok et.al
HV349	Control_vs_POAG	0.037248152	HV349	0.08188681	ns	Mok et.al
KVD24	Control_vs_POAG	0.057184186	KVD24	0.105600129	ns	Mok et.al
HV364	Control_vs_POAG	0.018535982	HV364	0.051344669	ns	Mok et.al
LV39	Control_vs_POAG	0.057184186	LV39	0.105600129	ns	Mok et.al
LV218	Control_vs_POAG	NA	LV218	NA	ns	Mok et.al
LVX54	Control_vs_POAG	NA	LVX54	NA	ns	Mok et.al
