Samples,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19
M241_Cholesterol sulfate#,0,0.001,0.003,0,0,0.012,0,0,0.003,0.005,0,0,0.004,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0
M242_Citicoline#,0.08,0,0,0.032,0.043,0,0.036,0.013,0,0.028,0.017,0.013,0,0,0,0.074,0,0,0,0,0,0,0,0.03,0.109,0.041,0,0.026,0.017
M243_Taurodeoxycholic acid#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M245_Coenzyme A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M246_Propionyl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M247_3-Hydroxybutyryl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M248_L-2-Hydroxyglutaric acid,0.746,0.901,0.407,1.44,1.068,0.545,0.355,0.191,0.33,0.428,0.428,0.746,0.39,0.42,0.32,0.55,0.804,1.515,0.852,0.504,0.37,1.199,1.177,0.683,0.605,1.878,0.268,0.51,0.904
M249_Ethanolamine,1.01,1.458,1.066,0.953,1.047,1.285,1.47,1.24,1.052,1.152,0.704,0.925,0.986,0.921,1.203,1.479,1.288,0.617,1.08,0.714,0.806,0.91,1.37,0.797,1.279,1.101,0.621,0.719,0.74
M251_Gamma-Aminobutyric acid,0,0,0.017,0.006,0,0.004,0,0.002,0.008,0,0.008,0.004,0,0.017,0.001,0.017,0.002,0.004,0,0.003,0.003,0.015,0.012,0.008,0.005,0.001,0,0.007,0.009
M254_Creatinine,21.15,17.498,19.288,13.92,16.958,15.473,23.948,21.004,19.478,28.312,19.552,22.278,20.332,16.837,19.581,38.225,25.108,14.829,22.081,18.265,19.196,19.938,45.494,26.608,30.371,22.01,21.536,18.597,16.15
M255_Creatine (s),29.059,28.601,31.855,28.732,17.058,43.943,25.911,40.056,58.928,26.138,23.42,23.18,48.88,32.72,14.697,16.642,37.19,26.655,56.162,41.267,25.978,20.846,19.246,18.782,29.538,14.42,37.756,26.948,26.6
