Samples,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19
M031_L-Glutamic acid,2.709,1.583,2.123,1.342,1.67,3.038,1.712,1.652,3.18,1.962,1.502,1.63,3.709,2.149,1.938,2.878,2.277,1.898,4.552,2.274,1.644,2.244,1.592,2.624,2.704,1.944,2.106,1.604,1.35
M032_Arginine,27.186,23.411,22.472,15.568,21.52,28.538,21.245,21.184,25.673,24.327,21.14,15.378,21.9,21.446,19.479,26.075,28.66,18.34,24.105,25.175,23.809,21.186,20.608,24.792,18.796,18.184,33.632,17.471,16.85
M033_Lysine (s),27.714,18.289,14.622,12.474,12.406,42.435,18.085,11.808,34.32,14.75,13.748,10.38,26.005,22.334,16.286,19.575,22.435,15.136,27.805,23.425,15.784,16.516,11.078,13.552,28.05,10.352,17.115,11.49,13.454
M034_S-Adenosylmethionine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M035_Dihydroxyacetone phosphate+M097,0.039,0.028,0.029,0.014,0.018,0.041,0.021,0.018,0.063,0.053,0.017,0.017,0.037,0.015,0.017,0.023,0.024,0.015,0.021,0.021,0.014,0.019,0.018,0.014,0.032,0.005,0.012,0.016,0.017
M036_Picolinic acid#,0.037,0.022,0.078,0.069,0.025,0.074,0.072,0.073,0.05,0.032,0.021,0.005,0.112,0.079,0.037,0.049,0.099,0.144,0.047,0.032,0.051,0.039,0.02,0.047,0.052,0.037,0.095,0.04,0.07
M039_NADP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M041_NAD,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.018,0,0,0,0
M043_Dephospho-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M046_3-Hydroxy-3-methylglutaryl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M047_Nicotinamide#,0.039,0.022,0.083,0.072,0.026,0.074,0.075,0.073,0.053,0.033,0.022,0.005,0.112,0.08,0.039,0.05,0.106,0.146,0.048,0.032,0.051,0.04,0.022,0.047,0.055,0.039,0.095,0.038,0.072
M048_AICAR,0.003,0.003,0.003,0.001,0.001,0.005,0.002,0.001,0.005,0.003,0.001,0.001,0.004,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.002,0.001
M049_S-Adenosylhomocysteine#,0.021,0.043,0.025,0.027,0.064,0.006,0.071,0.009,0.023,0.033,0.045,0.047,0.01,0.026,0.011,0.083,0.053,0.038,0.02,0.032,0.061,0.035,0.09,0.04,0.057,0.051,0.03,0.025,0.02
M050_Deoxyribose 5-phosphate,0,0,0,0,0,0.007,0.002,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0.001,0,0,0,0,0,0,0,0
M052_dUMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M054_Hypoxanthine,0.527,1.514,0.978,0.606,0.55,0.24,0.62,0.272,0.12,0.388,0.594,0.392,0.539,0.834,0.031,1.067,1.03,2.948,1.519,0.575,0.318,0.536,0.514,0.432,1.363,1.986,1.124,1.448,0.542
M055_D-Ribose 5-phosphate,0.022,0.012,0.023,0.004,0.003,0.015,0.011,0.006,0.017,0.015,0,0.002,0.01,0.013,0.004,0.007,0.014,0.009,0.012,0.011,0.006,0.003,0.004,0.012,0.021,0.009,0.007,0.007,0.007
M056_Glutathione,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M057_Gluconic acid,0.573,0.473,0.757,0.294,1.432,0.39,0.584,0.5,0.975,1.927,0.42,0.634,0.525,0.274,0.211,1.072,0.965,0.537,1.567,0.461,0.456,0.39,1.534,0.834,1.158,1.2,1.413,0.515,0.354
M058_Uric acid (s),325.459,608.143,338.645,233.046,265.184,195.675,318.743,300.17,222.375,388.131,376.19,370.148,210.818,259.32,227.917,544.619,377.253,208.908,394.21,235.595,250.278,273.924,827.698,452.518,175.717,212.438,288.894,233.296,175.062
M062_1-Methylhistidine,1.214,3.257,2.248,1.698,1.322,2.228,2.182,3.246,3.375,3.215,1.758,2.7,2.291,2.06,2.241,5.958,3.027,1.739,2.781,1.639,1.644,2.29,5.922,3.918,4.379,4.358,2.522,1.735,1.608
M063_1-Methylnicotinamide,0.01,0.027,0.03,0.019,0.025,0.008,0.056,0.008,0.016,0.006,0.002,0,0.063,0.035,0.01,0.024,0.037,0.007,0.013,0.01,0.009,0.018,0.022,0.032,0.064,0.008,0.017,0.012,0.02
M064_Gentisic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M065_Deoxycytidine,0.002,0.016,0.005,0,0,0.002,0.009,0,0,0.023,0,0,0.001,0.004,0.002,0.007,0.025,0.001,0.005,0.027,0.003,0,0,0,0.008,0,0.014,0.006,0
M068_2-Ketohexanoic acid_NEG,0.809,1.426,0.712,0.519,0.751,0.982,0.577,0.481,0.637,0.935,0.554,0.645,1.257,0.472,1.094,0.634,1.454,1.183,0.902,0.74,0.821,1.429,1.526,0.767,0.958,0.793,0.407,0.607,0.587
M069_5-Methoxytryptophan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M070_L-Acetylcarnitine#,2.595,3.376,2.294,2.408,2.85,1.77,2.984,2.348,0.84,2.612,1.346,4.928,1.064,1.509,2.932,4.931,3.692,0.811,2.743,2.807,2.387,2.488,7.354,4.204,4.275,0.778,0.926,2.866,0.566
M071_N-Alpha-acetyllysine,1.577,1.106,0.729,1.07,0.672,1.118,1.233,1.2,0.99,1.096,0.982,0.962,0.566,1.731,0.856,1.575,1.786,0.78,2.129,1.952,1.02,1.182,1.842,1.872,1.346,1.024,1.584,0.644,1.156
M072 cis aconitic acid same as M007,0.407,1.667,0.33,0.994,2.137,0.899,1.564,0.897,0.763,3.015,1.344,2.195,0.44,1.28,1.072,2.458,2.576,2.456,1.322,3.552,0.79,2.048,5.321,2.311,1.874,1.093,1.37,1.202,1.4
M073_Adenosine,0.06,0.042,0.179,0.044,0.062,0.138,0.089,0.011,0.055,0.065,0.096,0.026,0.022,0.092,0.05,0.222,0.03,0.096,0.031,0.19,0.036,0.082,0.204,0.124,0.351,0.06,0.008,0.024,0.039
M074_Adenosine diphosphate ribose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M075_ADP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M076_Agmatine#,7.359,4.139,4.168,1.368,1.216,3.57,1.259,0.618,2.138,1.069,0.436,0.306,1.2,0.457,0.35,0.317,0.365,0.253,0.481,0.303,0.171,0.164,0.108,0.094,0.313,0.092,0.149,0.153,0.078
M077_Aminoadipic acid,0.236,0.166,0.125,0.172,0.232,0.165,0.196,0.236,0.188,0.177,0.2,0.142,0.177,0.397,0.18,0.194,0.338,0.173,0.476,0.373,0.338,0.234,0.106,0.206,0.167,0.252,0.265,0.112,0.14
M078_aminolevulinic acid#,0,0.012,0.002,0.003,0.009,0,0.039,0,0,0,0.002,0.004,0,0.002,0.012,0.035,0.007,0.009,0.009,0.009,0.011,0,0.013,0.008,0,0.007,0.005,0.001,0.002
M079_AMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M080_Biotin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.248,0,0,0,0
M082_Butyrylcholine#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M083_Carnitine#,3.395,3.86,2.783,2.846,3.37,3.383,4.34,3.154,1.245,2.885,1.042,3.082,1.18,2.174,2.859,5.539,4.326,0.811,3.429,3.092,2.504,2.644,3.96,4.878,3.104,0.594,1.264,3.736,0.566
M084_Chlorzoxazone,0,0.003,0.008,0.003,0.002,0.011,0.004,0.002,0.009,0.003,0.002,0.549,0.01,0,0,0.003,0.004,0.002,0.004,0.003,0.002,0.002,0,0.003,0,0.002,0.002,0,0.004
M086_Citrulline#,1.786,1.869,1.758,0.782,1.346,1.913,1.963,1.408,1.688,1.635,1.04,0.964,1.65,0.791,0.96,1.961,1.578,1.017,1.5,1.083,1.069,1.344,1.434,2.044,1.5,0.99,2.085,0.957,0.864
M087_CMP,0.002,0,0.004,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.006,0,0,0,0
M089_Cytosine#,0.102,0.219,0.042,0.014,0.02,0.084,0.192,0.014,0.024,0.185,0.013,0.01,0.027,0.122,0.04,0.148,0.361,0.029,0.059,0.333,0.029,0.021,0.015,0.017,0.142,0.021,0.191,0.126,0.023
M090_dAMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M092_deoxyinosine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M093_Deoxyuridine#,0,0.005,0,0,0,0,0.006,0,0,0.014,0.007,0,0,0.043,0.068,0.026,0.022,0,0,0.023,0.047,0,0.082,0,0,0.167,0.013,0.034,0
M096_DL-2-Aminooctanoic acid,0.268,0.119,0.314,0.06,0.55,0.285,0.313,0.236,0.15,0.242,0.274,0.178,0.45,0.2,0.318,0.275,0.116,0.096,0.29,0.581,0.147,0.202,0.29,0.176,0.138,0.118,0.172,0.15,0.4
M097_D-Glyceraldehyde 3-phosphate (s),0,0,0.107,0.087,0.029,0,0.074,0.032,0,0.083,0.051,0.144,0.059,0.068,0.068,0.13,0.071,0,0,0.035,0,0,0.319,0.073,0,0.014,0.08,0.06,0.049
M099_FAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M100_Flavone,0.614,0.419,0.443,0.216,0.208,0.638,0.267,0.182,0.48,0.412,0.176,0.168,0.566,0.163,0.154,0.147,0.194,0.152,0.3,0.221,0.158,0.132,0.122,0.128,0.4,0.124,0.146,0.166,0.156
M101_Folic acid,0.086,0.08,0.092,0.032,0.036,0.173,0.082,0.044,0.173,0.1,0.036,0.04,0.15,0.063,0.044,0.067,0.065,0.047,0.076,0.069,0.04,0.036,0.04,0.048,0.083,0.044,0.055,0.044,0.04
M105_glucosamine#,0.025,0.312,0.044,0.301,0.188,0,0.225,0.201,0.045,0.242,0.163,0.494,0.076,0.196,0.113,0.355,0.121,0.14,0.221,0.256,0.111,0.137,0.322,0.238,0.166,0.061,0.057,0.247,0.092
M107_Glucuronic acid,0.513,0.332,0.495,0.058,0.28,0.419,0.153,0.053,0.7,0.246,0.268,0.139,0.348,0.101,0.045,0.439,0.553,1.241,0.652,0.313,0.13,0.237,0.498,0.344,0.226,0.131,0.236,0.086,0.105
M109_GMP,0.009,0,0.004,0,0.001,0.03,0,0,0.013,0,0.001,0,0,0.005,0.001,0.004,0.002,0,0.021,0,0,0,0,0,0.008,0,0,0,0
M112_Guanidinoacetic acid,2.434,1.861,1.696,2.651,5.343,0.682,3.63,0.964,1.064,5.42,3.001,2.772,1.77,2.009,1.876,7.705,4.753,1.666,0.98,3.605,2.909,3.037,7.266,6.491,1.581,2.643,2.416,2.174,2.167
M113_Guanine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M114_Guanosine,0.028,0.027,0.04,0.03,0.023,0.02,0.042,0.002,0.001,0.02,0.019,0.012,0.028,0.03,0.017,0.035,0.029,0.019,0.057,0.022,0.011,0.07,0.035,0.037,0.023,0.046,0.006,0.024,0.029
M117_Homoserine (s),0.08,0.05,0.097,0.068,0.027,0.056,0.042,0.026,0.187,0.046,0.031,0.033,0.147,0,0.116,0.119,0.02,0.02,0.076,0.044,0,0.039,0.04,0.031,0.145,0.079,0,0,0.044
M118_Hydroxyisocaproic acid,0.255,0.383,0.185,0.304,0.09,0.045,0.254,0.18,0.165,0.288,0.238,1.57,0.334,0.34,0.141,0.361,0.416,0.248,0.21,0.382,0.333,0.288,0.21,0.262,0.071,0.302,1.133,0.207,0.254
M121_Imidazole,0,0.011,0,0,0,0,0.01,0,0.035,0.021,0.005,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0
M122_Imidazoleacetic acid,1.655,2.039,2.012,1.03,1.188,2.625,2.345,1.362,4.08,3.692,1.324,1.076,2.775,1.357,1.662,1.633,1.708,1.688,5.89,1.737,1.371,1.368,1.322,1.53,2.113,1.964,4.494,1.315,1.48
M123_IMP,0.015,0.012,0.023,0.003,0.005,0.044,0.006,0,0.012,0.013,0.004,0.002,0,0.007,0.004,0.023,0.003,0.007,0,0.012,0,0.005,0.01,0.009,0.095,0.003,0,0,0.004
M124_Indole#,0.524,0.429,0.42,0.331,0.41,0.104,0.702,0.377,0.601,0.689,0.831,2.03,0.231,0.503,0.456,1.236,1.185,0.171,0.06,0.605,0.987,0.992,2.717,0.893,0.99,1.035,0.507,0.594,0.422
M125_Indole-3-carboxylic acid,0,0.009,0.01,0.005,0.005,0.019,0.008,0.005,0.013,0.009,0.007,0.006,0.016,0.008,0.008,0.006,0.006,0.008,0.012,0.007,0.008,0.009,0.008,0.006,0.011,0.007,0.006,0.006,0.004
M126_Indoleacrylic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M127_Lipoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M128_L-Pipecolic acid (s),18.564,12.358,15.111,15.422,24.732,16.215,12.639,11.572,11.97,9.904,8.584,9.398,15.218,13.191,11.217,12.175,9.648,8.081,13.99,14.078,8.784,9.23,20.006,16.278,14.854,8.72,5.898,10.481,13.65
M129_Methionine sulfoxide#,4.209,1.402,3.535,2.988,2.604,3.068,4.686,4.454,1.11,2.042,0.492,7.794,1.718,2.811,2.035,3.25,4.715,0.851,4.595,4.213,3.378,5.74,2.32,5.222,3.088,0.394,1.389,4.415,0.488
M131_N-Acetyl-L-aspartic acid,0.959,1.059,0.854,1.008,0.934,0.45,0.845,0.732,1.043,0.777,0.528,0.59,0.518,0.526,0.53,0.386,0.893,0.518,1.667,1.064,1.122,1.038,1.406,0.356,0.442,0.692,0.964,0.725,0.502
M132_N-Acetyl-D-glucosamine#,1.136,0.701,0.489,0.916,0.56,0.54,0.757,0.99,0.15,0.504,0.48,1.382,0.13,0.777,0.464,0.889,1.009,0.422,0.71,1.064,1.251,0.684,1.14,0.53,0.633,0.166,0.402,0.914,0.106
M133_N-Acetyl-L-alanine (s),77.145,83.071,61.897,77.556,70.572,68.685,78.949,81.034,107.025,59.419,90.574,64.066,66.566,99.923,73.297,80.786,76.568,63.532,114.59,95.349,84.731,68.272,46.704,73.672,78.917,64.878,93.591,68.635,59.502
M134_N-Acetylornithine,0.736,0.47,0.522,0.454,0.5,0.713,0.457,0.496,0.795,0.619,0.522,0.564,0.525,0.374,0.451,0.614,0.59,0.366,0.629,0.499,0.507,0.52,0.424,0.57,0.371,0.398,0.783,0.327,0.362
M137_Nicotinic acid#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M138_N-Methyl-D-aspartic acid,0.891,0.604,0.812,0.4,0.478,0.885,0.535,0.476,0.728,0.604,0.416,0.496,1.002,0.634,0.543,0.972,0.777,0.577,1.49,0.518,0.52,0.79,0.516,0.856,0.867,0.57,0.6,0.352,0.37
M140_Ornithine,4.036,3.033,2.34,1.634,2.336,3.668,2.354,1.676,5.4,2.173,1.824,1.004,2.025,1.686,1.923,3.825,2.734,1.704,2.624,2.217,1.729,1.612,2.25,2.192,2.121,1.13,1.963,1.519,1
M143_Pantothenic acid#,1.677,0.51,2.206,1.18,0.658,2.213,4.591,1.99,0.458,0.55,0.158,1.22,1.139,1.189,0.775,0.903,0.76,0.26,1.629,0.793,0.578,4.992,6.95,0.952,7.858,0.186,0.216,0.922,0.296
M144_Perfluoroheptanoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M145_Phenyllactic acid,122.505,108.047,100.542,104.73,96.626,113.085,154.604,123.154,112.41,73.408,112.878,143.922,100.227,118.154,67.565,116.375,87.201,101.871,128.957,118.677,98.729,156.776,76.456,104.498,107.275,90.596,104.942,93.289,82.058
M146_Phenylpropiolic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M149_4-Hydroxybenzoic acid,0.129,0.113,0.043,0.095,0.055,0.039,0.149,0.028,0.117,0.03,0.098,0.048,0.107,0.076,0.032,0.063,0.114,0.069,0.128,0.076,0.081,0.115,0.096,0.052,0.073,0.068,0.029,0.049,0.042
M150_L-Proline,9.968,12.636,6.72,4.718,4.442,7.703,13.203,3.324,7.965,6.515,7.514,9.478,6.927,3.851,3.96,10.786,9,8.679,12.324,8.88,5.944,14.916,11.386,15.628,8.55,4.35,14.333,5.708,4.064
M151_Purine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M152_Pyridoxal 5'-phosphate,0.07,0.028,0.059,0.07,0.051,0.009,0.039,0.013,0.014,0.019,0.008,0.008,0.067,0.06,0.01,0.09,0.044,0.07,0.065,0.023,0.003,0.152,0.019,0.024,0.045,0.045,0.002,0.031,0.064
M153_Pyridoxamine,0.968,0.676,0.683,0.618,0.744,0.893,0.721,0.85,1.14,0.831,0.694,0.698,0.934,0.714,0.866,0.808,1.019,0.863,1.4,0.862,0.929,0.784,0.762,0.808,1,0.86,0.938,0.595,0.596
M154_pyridoxine,0,0,0,0,0,0,0.18,0,0,0,0,0,0.047,0,0,0.039,0.045,0.025,0,0,0,0,0.037,0,0.019,0,0,0,0
M155_Pyroglutamic acid +M128,9.159,5.57,5.488,8.648,11.808,7.32,6.117,7.42,3.735,4.146,4.32,4.62,6.805,7.026,5.071,5.633,3.828,3.797,5.633,7.251,4.702,4.812,11.468,8.972,7.592,6.654,2.141,4.096,6.844
M157_Flavin Mononucleotide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M158_Shikimic acid#,0,0,0,0.017,0.004,0,0.023,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0
M160_Sorbitol#,13.364,9.976,7.929,5.394,4.83,13.433,12.779,7.752,5.288,15.873,3.792,11.44,2.87,8.911,6.939,10.006,9.177,7.484,26.567,16.38,11.802,4.638,7.696,4.19,12.875,2.592,11.493,7.546,1.248
M161_Taurine#,39.482,24.933,35.691,24.75,21.722,36.563,34.252,28.826,11.063,30.115,5.102,23.704,15.232,31.231,24.222,30.617,58.933,16.746,48.238,39.114,18.056,34.38,32.622,20.06,30.833,2.124,13.783,33.761,4.596
M162_Thiamine,0.043,0.027,0.018,0.012,0.008,0.008,0.018,0.004,0.013,0.004,0.004,0.002,0.004,0.002,0.005,0.003,0.005,0.002,0.001,0.001,0.004,0.001,0.002,0,0.025,0.003,0.003,0.003,0.001
M163_Thymidine,0,0.005,0.004,0.003,0.005,0,0.006,0.004,0,0.007,0.007,0,0,0.004,0.005,0,0,0.007,0.014,0.006,0.008,0.01,0.006,0.006,0,0.005,0,0.005,0.004
M164_Thymine#,0,0,0,0,0,0,0,0,0,0.216,0,0,0,0,0.136,0,0.134,0,0.192,0,0,0,0,0,0.11,0,0.158,0.169,0.136
M166_Uridine diphosphate-N-acetylglucosamine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M167_Uridine 5'-monophosphate,0.029,0.03,0.034,0.008,0.01,0.085,0.033,0.012,0.139,0.084,0.011,0.008,0.05,0.019,0.022,0.018,0.03,0.021,0.135,0.023,0.013,0.016,0.012,0.016,0.042,0.023,0.097,0.014,0.014
M168_Uracil#,4.364,4.377,3.088,3.754,2.992,3.833,2.54,4.886,1.44,3.05,2.116,2.572,1.861,3.746,2.88,3.386,4.715,2.665,4.319,4.749,3.067,2.544,2.236,3.182,2.275,1.908,2.109,2.165,1.64
M169_Uridine#,8.85,7.919,5.52,6.986,5.322,7.868,4.957,9.73,2.73,5.569,3.586,4.774,3.041,7.109,5.549,6.533,8.117,5.048,7.138,8.217,5.173,4.92,4.514,5.88,4.146,3.264,3.737,3.985,2.514
M170_Xanthine,2.514,12.817,2.483,3.136,2.992,2.708,1.891,2.992,2.475,1.908,3.41,10.406,2.502,3.326,1.5,3.081,1.981,4.638,3.252,3.101,2.242,2.72,3.658,2.02,2.442,82.636,3.02,28.516,2.762
M171_Xanthosine,0.027,0.024,0.017,0.015,0.025,0.01,0.021,0.007,0.012,0.024,0.025,0.041,0.014,0.017,0.013,0.026,0.017,0.027,0.023,0.022,0.02,0.021,0.052,0.017,0.014,1.34,0.004,0.527,0.013
M172_Xanthylic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M173_Xanthurenic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M174_Adenosine triphosphate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M175_Cytidine triphosphate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M176_Guanosine triphosphate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M177_Uridine triphosphate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M178_dATP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M179_dCTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034
M180_dGTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M181_dTTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M182_L-Cysteine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M183_L-Alanine,180.364,188.808,115.482,116.792,119.332,193.853,146.188,124.354,71.513,138.369,41.578,67.548,56.005,124.62,101.003,144.242,181.486,92.73,281.614,228.088,121.071,164.204,160.674,155.022,196.467,34.242,85.555,178.609,24.45
M184_L-Asparagine#,35.282,18.047,21.185,12.072,19.904,28.328,27.323,23.79,10.508,17.273,3.606,16.464,7.773,23.231,24.271,23.611,21.583,5.433,29.829,32.533,23.329,16.236,22.506,23.624,26.254,1.978,6.781,22.23,2.018
M185_Glycine_2,0.37,3.414,1.574,0,0,6.653,1.454,0.954,6.827,2.43,0,0.992,6.657,3.163,0,0.371,8.968,1.779,0.965,1.801,1.23,0,0.106,0.712,1.26,1.895,3.078,0,2.331
M186_L-Aspartic acid,4.541,5.36,5.543,2.83,2.324,5.483,3.359,2.21,5.258,4.038,1.216,1.212,4.391,2.163,1.44,0.972,0.849,0.246,0.59,0.272,0.287,0.152,0.326,0.152,0.038,0.106,0.239,0.188,0.238
M187_Argininosuccinic acid,0.036,0.029,0.009,0.02,0.032,0.023,0.02,0.024,0.045,0.054,0.014,0.006,0.014,0.014,0.013,0.025,0.024,0.023,0.024,0.028,0.022,0.02,0.04,0.022,0.029,0.026,0.058,0.016,0.012
M188_Sarcosine (s),37.782,37.948,28.842,23.546,21.486,61.995,29.791,15.446,59.138,31.496,25.414,7.592,39.095,16.56,17.228,24.661,34.04,33.813,67.919,21.891,20.611,27.968,25.748,25.848,43.567,29.856,44.106,32.16,23.984
