	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	type
GO:0002274	GO:0002274	myeloid leukocyte activation	37/303	279/28928	0.132616487	12.66115429	20.13674052	1.18E-29	4.20E-27	2.29E-27	C1qa/Fn1/Fcer1g/Grn/Itgam/Ctsc/Tyrobp/Fcgr3/Aif1/Pirb/Thbs1/Csf1r/Ccr2/Clec4d/Sbno2/Lilrb4a/Itgb2/Ptpn6/Ptafr/Fcgr4/Wnt5a/Dock2/Cd300lf/Cd84/Lcp2/Ifngr1/Trem2/Syk/Fgr/Cbl/Hmox1/Myd88/Tlr2/Myo1f/Spi1/Ccl5/Rbpj	37	up
GO:0032680	GO:0032680	regulation of tumor necrosis factor production	32/303	199/28928	0.16080402	15.35227292	20.90197058	1.77E-28	5.77E-26	3.15E-26	Fcer1g/Cybb/Tyrobp/Fcgr3/Ptprc/Thbs1/Csf1r/Cyba/Ccl2/Ccr5/Sirpa/Fcgr2b/Ccr2/Lilrb4a/Ptpn6/Arrb2/Bcl3/Ptafr/Wnt5a/Clec4a3/Adam17/Cd14/Clec4a2/Cd84/Ifngr1/Arid5a/Trem2/Syk/Vsir/Sash3/Myd88/Tlr2	32	up
GO:1903555	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	32/303	202/28928	0.158415842	15.12426886	20.72546804	2.90E-28	8.72E-26	4.76E-26	Fcer1g/Cybb/Tyrobp/Fcgr3/Ptprc/Thbs1/Csf1r/Cyba/Ccl2/Ccr5/Sirpa/Fcgr2b/Ccr2/Lilrb4a/Ptpn6/Arrb2/Bcl3/Ptafr/Wnt5a/Clec4a3/Adam17/Cd14/Clec4a2/Cd84/Ifngr1/Arid5a/Trem2/Syk/Vsir/Sash3/Myd88/Tlr2	32	up
GO:0032640	GO:0032640	tumor necrosis factor production	32/303	205/28928	0.156097561	14.9029381	20.55270009	4.71E-28	1.31E-25	7.18E-26	Fcer1g/Cybb/Tyrobp/Fcgr3/Ptprc/Thbs1/Csf1r/Cyba/Ccl2/Ccr5/Sirpa/Fcgr2b/Ccr2/Lilrb4a/Ptpn6/Arrb2/Bcl3/Ptafr/Wnt5a/Clec4a3/Adam17/Cd14/Clec4a2/Cd84/Ifngr1/Arid5a/Trem2/Syk/Vsir/Sash3/Myd88/Tlr2	32	up
GO:0097530	GO:0097530	granulocyte migration	30/303	170/28928	0.176470588	16.84799068	21.32159023	5.18E-28	1.35E-25	7.36E-26	Spp1/Ccl6/Fcer1g/Itgam/Fcgr3/Pf4/Il1b/C3ar1/Thbs1/Csf1r/Ccl9/Lgals3/Ccl2/S100a9/Sirpa/S100a8/Itgb2/Nckap1l/Prex1/Csf3r/Cmklr1/Ccl8/Syk/Vav1/Myd88/Tlr2/Myo1f/Ccl7/Cxcl10/Ccl5	30	up
GO:0071706	GO:0071706	tumor necrosis factor superfamily cytokine production	32/303	208/28928	0.153846154	14.68799188	20.38353263	7.59E-28	1.85E-25	1.01E-25	Fcer1g/Cybb/Tyrobp/Fcgr3/Ptprc/Thbs1/Csf1r/Cyba/Ccl2/Ccr5/Sirpa/Fcgr2b/Ccr2/Lilrb4a/Ptpn6/Arrb2/Bcl3/Ptafr/Wnt5a/Clec4a3/Adam17/Cd14/Clec4a2/Cd84/Ifngr1/Arid5a/Trem2/Syk/Vsir/Sash3/Myd88/Tlr2	32	up
GO:0050727	GO:0050727	regulation of inflammatory response	40/303	403/28928	0.099255583	9.476123791	17.62938863	4.61E-27	1.06E-24	5.78E-25	Ctss/C3/Fcer1g/Grn/Ctsc/Lgals1/Fcgr3/Pf4/Cebpb/Il1b/Serpine1/Csf1r/Ccr5/S100a9/Sirpa/Fcgr2b/Fcgr1/Ccr2/Acod1/Socs3/Nfkbia/Alox5ap/S100a8/Sbno2/Aoah/Ier3/Ptpn6/Wnt5a/Zbp1/Ncf1/Pik3ap1/Il10ra/Trem2/Tnc/Gpsm3/Myd88/Tlr2/Tnfaip8l2/Ccl5/Fpr2	40	up
GO:0070661	GO:0070661	leukocyte proliferation	39/303	378/28928	0.103174603	9.850280266	17.81968948	4.93E-27	1.07E-24	5.84E-25	Cfb/Itgam/Laptm5/Grem1/Msn/Tyrobp/Coro1a/Cebpb/Arg1/Il1b/Aif1/Ptprc/Csf1r/Lgals3/Vcam1/Csf2rb/Fcgr2b/Ccr2/Slfn2/Lilrb4a/Cd38/Itgb2/Ptpn6/Nckap1l/Inpp5d/Junb/H2-Aa/Dock2/Pnp/Trem2/Syk/Vsir/Sash3/Lst1/Fosl2/Myd88/Dock8/Ccl5/Psmb10	39	up
GO:0071677	GO:0071677	positive regulation of mononuclear cell migration	25/303	106/28928	0.235849057	22.51696868	22.83348638	6.98E-27	1.43E-24	7.83E-25	Lgmn/Mmp14/Coro1a/Aif1/C3ar1/Pla2g7/Serpine1/Thbs1/Csf1r/Lgals3/Ccl2/Ccr2/P2rx4/Wnt5a/Adam17/Cmklr1/Trem2/Ccl7/Cxcl10/Dock8/Ccr1/Spi1/Ccl5/Itga4/Fpr2	25	up
GO:0002449	GO:0002449	lymphocyte mediated immunity	43/303	496/28928	0.086693548	8.276801874	16.8181394	1.20E-26	2.23E-24	1.22E-24	C3/H2-K1/C1qa/H2-D1/Fcer1g/C1qc/Ctsc/Coro1a/Fcgr3/Arg1/Il1b/Unc93b1/C1qb/Pirb/Ptprc/C1ra/Csf2rb/Fcgr2b/Fcgr1/Ccr2/Slfn2/Lilrb4a/Ptpn6/Nckap1l/Inpp5d/Arrb2/Bcl3/Fcgr4/Csf3r/Irf7/Rsad2/H2-Q7/Pnp/Arid5a/Stx7/Trem2/Vsir/Sash3/Pou2f2/Vav1/Fosl2/Myd88/Rftn1	43	up
