	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	type
GO:0043254	GO:0043254	regulation of protein-containing complex assembly	25/303	463/28928	0.05399568	5.155072743	9.272862012	2.84E-11	6.34E-10	3.46E-10	Cotl1/Msn/Lcp1/Coro1a/Lgals3/Cfl1/Vasp/Actr3/Abca1/Gda/Plek/Isg15/Mmp3/Nckap1l/Prex1/Hcls1/Hck/Ifi207/Capg/Trem2/Syk/Myd88/Tlr2/Ifi209/Ikzf1	25	up
GO:0061900	GO:0061900	glial cell activation	11/303	61/28928	0.180327869	17.21625277	13.04412227	3.65E-11	8.09E-10	4.42E-10	C1qa/Grn/Itgam/Ctsc/Tyrobp/Il1b/Aif1/Csf1r/Ifngr1/Trem2/Tlr2	11	up
GO:0002708	GO:0002708	positive regulation of lymphocyte mediated immunity	16/303	174/28928	0.091954023	8.779029627	10.58890812	5.30E-11	1.17E-09	6.38E-10	C3/H2-K1/H2-D1/Fcer1g/Fcgr3/Il1b/Ptprc/Fcgr1/Rsad2/H2-Q7/Pnp/Arid5a/Stx7/Trem2/Sash3/Vav1	16	up
GO:0050864	GO:0050864	regulation of B cell activation	15/303	148/28928	0.101351351	9.676210864	10.88719059	5.34E-11	1.17E-09	6.39E-10	Laptm5/Tyrobp/Mmp14/Ptprc/Fcgr2b/Lilrb4a/Cd38/Ptpn6/Nckap1l/Inpp5d/Pnp/Syk/Sash3/Spi1/Samsn1	15	up
GO:0072593	GO:0072593	reactive oxygen species metabolic process	19/303	263/28928	0.072243346	6.897212915	9.884369537	5.56E-11	1.21E-09	6.62E-10	Lcn2/Cybb/Itgam/Tyrobp/Pid1/Thbs1/Cyba/Acod1/Itgb2/Mmp3/Ier3/Prex1/Nrros/Ncf1/Ncf2/Syk/Vav1/Birc3/Fpr2	19	up
GO:0002704	GO:0002704	negative regulation of leukocyte mediated immunity	12/303	82/28928	0.146341463	13.97150447	12.1019329	6.05E-11	1.31E-09	7.16E-10	Arg1/Ptprc/Fcgr2b/Ccr2/Lilrb4a/Ptpn6/Nckap1l/Arrb2/Cd84/Vsir/Hmox1/Spi1	12	up
GO:0050832	GO:0050832	defense response to fungus	11/303	64/28928	0.171875	16.40924092	12.6967696	6.31E-11	1.36E-09	7.43E-10	Cotl1/Arg1/Clec4d/Clec4a1/Clec4e/Zbp1/Clec4a3/Ncf1/Clec4a2/Clec4n/Spi1	11	up
GO:0051345	GO:0051345	positive regulation of hydrolase activity	22/303	368/28928	0.059782609	5.707562061	9.350635463	6.60E-11	1.42E-09	7.73E-10	Ctsd/Lgmn/Grn/Laptm5/S100a9/Plek/S100a8/Prex1/Tgm2/Wnt5a/Ifi207/Stat1/Apoc2/Syk/Vsir/Vav1/Arap1/Srgap2/Dock8/Ccl5/Sfrp2/Ifi209	22	up
GO:0032963	GO:0032963	collagen metabolic process	14/303	127/28928	0.11023622	10.52446662	11.06723178	7.60E-11	1.62E-09	8.86E-10	Ctsb/Ctss/Fn1/Mmp14/Arg1/Col1a1/Serpine1/Ccl2/Mmp3/Arrb2/Vsir/Mmp12/Fosl2/Mmp9	14	up
GO:1905521	GO:1905521	regulation of macrophage migration	10/303	49/28928	0.204081633	19.48407086	13.32308669	7.85E-11	1.66E-09	9.09E-10	Mmp14/C3ar1/Thbs1/Csf1r/Ccl2/Ccr2/P2rx4/Cmklr1/Trem2/Ccl5	10	up
GO:0032602	GO:0032602	chemokine production	14/303	128/28928	0.109375	10.44224422	11.01499323	8.46E-11	1.78E-09	9.75E-10	Il1b/Aif1/Csf1r/Sirpa/Lilrb4a/Wnt5a/Adam17/Cd84/Trem2/Syk/Fosl2/Myd88/Tlr2/Ccl5	14	up
GO:0070098	GO:0070098	chemokine-mediated signaling pathway	12/303	85/28928	0.141176471	13.47839255	11.85354235	9.34E-11	1.96E-09	1.07E-09	Ccl6/Pf4/Ccl9/Ccl2/Ccr5/Ccr2/Ccl8/Trem2/Ccl7/Cxcl10/Ccr1/Ccl5	12	up
GO:0062207	GO:0062207	regulation of pattern recognition receptor signaling pathway	16/303	183/28928	0.087431694	8.347274072	10.25819365	1.13E-10	2.36E-09	1.29E-09	Cyba/S100a9/Acod1/S100a8/Arrb2/Irf7/Ifi207/Pik3ap1/Cd14/Cd300lf/Rsad2/Trem2/Myd88/Slc15a3/Znrf1/Ifi209	16	up
GO:0001774	GO:0001774	microglial cell activation	10/303	51/28928	0.196078431	18.71998965	13.03085103	1.20E-10	2.49E-09	1.36E-09	C1qa/Grn/Itgam/Ctsc/Tyrobp/Aif1/Csf1r/Ifngr1/Trem2/Tlr2	10	up
GO:0032649	GO:0032649	regulation of type II interferon production	14/303	132/28928	0.106060606	10.12581258	10.81166779	1.28E-10	2.65E-09	1.45E-09	Laptm5/Il1b/Sirpa/Ccr2/Lilrb4a/Isg15/Bcl3/Wnt5a/Cd14/Arid5a/Runx1/Vsir/Sash3/Irf8	14	up
GO:2000406	GO:2000406	positive regulation of T cell migration	9/303	37/28928	0.243243243	23.22290607	13.91620091	1.30E-10	2.66E-09	1.45E-09	Coro1a/Aif1/Ccr2/Wnt5a/Adam17/Cxcl10/Dock8/Ccl5/Itga4	9	up
GO:2000404	GO:2000404	regulation of T cell migration	10/303	52/28928	0.192307692	18.35998985	12.89088952	1.47E-10	3.00E-09	1.64E-09	Coro1a/Aif1/Ccr2/Ecm1/Wnt5a/Adam17/Cxcl10/Dock8/Ccl5/Itga4	10	up
GO:0002495	GO:0002495	antigen processing and presentation of peptide antigen via MHC class II	8/303	26/28928	0.307692308	29.37598375	14.89271631	1.75E-10	3.56E-09	1.95E-09	Ctss/Lgmn/Fcer1g/Unc93b1/Fcgr2b/H2-Ab1/H2-Aa/Trem2	8	up
GO:0001910	GO:0001910	regulation of leukocyte mediated cytotoxicity	14/303	137/28928	0.102189781	9.756257378	10.5694087	2.12E-10	4.26E-09	2.33E-09	H2-K1/H2-D1/Itgam/Tyrobp/Arg1/Ptprc/Ccl2/Nckap1l/Arrb2/H2-Q7/Pnp/Stx7/Vav1/Spi1	14	up
GO:0002220	GO:0002220	innate immune response activating cell surface receptor signaling pathway	12/303	91/28928	0.131868132	12.58970732	11.39248304	2.12E-10	4.26E-09	2.33E-09	Tyrobp/Cyba/Acod1/Nfkbia/Pik3ap1/Cd14/Trem2/Syk/Myd88/Tlr2/Znrf1/Clec4n	12	up
GO:0048872	GO:0048872	homeostasis of number of cells	23/303	431/28928	0.053364269	5.094790686	8.811929927	2.28E-10	4.56E-09	2.49E-09	Fcer1g/Itgam/Coro1a/Pirb/Csf1r/Ccl2/Fcgr2b/Ccr2/Mafb/Lilrb4a/Isg15/Nckap1l/Slc7a11/Inpp5d/Ptbp3/Hcls1/Adam17/Stat1/Sash3/Hmox1/Fosl2/Spi1/Ikzf1	23	up
GO:0007015	GO:0007015	actin filament organization	24/303	476/28928	0.050420168	4.813711623	8.631677211	2.89E-10	5.75E-09	3.14E-09	Arpc1b/Cotl1/Lcp1/Coro1a/Myh9/Aif1/Cfl1/Marcks/Vasp/Sirpa/Actr3/Plek/Tpm4/Iqgap1/Nckap1l/Prex1/Hcls1/Tpm3/Gmfg/Capg/Msrb1/Arap1/Tlr2/Myo1f	24	up
GO:0032642	GO:0032642	regulation of chemokine production	13/303	117/28928	0.111111111	10.60799413	10.71387952	3.30E-10	6.54E-09	3.57E-09	Il1b/Aif1/Csf1r/Sirpa/Lilrb4a/Wnt5a/Adam17/Cd84/Trem2/Syk/Myd88/Tlr2/Ccl5	13	up
GO:0032609	GO:0032609	type II interferon production	14/303	145/28928	0.096551724	9.217981108	10.20660659	4.52E-10	8.91E-09	4.87E-09	Laptm5/Il1b/Sirpa/Ccr2/Lilrb4a/Isg15/Bcl3/Wnt5a/Cd14/Arid5a/Runx1/Vsir/Sash3/Irf8	14	up
GO:0008360	GO:0008360	regulation of cell shape	14/303	146/28928	0.095890411	9.154844252	10.16323292	4.95E-10	9.71E-09	5.31E-09	Fn1/Msn/Coro1a/Myh9/Csf1r/Cfl1/Hck/Lst1/Plxnd1/Fgr/Arap1/Prpf40a/Ccl7/Cdc42se1	14	up
GO:0045055	GO:0045055	regulated exocytosis	18/303	266/28928	0.067669173	6.460507705	9.204937861	5.20E-10	1.01E-08	5.54E-09	Fcer1g/Itgam/Coro1a/Myh9/Ccr2/Plek/Itgb2/Syngr2/Nckap1l/Ptafr/Fcgr4/Cd84/Syk/Fgr/Cbl/Hmox1/Myo1f/Spi1	18	up
GO:0002446	GO:0002446	neutrophil mediated immunity	9/303	43/28928	0.209302326	19.98250058	12.81597725	5.56E-10	1.08E-08	5.90E-09	Itgam/Arg1/Itgb2/Ptafr/Ncf1/Syk/Myd88/Myo1f/Spi1	9	up
GO:0010810	GO:0010810	regulation of cell-substrate adhesion	17/303	235/28928	0.072340426	6.906481286	9.353519342	5.71E-10	1.10E-08	6.02E-09	Spp1/Fn1/Grem1/Mmp14/Lgals1/Myh9/Col1a1/Fbln2/Serpine1/Thbs1/Cfl1/Ndnf/Iqgap1/Ptpn1/Prex1/Mmp12/Dab2	17	up
GO:0070665	GO:0070665	positive regulation of leukocyte proliferation	15/303	175/28928	0.085714286	8.18330976	9.806235101	5.75E-10	1.11E-08	6.04E-09	Coro1a/Il1b/Aif1/Ptprc/Csf1r/Vcam1/Csf2rb/Ccr2/Cd38/Nckap1l/Pnp/Syk/Sash3/Myd88/Ccl5	15	up
GO:0002763	GO:0002763	positive regulation of myeloid leukocyte differentiation	11/303	78/28928	0.141025641	13.46399255	11.34049047	5.80E-10	1.11E-08	6.06E-09	Itgam/Tyrobp/Csf1r/Ccl9/Hcls1/Trem2/Runx1/Ccr1/Ccl5/Evi2/Ikzf1	11	up
GO:0002455	GO:0002455	humoral immune response mediated by circulating immunoglobulin	10/303	60/28928	0.166666667	15.9119912	11.89606093	6.51E-10	1.24E-08	6.77E-09	C3/C1qa/C1qc/C1qb/Ptprc/C1ra/Fcgr2b/Ptpn6/Bcl3/Trem2	10	up
GO:0042063	GO:0042063	gliogenesis	22/303	417/28928	0.052757794	5.0368893	8.542970509	7.04E-10	1.33E-08	7.28E-09	C1qa/Fn1/Col3a1/Grn/Itgam/Mmp14/Il1b/Csf1r/Ccl2/S100a9/Actr3/Ccr2/S100a8/P2rx4/Arrb2/Nrros/Ifngr1/B4galt5/Trem2/Myd88/Tlr2/Srgap2	22	up
GO:0001912	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	12/303	102/28928	0.117647059	11.23199379	10.6504615	8.18E-10	1.54E-08	8.43E-09	H2-K1/H2-D1/Itgam/Tyrobp/Arg1/Ptprc/Ccl2/H2-Q7/Pnp/Stx7/Vav1/Spi1	12	up
GO:0042554	GO:0042554	superoxide anion generation	9/303	46/28928	0.195652174	18.67929402	12.34611923	1.06E-09	1.98E-08	1.08E-08	Cybb/Itgam/Tyrobp/Cyba/Itgb2/Ncf1/Ncf2/Syk/Fpr2	9	up
GO:0001794	GO:0001794	type IIa hypersensitivity	6/303	12/28928	0.5	47.7359736	16.65992622	1.10E-09	2.04E-08	1.11E-08	C3/Fcer1g/Fcgr3/Fcgr2b/Fcgr1/Fcgr4	6	up
GO:0002445	GO:0002445	type II hypersensitivity	6/303	12/28928	0.5	47.7359736	16.65992622	1.10E-09	2.04E-08	1.11E-08	C3/Fcer1g/Fcgr3/Fcgr2b/Fcgr1/Fcgr4	6	up
GO:0038094	GO:0038094	Fc-gamma receptor signaling pathway	6/303	12/28928	0.5	47.7359736	16.65992622	1.10E-09	2.04E-08	1.11E-08	Fcer1g/Fcgr3/Fcgr1/Clec4d/Clec4e/Fcgr4	6	up
GO:0070664	GO:0070664	negative regulation of leukocyte proliferation	12/303	105/28928	0.114285714	10.91107968	10.46758005	1.15E-09	2.12E-08	1.16E-08	Laptm5/Grem1/Tyrobp/Cebpb/Arg1/Fcgr2b/Lilrb4a/Ptpn6/Inpp5d/H2-Aa/Vsir/Lst1	12	up
GO:0050671	GO:0050671	positive regulation of lymphocyte proliferation	14/303	156/28928	0.08974359	8.567995261	9.7512073	1.19E-09	2.18E-08	1.19E-08	Coro1a/Il1b/Aif1/Ptprc/Csf1r/Vcam1/Ccr2/Cd38/Nckap1l/Pnp/Syk/Sash3/Myd88/Ccl5	14	up
GO:0032946	GO:0032946	positive regulation of mononuclear cell proliferation	14/303	159/28928	0.088050314	8.406334973	9.634735439	1.53E-09	2.79E-08	1.52E-08	Coro1a/Il1b/Aif1/Ptprc/Csf1r/Vcam1/Ccr2/Cd38/Nckap1l/Pnp/Syk/Sash3/Myd88/Ccl5	14	up
GO:0007596	GO:0007596	blood coagulation	15/303	188/28928	0.079787234	7.617442595	9.36539264	1.56E-09	2.83E-08	1.55E-08	Fcer1g/Pf4/Serpine1/Thbs1/S100a9/Plek/Lilrb4a/Ptpn6/Slc7a11/Pros1/F13a1/Rasa3/Syk/Emilin2/Plat	15	up
GO:0052547	GO:0052547	regulation of peptidase activity	21/303	400/28928	0.0525	5.012277228	8.313531181	1.89E-09	3.41E-08	1.86E-08	Serpina3n/Ctsd/Lgmn/Grn/Laptm5/Serpine1/Thbs1/S100a9/Cstb/Ecm1/Timp1/Psmb8/S100a8/Ifi207/Stat1/Slpi/Syk/Vsir/Mmp9/Sfrp2/Ifi209	21	up
GO:0002369	GO:0002369	T cell cytokine production	9/303	49/28928	0.183673469	17.53566377	11.91869927	1.92E-09	3.41E-08	1.86E-08	Arg1/Il1b/Ccr2/Lilrb4a/Rsad2/Arid5a/Vsir/Sash3/Fosl2	9	up
GO:0019886	GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II	7/303	22/28928	0.318181818	30.37743774	14.18180535	1.92E-09	3.41E-08	1.86E-08	Ctss/Lgmn/Fcer1g/Unc93b1/Fcgr2b/H2-Ab1/H2-Aa	7	up
GO:0048245	GO:0048245	eosinophil chemotaxis	7/303	22/28928	0.318181818	30.37743774	14.18180535	1.92E-09	3.41E-08	1.86E-08	Ccl6/Ccl9/Lgals3/Ccl2/Ccl8/Ccl7/Ccl5	7	up
GO:0061760	GO:0061760	antifungal innate immune response	7/303	22/28928	0.318181818	30.37743774	14.18180535	1.92E-09	3.41E-08	1.86E-08	Clec4d/Clec4a1/Clec4e/Clec4a3/Clec4a2/Clec4n/Spi1	7	up
GO:0032611	GO:0032611	interleukin-1 beta production	12/303	110/28928	0.109090909	10.41512151	10.17866024	1.98E-09	3.49E-08	1.91E-08	Tyrobp/Il1b/Ccr5/Sirpa/Lilrb4a/Arrb2/Wnt5a/Ifi207/Trem2/Myd88/Tlr2/Ifi209	12	up
GO:0002820	GO:0002820	negative regulation of adaptive immune response	10/303	67/28928	0.149253731	14.24954436	11.17076516	2.01E-09	3.51E-08	1.92E-08	Lgals1/Pf4/Arg1/Ptprc/Fcgr2b/Lilrb4a/Ptpn6/Nckap1l/Vsir/Samsn1	10	up
GO:0060760	GO:0060760	positive regulation of response to cytokine stimulus	10/303	67/28928	0.149253731	14.24954436	11.17076516	2.01E-09	3.51E-08	1.92E-08	Laptm5/Wnt5a/Parp14/Irf7/Zbp1/Adam17/Cd300lf/Trem2/Mmp12/Tlr2	10	up
GO:0007599	GO:0007599	hemostasis	15/303	192/28928	0.078125	7.458745875	9.238169331	2.08E-09	3.63E-08	1.98E-08	Fcer1g/Pf4/Serpine1/Thbs1/S100a9/Plek/Lilrb4a/Ptpn6/Slc7a11/Pros1/F13a1/Rasa3/Syk/Emilin2/Plat	15	up
GO:2000377	GO:2000377	regulation of reactive oxygen species metabolic process	14/303	163/28928	0.085889571	8.200044544	9.484120444	2.12E-09	3.67E-08	2.00E-08	Lcn2/Itgam/Tyrobp/Pid1/Thbs1/Cyba/Acod1/Itgb2/Mmp3/Ier3/Ncf2/Syk/Birc3/Fpr2	14	up
GO:0050817	GO:0050817	coagulation	15/303	193/28928	0.077720207	7.420099523	9.206935032	2.24E-09	3.87E-08	2.11E-08	Fcer1g/Pf4/Serpine1/Thbs1/S100a9/Plek/Lilrb4a/Ptpn6/Slc7a11/Pros1/F13a1/Rasa3/Syk/Emilin2/Plat	15	up
GO:0051607	GO:0051607	defense response to virus	19/303	329/28928	0.05775076	5.513577498	8.471175771	2.41E-09	4.15E-08	2.27E-08	Il1b/Unc93b1/Ptprc/Samhd1/Acod1/Isg15/Irf5/Irf7/Zbp1/Ifi207/Stat1/Rsad2/Ifngr1/Slfn8/Mmp12/Myd88/Cxcl10/Ccl5/Ifi209	19	up
GO:0002675	GO:0002675	positive regulation of acute inflammatory response	8/303	35/28928	0.228571429	21.82215936	12.68129874	2.43E-09	4.16E-08	2.27E-08	C3/Fcer1g/Fcgr3/Il1b/Ccr5/Fcgr1/Alox5ap/Ccl5	8	up
GO:0045576	GO:0045576	mast cell activation	11/303	90/28928	0.122222222	11.66879355	10.42927842	2.77E-09	4.73E-08	2.58E-08	Fcer1g/Fcgr3/Lilrb4a/Ptpn6/Cd300lf/Cd84/Lcp2/Syk/Fgr/Cbl/Hmox1	11	up
GO:0006953	GO:0006953	acute-phase response	9/303	51/28928	0.176470588	16.84799068	11.65422835	2.79E-09	4.73E-08	2.58E-08	Serpina3n/Saa3/Fn1/Hp/Il1b/Il1rn/Ccr5/Ass1/Ccl5	9	up
GO:0000768	GO:0000768	syncytium formation by plasma membrane fusion	10/303	70/28928	0.142857143	13.6388496	10.89240337	3.12E-09	5.21E-08	2.85E-08	Tyrobp/Myh9/Cd53/Sbno2/Ehd1/Dock2/Stat1/Ccl8/Trem2/Cxcl10	10	up
GO:0140253	GO:0140253	cell-cell fusion	10/303	70/28928	0.142857143	13.6388496	10.89240337	3.12E-09	5.21E-08	2.85E-08	Tyrobp/Myh9/Cd53/Sbno2/Ehd1/Dock2/Stat1/Ccl8/Trem2/Cxcl10	10	up
GO:0002720	GO:0002720	positive regulation of cytokine production involved in immune response	11/303	91/28928	0.120879121	11.54056505	10.36119422	3.13E-09	5.21E-08	2.85E-08	Fcer1g/Laptm5/Il1b/Irf5/Wnt5a/Rsad2/Arid5a/Syk/Sash3/Myd88/Tlr2	11	up
GO:0150076	GO:0150076	neuroinflammatory response	11/303	91/28928	0.120879121	11.54056505	10.36119422	3.13E-09	5.21E-08	2.85E-08	C1qa/Grn/Itgam/Ctsc/Tyrobp/Il1b/Aif1/Csf1r/Ifngr1/Trem2/Tlr2	11	up
GO:0032479	GO:0032479	regulation of type I interferon production	13/303	141/28928	0.092198582	8.80237811	9.555174211	3.37E-09	5.60E-08	3.06E-08	Tyrobp/Sirpa/Acod1/Isg15/Irf5/Irf7/Stat1/Cd14/Syk/Mmp12/Irf8/Myd88/Tlr2	13	up
GO:0034612	GO:0034612	response to tumor necrosis factor	16/303	231/28928	0.069264069	6.612775563	8.811821315	3.46E-09	5.72E-08	3.12E-08	Laptm5/Col1a1/Pid1/Ccl2/Cfl1/Actr3/Acod1/Nfkbia/Adam17/Stat1/Cd14/Syk/Ass1/Cxcl16/Birc3/Ccl5	16	up
GO:0002286	GO:0002286	T cell activation involved in immune response	13/303	142/28928	0.091549296	8.740389532	9.512980203	3.68E-09	6.05E-08	3.31E-08	Fcer1g/Lcp1/Tyrobp/Lgals1/Pf4/Lgals3/Ccr2/Clec4d/Slfn2/Nckap1l/Bcl3/Clec4e/Trem2	13	up
GO:0045619	GO:0045619	regulation of lymphocyte differentiation	16/303	233/28928	0.068669528	6.556013541	8.760691875	3.91E-09	6.40E-08	3.49E-08	Mmp14/Lgals1/Pf4/Ptprc/Ccr2/Lilrb4a/Ptpn6/Nckap1l/Inpp5d/H2-Aa/Pnp/Runx1/Syk/Vsir/Sash3/Spi1	16	up
GO:0002724	GO:0002724	regulation of T cell cytokine production	8/303	37/28928	0.216216216	20.64258318	12.3003775	3.92E-09	6.40E-08	3.49E-08	Arg1/Il1b/Ccr2/Lilrb4a/Rsad2/Arid5a/Vsir/Sash3	8	up
GO:0045862	GO:0045862	positive regulation of proteolysis	19/303	339/28928	0.056047198	5.350935094	8.290547955	3.94E-09	6.41E-08	3.50E-08	Ctsd/Lgmn/Grn/Laptm5/Ctsc/Mmp14/Il1b/Myh9/Cfl1/S100a9/S100a8/Ifi207/Stat1/Trem2/Syk/Vsir/Dab2/Sfrp2/Ifi209	19	up
GO:0045824	GO:0045824	negative regulation of innate immune response	12/303	117/28928	0.102564103	9.791994584	9.803957974	4.04E-09	6.54E-08	3.57E-08	Grn/Arg1/Samhd1/Acod1/Isg15/Ptpn6/Arrb2/Parp14/Ifi207/Mmp12/Ccr1/Ifi209	12	up
GO:0006949	GO:0006949	syncytium formation	10/303	72/28928	0.138888889	13.25999267	10.7161469	4.14E-09	6.68E-08	3.65E-08	Tyrobp/Myh9/Cd53/Sbno2/Ehd1/Dock2/Stat1/Ccl8/Trem2/Cxcl10	10	up
GO:0050731	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	14/303	172/28928	0.081395349	7.770972446	9.163287162	4.26E-09	6.84E-08	3.73E-08	Grem1/Ptprc/Csf1r/Iqgap1/Arrb2/Ptpn1/Hcls1/Parp14/Adam17/Crlf1/Trem2/Syk/Clec4n/Ccl5	14	up
GO:0033627	GO:0033627	cell adhesion mediated by integrin	11/303	94/28928	0.117021277	11.17224914	10.16315929	4.43E-09	7.09E-08	3.87E-08	Itgam/Serpine1/Vcam1/Itgb2/Ptpn6/Nckap1l/Adam17/Syk/Emilin2/Ccl5/Itga4	11	up
GO:0001776	GO:0001776	leukocyte homeostasis	13/303	145/28928	0.089655172	8.559553886	9.388850068	4.75E-09	7.54E-08	4.12E-08	Fcer1g/Itgam/Coro1a/Pirb/Csf1r/Ccl2/Fcgr2b/Ccr2/Lilrb4a/Nckap1l/Slc7a11/Adam17/Sash3	13	up
GO:0006801	GO:0006801	superoxide metabolic process	10/303	73/28928	0.136986301	13.07834893	10.63062325	4.76E-09	7.54E-08	4.12E-08	Cybb/Itgam/Tyrobp/Cyba/Itgb2/Nrros/Ncf1/Ncf2/Syk/Fpr2	10	up
GO:0032606	GO:0032606	type I interferon production	13/303	146/28928	0.089041096	8.500926805	9.348267591	5.16E-09	8.13E-08	4.44E-08	Tyrobp/Sirpa/Acod1/Isg15/Irf5/Irf7/Stat1/Cd14/Syk/Mmp12/Irf8/Myd88/Tlr2	13	up
GO:0045621	GO:0045621	positive regulation of lymphocyte differentiation	13/303	146/28928	0.089041096	8.500926805	9.348267591	5.16E-09	8.13E-08	4.44E-08	Mmp14/Ptprc/Ccr2/Lilrb4a/Nckap1l/Inpp5d/H2-Aa/Pnp/Runx1/Syk/Vsir/Sash3/Spi1	13	up
GO:0014002	GO:0014002	astrocyte development	8/303	39/28928	0.205128205	19.58398917	11.9482763	6.13E-09	9.57E-08	5.23E-08	C1qa/Grn/Il1b/Csf1r/S100a9/S100a8/Ifngr1/Trem2	8	up
GO:0045577	GO:0045577	regulation of B cell differentiation	8/303	39/28928	0.205128205	19.58398917	11.9482763	6.13E-09	9.57E-08	5.23E-08	Mmp14/Lilrb4a/Ptpn6/Nckap1l/Inpp5d/Pnp/Syk/Spi1	8	up
GO:0050672	GO:0050672	negative regulation of lymphocyte proliferation	11/303	97/28928	0.113402062	10.82671566	9.973892161	6.21E-09	9.66E-08	5.28E-08	Laptm5/Tyrobp/Cebpb/Arg1/Fcgr2b/Lilrb4a/Ptpn6/Inpp5d/H2-Aa/Vsir/Lst1	11	up
GO:0048661	GO:0048661	positive regulation of smooth muscle cell proliferation	12/303	122/28928	0.098360656	9.390683331	9.555117509	6.53E-09	1.01E-07	5.52E-08	Aif1/C3ar1/Thbs1/Cyba/Ptafr/Tgm2/Stat1/Hmox1/Myd88/P2ry6/Ccl5/Mmp9	12	up
GO:0002702	GO:0002702	positive regulation of production of molecular mediator of immune response	13/303	149/28928	0.087248322	8.329767205	9.228810544	6.62E-09	1.02E-07	5.57E-08	Fcer1g/Laptm5/Il1b/Ptprc/Irf5/Wnt5a/Rsad2/Arid5a/Syk/Sash3/Myd88/Tlr2/Il13ra1	13	up
GO:0072677	GO:0072677	eosinophil migration	7/303	26/28928	0.269230769	25.70398578	12.96552237	7.16E-09	1.10E-07	6.01E-08	Ccl6/Ccl9/Lgals3/Ccl2/Ccl8/Ccl7/Ccl5	7	up
GO:0032945	GO:0032945	negative regulation of mononuclear cell proliferation	11/303	99/28928	0.111111111	10.60799413	9.852258582	7.73E-09	1.18E-07	6.46E-08	Laptm5/Tyrobp/Cebpb/Arg1/Fcgr2b/Lilrb4a/Ptpn6/Inpp5d/H2-Aa/Vsir/Lst1	11	up
GO:0002673	GO:0002673	regulation of acute inflammatory response	9/303	57/28928	0.157894737	15.07451798	10.94309852	7.80E-09	1.19E-07	6.50E-08	C3/Fcer1g/Fcgr3/Il1b/Ccr5/Fcgr2b/Fcgr1/Alox5ap/Ccl5	9	up
GO:0032623	GO:0032623	interleukin-2 production	10/303	78/28928	0.128205128	12.23999323	10.22682223	9.20E-09	1.39E-07	7.61E-08	Fcer1g/Laptm5/Il1b/Ptprc/Ccr2/Lilrb4a/Pnp/Runx1/Sash3/Fosl2	10	up
GO:0002430	GO:0002430	complement receptor mediated signaling pathway	6/303	16/28928	0.375	35.8019802	14.32600649	9.21E-09	1.39E-07	7.61E-08	C3/Itgam/C3ar1/Cmklr1/Fpr2/Fpr1	6	up
GO:0022604	GO:0022604	regulation of cell morphogenesis	17/303	284/28928	0.059859155	5.714870079	8.215090116	1.00E-08	1.51E-07	8.23E-08	Fn1/Msn/Coro1a/Myh9/Csf1r/Cfl1/Marcks/Actr3/Wnt5a/Hck/Lst1/Plxnd1/Fgr/Arap1/Prpf40a/Ccl7/Cdc42se1	17	up
GO:0016485	GO:0016485	protein processing	17/303	285/28928	0.059649123	5.694817903	8.194683693	1.05E-08	1.58E-07	8.64E-08	Ctss/Lgmn/Ctsz/Mmp14/Myh9/Serpine1/Thbs1/C1ra/Mafb/Srgn/Bmp1/Adam17/Ifi207/Vsir/Plat/Ifi209/Spcs3	17	up
GO:0043277	GO:0043277	apoptotic cell clearance	8/303	42/28928	0.19047619	18.1851328	11.4665851	1.14E-08	1.70E-07	9.31E-08	C3/Tyrobp/Thbs1/Ccl2/Ccr2/Tgm2/Cd300lf/Trem2	8	up
GO:0048247	GO:0048247	lymphocyte chemotaxis	8/303	42/28928	0.19047619	18.1851328	11.4665851	1.14E-08	1.70E-07	9.31E-08	Ccl2/Ccr2/Wnt5a/Adam17/Cxcl16/Ccl7/Cxcl10/Ccl5	8	up
GO:2000106	GO:2000106	regulation of leukocyte apoptotic process	12/303	129/28928	0.093023256	8.881111367	9.229833785	1.23E-08	1.83E-07	9.99E-08	Fcer1g/Lgals3/Ccr5/Fcgr2b/Slc7a11/Bcl3/Hcls1/Wnt5a/Adam17/Pnp/Dock8/Ccl5	12	up
GO:0022408	GO:0022408	negative regulation of cell-cell adhesion	15/303	219/28928	0.068493151	6.539174465	8.465611484	1.25E-08	1.85E-07	1.01E-07	Laptm5/Lgals1/Pf4/Cebpb/Arg1/Lgals3/Il1rn/Lilrb4a/Ptpn6/H2-Aa/Runx1/Vsir/Ass1/Tnfaip8l2/Spi1	15	up
GO:0032651	GO:0032651	regulation of interleukin-1 beta production	11/303	104/28928	0.105769231	10.09799441	9.562808862	1.31E-08	1.92E-07	1.05E-07	Tyrobp/Ccr5/Sirpa/Lilrb4a/Arrb2/Wnt5a/Ifi207/Trem2/Myd88/Tlr2/Ifi209	11	up
