	ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	type
GO:0045862	BP	GO:0045862	positive regulation of proteolysis	21/364	339/28928	0.061946903	4.923076923	8.202005723	2.63E-09	4.60E-08	2.75E-08	Clu/Il1b/Laptm5/Lgmn/S100a8/Ctsc/Grn/Mmp14/Tnfrsf1b/Ifi207/Xdh/Vsir/Stat1/S100a9/Dab2/Lyn/Cfl1/Mndal/Trem2/Syk/Ifi203	21	up
GO:0150146	BP	GO:0150146	cell junction disassembly	8/364	30/28928	0.266666667	21.19267399	12.491467	2.68E-09	4.66E-08	2.79E-08	C1qb/Itgam/C1qa/C1qc/C3/Trem2/Map4k4/Plxnc1	8	up
GO:0042832	BP	GO:0042832	defense response to protozoan	9/364	43/28928	0.209302326	16.63378482	11.58123967	2.77E-09	4.80E-08	2.87E-08	Arg1/Pf4/Iigp1/Bcl3/Il4ra/Gbp2/Irf8/Gbp7/Ccdc88b	9	up
GO:0032642	BP	GO:0032642	regulation of chemokine production	13/364	117/28928	0.111111111	8.83028083	9.580407459	3.05E-09	5.27E-08	3.15E-08	Il1b/Apod/Cd74/Csf1r/Cxcl5/Lilrb4a/Aif1/Il4ra/Sirpa/Trem2/Cd84/Tlr2/Syk	13	up
GO:0031589	BP	GO:0031589	cell-substrate adhesion	22/364	377/28928	0.058355438	4.637654123	8.02554055	3.29E-09	5.66E-08	3.38E-08	Apod/Spp1/Mmp12/Coro1a/Itga6/Itgam/Itgb2/Thbs1/Mmp14/Lgals1/Col3a1/Dab2/Cfl1/Sirpa/Efna5/Vcam1/Prex1/Map4k4/Ptprj/Smoc2/Actn1/Jak2	22	up
GO:0009620	BP	GO:0009620	response to fungus	11/364	77/28928	0.142857143	11.35321821	10.26911866	3.43E-09	5.86E-08	3.51E-08	Zbp1/Arg1/Clec4d/Clec4a2/Clec4a1/Ncf1/Pik3cd/Clec4a3/Clec4n/Tlr2/Syk	11	up
GO:0042119	BP	GO:0042119	neutrophil activation	9/364	44/28928	0.204545455	16.25574426	11.43204558	3.45E-09	5.87E-08	3.51E-08	Fcer1g/Grn/Itgam/Tyrobp/Itgb2/Cxcl5/Ptafr/Myo1f/Syk	9	up
GO:0045730	BP	GO:0045730	respiratory burst	8/364	31/28928	0.258064516	20.50903935	12.26826731	3.57E-09	6.05E-08	3.62E-08	Camk1d/Cybb/Grn/Cyba/S100a9/Ncf1/Ncf2/Trem2	8	up
GO:0050868	BP	GO:0050868	negative regulation of T cell activation	14/364	143/28928	0.097902098	7.780527165	9.175742967	4.00E-09	6.74E-08	4.04E-08	Cd74/Laptm5/Cebpb/Arg1/H2-Aa/Pf4/Lgals1/Cd44/Irf1/Lilrb4a/Il4ra/Vsir/Runx1/Ptpn6	14	up
GO:0048143	BP	GO:0048143	astrocyte activation	7/364	21/28928	0.333333333	26.49084249	13.19122728	4.71E-09	7.92E-08	4.74E-08	Il1b/Csf1r/Grn/C1qa/Zeb2/Ifngr1/Trem2	7	up
GO:0032609	BP	GO:0032609	type II interferon production	14/364	145/28928	0.096551724	7.673209549	9.093762597	4.79E-09	8.02E-08	4.80E-08	Il1b/Isg15/Laptm5/Ccr2/Lilrb4a/Bcl3/Vsir/Cd14/Runx1/Irf8/Sirpa/Irgm1/Arid5a/Jak2	14	up
GO:0006898	BP	GO:0006898	receptor-mediated endocytosis	19/364	286/28928	0.066433566	5.279643433	8.21073074	4.89E-09	8.14E-08	4.87E-08	Clu/B2m/Fcer1g/Itgam/Ifitm3/Itgb2/Fcgr2b/Mrc1/Fcgr1/Cd44/Msr1/Lilrb4a/C3/Cd14/Dab2/Arrb2/Syk/Ntf3/Rin3	19	up
