	ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	type
GO:0006935	BP	GO:0006935	chemotaxis	54/364	481/28928	0.112266112	8.922071691	19.7781628	5.80E-35	1.40E-31	8.40E-32	Saa3/Camk1d/Il1b/Ccl6/Fcer1g/Cd74/Ccr2/Lgmn/Spp1/Csf1r/Coro1a/Lox/Fcgr3/S100a8/Itgam/Csf3r/Ccl2/Pf4/Itgb2/Ccl9/Thbs1/Ccr5/Cxcl5/Cxcl10/Aif1/C3ar1/Ccr1/Cxcl14/Ccl8/Ccl7/Dock2/Vav1/S100a9/Arrb2/S100a4/Lyn/Ptafr/Pik3cd/Nckap1l/Trem2/Efna5/Vcam1/P2rx4/Pla2g7/Sema4d/Prex1/Syk/Cmtm3/Ptprj/Smoc2/Ntf3/Cmklr1/Rin3/Lsp1	54	up
GO:0042330	BP	GO:0042330	taxis	54/364	483/28928	0.111801242	8.885127295	19.72750593	7.20E-35	1.40E-31	8.40E-32	Saa3/Camk1d/Il1b/Ccl6/Fcer1g/Cd74/Ccr2/Lgmn/Spp1/Csf1r/Coro1a/Lox/Fcgr3/S100a8/Itgam/Csf3r/Ccl2/Pf4/Itgb2/Ccl9/Thbs1/Ccr5/Cxcl5/Cxcl10/Aif1/C3ar1/Ccr1/Cxcl14/Ccl8/Ccl7/Dock2/Vav1/S100a9/Arrb2/S100a4/Lyn/Ptafr/Pik3cd/Nckap1l/Trem2/Efna5/Vcam1/P2rx4/Pla2g7/Sema4d/Prex1/Syk/Cmtm3/Ptprj/Smoc2/Ntf3/Cmklr1/Rin3/Lsp1	54	up
GO:0050900	BP	GO:0050900	leukocyte migration	50/364	409/28928	0.122249389	9.715467906	20.03909448	3.48E-34	4.52E-31	2.71E-31	Camk1d/Il1b/Apod/Ccl6/Fcer1g/Cd74/Ccr2/Lgmn/Spp1/Csf1r/Coro1a/Fcgr3/S100a8/Itga6/Msn/Itgam/Csf3r/Ccl2/Pf4/Itgb2/Ccl9/Thbs1/Cxcl5/Mmp14/Cxcl10/Aif1/C3ar1/Ccr1/Cxcl14/Ccl8/Ccl7/Vav1/S100a9/Lyn/Ptafr/Sirpa/Nckap1l/Myo1f/Trem2/Icam1/Ecm1/Vcam1/P2rx4/Pla2g7/Tlr2/Prex1/Syk/Ptprj/Cmklr1/Rin3	50	up
GO:0002697	BP	GO:0002697	regulation of immune effector process	53/364	487/28928	0.108829569	8.648960895	19.21707865	1.25E-33	1.22E-30	7.28E-31	H2-K1/B2m/Il1b/H2-D1/Fcer1g/Cd74/Laptm5/Ccr2/Fcgr3/Arg1/Grn/Ptprc/Itgam/Tyrobp/Ccl2/Pf4/Itgb2/Fcgr2b/Cxcl5/Lgals1/Fcgr1/Cfp/Tnfrsf1b/Bst2/Irf1/Fgr/Lilrb4a/H2-Q7/Rsad2/Il4ra/C3/Vsir/H2-DMb1/Vav1/Tap1/S100a9/Arrb2/Lyn/Ncf1/Ptafr/Ddx60/Masp1/Nckap1l/Clec2d/Litaf/Trem2/Il13ra1/Cd84/Tlr2/Arid5a/Syk/Trex1/Ptpn6	53	up
GO:0097529	BP	GO:0097529	myeloid leukocyte migration	41/364	256/28928	0.16015625	12.72802198	21.27691395	6.33E-33	4.94E-30	2.95E-30	Camk1d/Il1b/Ccl6/Fcer1g/Cd74/Ccr2/Lgmn/Spp1/Csf1r/Fcgr3/S100a8/Itgam/Csf3r/Ccl2/Pf4/Itgb2/Ccl9/Thbs1/Cxcl5/Mmp14/Cxcl10/Aif1/C3ar1/Ccr1/Ccl8/Ccl7/Vav1/S100a9/Lyn/Sirpa/Nckap1l/Myo1f/Trem2/P2rx4/Pla2g7/Tlr2/Prex1/Syk/Ptprj/Cmklr1/Rin3	41	up
GO:0060326	BP	GO:0060326	cell chemotaxis	44/364	337/28928	0.130563798	10.37623504	19.54436842	2.25E-31	1.46E-28	8.75E-29	Saa3/Camk1d/Il1b/Ccl6/Fcer1g/Cd74/Ccr2/Lgmn/Spp1/Csf1r/Coro1a/Lox/Fcgr3/S100a8/Itgam/Csf3r/Ccl2/Pf4/Itgb2/Ccl9/Thbs1/Ccr5/Cxcl5/Cxcl10/Aif1/C3ar1/Ccr1/Cxcl14/Ccl8/Ccl7/Vav1/S100a9/Arrb2/Lyn/Nckap1l/Vcam1/P2rx4/Pla2g7/Prex1/Syk/Ptprj/Smoc2/Cmklr1/Rin3	44	up
GO:0030595	BP	GO:0030595	leukocyte chemotaxis	37/364	243/28928	0.152263374	12.10075521	19.6164815	5.74E-29	3.20E-26	1.91E-26	Camk1d/Il1b/Ccl6/Fcer1g/Cd74/Ccr2/Lgmn/Spp1/Csf1r/Coro1a/Fcgr3/S100a8/Itgam/Csf3r/Ccl2/Pf4/Itgb2/Ccl9/Thbs1/Cxcl5/Cxcl10/Aif1/C3ar1/Ccr1/Cxcl14/Ccl8/Ccl7/Vav1/S100a9/Lyn/Nckap1l/Pla2g7/Prex1/Syk/Ptprj/Cmklr1/Rin3	37	up
GO:0019882	BP	GO:0019882	antigen processing and presentation	30/364	138/28928	0.217391304	17.27663641	21.63596401	1.71E-28	8.33E-26	4.98E-26	H2-K1/B2m/Ctss/Ctsl/H2-D1/Fcer1g/Cd74/Mpeg1/H2-Ab1/Lgmn/Fcgr3/Psmb8/H2-Aa/H2-Eb1/Psap/Thbs1/Fcgr2b/Fcgr1/H2-Q7/Clec4a2/H2-DMb1/Unc93b1/Tap1/Clec4a3/Cd68/Trem2/Icam1/Rab8b/Psmb9/Trex1	30	up
GO:0032680	BP	GO:0032680	regulation of tumor necrosis factor production	34/364	199/28928	0.170854271	13.57822077	20.0991816	2.00E-28	8.66E-26	5.18E-26	Clu/Fcer1g/Cybb/Ccr2/Csf1r/Fcgr3/Ptprc/Tyrobp/Ccl2/Thbs1/Ccr5/Fcgr2b/Cyba/Ifngr1/Lilrb4a/Bcl3/Clec4a2/Vsir/Cd14/Cd300ld/Arrb2/Ptafr/Sirpa/Clec4a3/Trem2/Cd84/Tlr2/Arid5a/Syk/Trex1/Ptprj/Ptpn6/Errfi1/Jak2	34	up
GO:1903555	BP	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	34/364	202/28928	0.168316832	13.37656403	19.92650246	3.37E-28	1.31E-25	7.86E-26	Clu/Fcer1g/Cybb/Ccr2/Csf1r/Fcgr3/Ptprc/Tyrobp/Ccl2/Thbs1/Ccr5/Fcgr2b/Cyba/Ifngr1/Lilrb4a/Bcl3/Clec4a2/Vsir/Cd14/Cd300ld/Arrb2/Ptafr/Sirpa/Clec4a3/Trem2/Cd84/Tlr2/Arid5a/Syk/Trex1/Ptprj/Ptpn6/Errfi1/Jak2	34	up
GO:0032640	BP	GO:0032640	tumor necrosis factor production	34/364	205/28928	0.165853659	13.18080943	19.75745756	5.63E-28	2.00E-25	1.19E-25	Clu/Fcer1g/Cybb/Ccr2/Csf1r/Fcgr3/Ptprc/Tyrobp/Ccl2/Thbs1/Ccr5/Fcgr2b/Cyba/Ifngr1/Lilrb4a/Bcl3/Clec4a2/Vsir/Cd14/Cd300ld/Arrb2/Ptafr/Sirpa/Clec4a3/Trem2/Cd84/Tlr2/Arid5a/Syk/Trex1/Ptprj/Ptpn6/Errfi1/Jak2	34	up
GO:0006909	BP	GO:0006909	phagocytosis	36/364	241/28928	0.149377593	11.87141489	19.13131852	6.60E-28	2.14E-25	1.28E-25	Camk1d/Fcer1g/Ccr2/Coro1a/Fcgr3/Ptprc/Itgam/Tyrobp/Ccl2/Itgb2/Thbs1/Fcgr2b/Cyba/Abca1/Fcgr1/Cfp/Fgr/Msr1/Aif1/C3/Cd300lf/Dock2/Vav1/Irf8/Sirpa/Nckap1l/Ncf2/Trem2/P2ry6/Tlr2/Pld4/Cd302/Syk/Hck/Trex1/Ptprj	36	up
GO:0071706	BP	GO:0071706	tumor necrosis factor superfamily cytokine production	34/364	208/28928	0.163461538	12.99070161	19.59191657	9.32E-28	2.80E-25	1.67E-25	Clu/Fcer1g/Cybb/Ccr2/Csf1r/Fcgr3/Ptprc/Tyrobp/Ccl2/Thbs1/Ccr5/Fcgr2b/Cyba/Ifngr1/Lilrb4a/Bcl3/Clec4a2/Vsir/Cd14/Cd300ld/Arrb2/Ptafr/Sirpa/Clec4a3/Trem2/Cd84/Tlr2/Arid5a/Syk/Trex1/Ptprj/Ptpn6/Errfi1/Jak2	34	up
GO:0045088	BP	GO:0045088	regulation of innate immune response	47/364	496/28928	0.094758065	7.530662886	16.56102743	3.42E-27	9.53E-25	5.70E-25	Isg15/Cd74/Mmp12/S100a8/Zbp1/Arg1/Grn/Tyrobp/Samhd1/Acod1/Cyba/Ifi204/Irf7/Irf1/Ifi207/Fgr/Rsad2/Gbp2/Ccr1/Cd14/Cd300lf/Parp14/Unc93b1/Vav1/Tap1/S100a9/Arrb2/Lyn/Ncf1/Mndal/Ddx60/Ifi211/Myo1f/Clec2d/Clec4n/Trem2/Gbp7/Irgm1/Pik3ap1/Gbp5/Tlr2/Syk/Trex1/Ptpn6/Ifi203/Stat2/Usp18	47	up
GO:0097530	BP	GO:0097530	granulocyte migration	31/364	170/28928	0.182352941	14.49204913	19.91663261	6.51E-27	1.69E-24	1.01E-24	Camk1d/Il1b/Ccl6/Fcer1g/Cd74/Spp1/Csf1r/Fcgr3/S100a8/Itgam/Csf3r/Ccl2/Pf4/Itgb2/Ccl9/Thbs1/Cxcl5/Cxcl10/C3ar1/Ccl8/Ccl7/Vav1/S100a9/Sirpa/Nckap1l/Myo1f/Tlr2/Prex1/Syk/Ptprj/Cmklr1	31	up
GO:0002274	BP	GO:0002274	myeloid leukocyte activation	37/364	279/28928	0.132616487	10.53936744	18.07423076	9.43E-27	2.30E-24	1.38E-24	Clu/Fcer1g/Ccr2/Csf1r/Fcgr3/Ctsc/Grn/Itgam/C1qa/Tyrobp/Pirb/Itgb2/Clec4d/Thbs1/Cxcl5/Ifngr1/Fgr/Lilrb4a/Aif1/Sbno2/Il4ra/Cd300lf/Dock2/Lyn/Ptafr/Epsti1/Myo1f/Jun/Trem2/Irgm1/Lcp2/Cd84/Tlr2/Syk/Trex1/Ptpn6/Jak2	37	up
GO:0002449	BP	GO:0002449	lymphocyte mediated immunity	46/364	496/28928	0.092741935	7.370436016	16.15471008	3.17E-26	7.27E-24	4.35E-24	H2-K1/B2m/Il31ra/Il1b/H2-D1/Fcer1g/Cd74/Ccr2/Coro1a/Fcgr3/Arg1/C1qb/Ctsc/Ptprc/C1qa/Csf3r/C1qc/Pirb/Slfn2/Csf2rb/Fcgr2b/Fcgr1/Irf7/Tnfrsf1b/Lilrb4a/H2-Q7/Bcl3/Rsad2/Il4ra/C3/Vsir/C1s1/Inpp5d/Unc93b1/Vav1/Tap1/Arrb2/Nckap1l/Clec2d/Trem2/C1ra/Icam1/Arid5a/Trex1/Ptpn6/Pou2f2	46	up
GO:0070661	BP	GO:0070661	leukocyte proliferation	41/364	378/28928	0.108465608	8.620036049	16.83421025	4.45E-26	9.63E-24	5.76E-24	Clu/Il1b/Cd74/Laptm5/Ccr2/Csf1r/Coro1a/Cebpb/Arg1/Msn/Cfb/Ptprc/Itgam/H2-Aa/Tyrobp/Slfn2/Itgb2/Csf2rb/Fcgr2b/Tnfrsf1b/Cd44/Irf1/Lilrb4a/Aif1/Vsir/H2-DMb1/Inpp5d/Dock2/Lyn/Cd38/Lst1/Nckap1l/Psmb10/Trem2/Irgm1/Vcam1/Syk/Plcl2/Ptpn6/Jak2/Ccdc88b	41	up
GO:0071621	BP	GO:0071621	granulocyte chemotaxis	28/364	138/28928	0.202898551	16.12486065	20.10494874	8.95E-26	1.84E-23	1.10E-23	Camk1d/Il1b/Ccl6/Fcer1g/Cd74/Spp1/Csf1r/Fcgr3/S100a8/Itgam/Csf3r/Ccl2/Pf4/Itgb2/Ccl9/Thbs1/Cxcl5/Cxcl10/C3ar1/Ccl8/Ccl7/Vav1/S100a9/Nckap1l/Prex1/Syk/Ptprj/Cmklr1	28	up
GO:0002703	BP	GO:0002703	regulation of leukocyte mediated immunity	38/364	319/28928	0.119122257	9.466946846	17.16578677	1.02E-25	1.98E-23	1.19E-23	H2-K1/B2m/Il1b/H2-D1/Fcer1g/Ccr2/Fcgr3/Arg1/Ptprc/Itgam/Tyrobp/Ccl2/Itgb2/Fcgr2b/Cxcl5/Fcgr1/Tnfrsf1b/Bst2/Fgr/Lilrb4a/H2-Q7/Rsad2/Il4ra/C3/Vsir/Vav1/Tap1/Arrb2/Lyn/Ptafr/Nckap1l/Clec2d/Trem2/Cd84/Tlr2/Arid5a/Syk/Ptpn6	38	up
GO:0050777	BP	GO:0050777	negative regulation of immune response	33/364	223/28928	0.147982063	11.76050855	18.20955489	1.58E-25	2.94E-23	1.76E-23	Isg15/Ccr2/Mmp12/Arg1/Grn/Ptprc/Samhd1/Pf4/Acod1/Fcgr2b/Lgals1/Irf1/Ifi207/Col3a1/Lilrb4a/Il4ra/Vsir/Ccr1/Parp14/Inpp5d/Tap1/Arrb2/Mndal/Masp1/Nckap1l/Clec2d/Trem2/Trex1/Ptpn6/Ifi203/Stat2/Usp18/Samsn1	33	up
GO:0050727	BP	GO:0050727	regulation of inflammatory response	41/364	403/28928	0.101736973	8.085294358	16.16927218	5.38E-25	9.54E-23	5.71E-23	Ctss/Il1b/Fcer1g/Ccr2/Csf1r/Fcgr3/Cebpb/S100a8/Zbp1/Ctsc/Grn/Socs3/Pf4/Acod1/Ccr5/Fcgr2b/Ptgs2/Alox5ap/Lgals1/Fcgr1/Tnfrsf1b/Cd44/Sbno2/C3/Gbp2/Tnc/Aoah/S100a9/Lyn/Ncf1/Sirpa/Trem2/Irgm1/Il10ra/Pik3ap1/Gbp5/Tlr2/Trex1/Ptpn6/Usp18/Jak2	41	up
GO:0046651	BP	GO:0046651	lymphocyte proliferation	38/364	336/28928	0.113095238	8.987964417	16.62556335	6.83E-25	1.16E-22	6.93E-23	Il1b/Cd74/Laptm5/Ccr2/Csf1r/Coro1a/Cebpb/Arg1/Msn/Cfb/Ptprc/Itgam/H2-Aa/Tyrobp/Slfn2/Itgb2/Fcgr2b/Tnfrsf1b/Cd44/Irf1/Lilrb4a/Aif1/Vsir/H2-DMb1/Inpp5d/Dock2/Lyn/Cd38/Lst1/Nckap1l/Psmb10/Irgm1/Vcam1/Syk/Plcl2/Ptpn6/Jak2/Ccdc88b	38	up
GO:0009615	BP	GO:0009615	response to virus	41/364	412/28928	0.099514563	7.90867385	15.94380129	1.26E-24	2.05E-22	1.23E-22	Clu/Il1b/Isg15/Mmp12/Zbp1/Ptprc/Samhd1/Ifitm3/Ifit1/Acod1/Ifitm1/Ifi27l2a/Cxcl10/Ifngr1/Irf7/Bst2/Irf1/Rtp4/Ifi207/Bcl3/Rsad2/Oasl2/Gbp2/Dtx3l/Stat1/Unc93b1/Mndal/Ddx60/Gbp7/Irgm1/Gbp5/Slfn9/Ifit3/Htra1/Trex1/Map3k14/Apobec1/Ifi203/Stat2/Usp18/Pou2f2	41	up
GO:0032943	BP	GO:0032943	mononuclear cell proliferation	38/364	343/28928	0.110787172	8.804536571	16.41413342	1.45E-24	2.26E-22	1.35E-22	Il1b/Cd74/Laptm5/Ccr2/Csf1r/Coro1a/Cebpb/Arg1/Msn/Cfb/Ptprc/Itgam/H2-Aa/Tyrobp/Slfn2/Itgb2/Fcgr2b/Tnfrsf1b/Cd44/Irf1/Lilrb4a/Aif1/Vsir/H2-DMb1/Inpp5d/Dock2/Lyn/Cd38/Lst1/Nckap1l/Psmb10/Irgm1/Vcam1/Syk/Plcl2/Ptpn6/Jak2/Ccdc88b	38	up
GO:0051607	BP	GO:0051607	defense response to virus	37/364	329/28928	0.112462006	8.937639868	16.34582306	3.57E-24	5.36E-22	3.20E-22	Il1b/Isg15/Mmp12/Zbp1/Ptprc/Samhd1/Ifitm3/Ifit1/Acod1/Ifitm1/Cxcl10/Ifngr1/Irf7/Bst2/Irf1/Rtp4/Ifi207/Rsad2/Oasl2/Gbp2/Dtx3l/Stat1/Unc93b1/Mndal/Ddx60/Gbp7/Irgm1/Gbp5/Slfn9/Ifit3/Htra1/Trex1/Map3k14/Apobec1/Ifi203/Stat2/Usp18	37	up
GO:0002478	BP	GO:0002478	antigen processing and presentation of exogenous peptide antigen	17/364	34/28928	0.5	39.73626374	25.5121013	6.57E-24	9.49E-22	5.68E-22	H2-K1/B2m/Ctss/Fcer1g/Cd74/Mpeg1/H2-Ab1/Lgmn/Fcgr3/H2-Aa/H2-Eb1/Fcgr2b/Fcgr1/Clec4a2/H2-DMb1/Unc93b1/Clec4a3	17	up
GO:0007159	BP	GO:0007159	leukocyte cell-cell adhesion	41/364	434/28928	0.094470046	7.507773333	15.42032227	9.30E-24	1.30E-21	7.75E-22	B2m/Il1b/Cd74/Laptm5/H2-Ab1/Ccr2/Coro1a/Cebpb/S100a8/Arg1/Msn/Ptprc/Itgam/H2-Aa/H2-Eb1/Ccl2/Pf4/Itgb2/Thbs1/Lgals1/Cd44/Irf1/Lilrb4a/Aif1/Il4ra/Vsir/H2-DMb1/Runx1/Vav1/S100a9/Ptafr/Sirpa/Nckap1l/Icam1/Irgm1/Vcam1/Sema4d/Syk/Ptpn6/Jak2/Ccdc88b	41	up
GO:0002366	BP	GO:0002366	leukocyte activation involved in immune response	37/364	339/28928	0.109144543	8.673992674	16.04407282	1.03E-23	1.39E-21	8.30E-22	Fcer1g/Cd74/Ccr2/Lcp1/Coro1a/Grn/Ptprc/Itgam/Tyrobp/Pf4/Slfn2/Itgb2/Clec4d/Lgals1/Irf1/Fgr/Lilrb4a/Sbno2/Bcl3/Il4ra/H2-DMb1/Dock2/Lyn/Irf8/Ptafr/Nckap1l/Myo1f/Trem2/Icam1/Cd84/Dock10/Syk/Plcl2/Trex1/Ptpn6/Apbb1ip/Itm2a	37	up
GO:0002263	BP	GO:0002263	cell activation involved in immune response	37/364	343/28928	0.10787172	8.57283824	15.92683641	1.56E-23	2.03E-21	1.21E-21	Fcer1g/Cd74/Ccr2/Lcp1/Coro1a/Grn/Ptprc/Itgam/Tyrobp/Pf4/Slfn2/Itgb2/Clec4d/Lgals1/Irf1/Fgr/Lilrb4a/Sbno2/Bcl3/Il4ra/H2-DMb1/Dock2/Lyn/Irf8/Ptafr/Nckap1l/Myo1f/Trem2/Icam1/Cd84/Dock10/Syk/Plcl2/Trex1/Ptpn6/Apbb1ip/Itm2a	37	up
GO:0048002	BP	GO:0048002	antigen processing and presentation of peptide antigen	22/364	87/28928	0.252873563	20.0965012	20.13729587	8.97E-23	1.13E-20	6.75E-21	H2-K1/B2m/Ctss/Ctsl/H2-D1/Fcer1g/Cd74/Mpeg1/H2-Ab1/Lgmn/Fcgr3/H2-Aa/H2-Eb1/Fcgr2b/Fcgr1/H2-Q7/Clec4a2/H2-DMb1/Unc93b1/Tap1/Clec4a3/Trem2	22	up
GO:0034341	BP	GO:0034341	response to type II interferon	26/364	143/28928	0.181818182	14.44955045	18.2005934	1.02E-22	1.24E-20	7.42E-21	Vim/Cd74/Arg1/Ccl2/Ifitm3/Acod1/Ifitm1/Mrc1/Ifngr1/Bst2/Irf1/Aif1/H2-Q7/Gbp2/Parp14/Stat1/Sp100/Irf8/Sirpa/Epsti1/Gch1/Gbp7/Irgm1/Gbp5/Tlr2/Jak2	26	up
GO:0019884	BP	GO:0019884	antigen processing and presentation of exogenous antigen	17/364	41/28928	0.414634146	32.95202359	23.11170328	3.94E-22	4.66E-20	2.79E-20	H2-K1/B2m/Ctss/Fcer1g/Cd74/Mpeg1/H2-Ab1/Lgmn/Fcgr3/H2-Aa/H2-Eb1/Fcgr2b/Fcgr1/Clec4a2/H2-DMb1/Unc93b1/Clec4a3	17	up
GO:0002685	BP	GO:0002685	regulation of leukocyte migration	31/364	257/28928	0.120622568	9.586180357	15.60766826	2.50E-21	2.86E-19	1.71E-19	Camk1d/Il1b/Apod/Cd74/Ccr2/Lgmn/Csf1r/Coro1a/Msn/Ccl2/Thbs1/Mmp14/Cxcl10/Aif1/C3ar1/Ccr1/Cxcl14/Ccl7/Lyn/Ptafr/Nckap1l/Myo1f/Trem2/Icam1/Ecm1/P2rx4/Pla2g7/Tlr2/Ptprj/Cmklr1/Rin3	31	up
GO:0002699	BP	GO:0002699	positive regulation of immune effector process	34/364	324/28928	0.104938272	8.339709673	14.9979147	2.57E-21	2.86E-19	1.71E-19	H2-K1/B2m/Il1b/H2-D1/Fcer1g/Cd74/Laptm5/Ccr2/Fcgr3/Arg1/Ptprc/Itgam/Tyrobp/Ccl2/Itgb2/Fcgr1/Cfp/Irf1/Fgr/Lilrb4a/H2-Q7/Rsad2/Il4ra/C3/H2-DMb1/Vav1/Ptafr/Ddx60/Trem2/Il13ra1/Tlr2/Arid5a/Syk/Ptpn6	34	up
GO:0071219	BP	GO:0071219	cellular response to molecule of bacterial origin	35/364	349/28928	0.100286533	7.970024245	14.78823575	2.90E-21	3.14E-19	1.88E-19	B2m/Il1b/Vim/Cebpb/Ccl2/Pf4/Acod1/Ccr5/Fcgr2b/Ptgs2/Cxcl5/Abca1/Mrc1/Cxcl10/Tnfrsf1b/Lilrb4a/Sbno2/Gbp2/Cd14/Stat1/Lyn/Irf8/Ptafr/Sirpa/Epsti1/Litaf/Cd68/Gch1/Trem2/Irgm1/Gbp5/Cd84/Tlr2/Arid5a/Jak2	35	up
GO:0071216	BP	GO:0071216	cellular response to biotic stimulus	36/364	378/28928	0.095238095	7.56881214	14.51184272	4.36E-21	4.59E-19	2.75E-19	B2m/Il1b/Vim/Cebpb/Ccl2/Pf4/Acod1/Ccr5/Fcgr2b/Ptgs2/Cxcl5/Abca1/Mrc1/Cxcl10/Tnfrsf1b/Lilrb4a/Sbno2/Gbp2/Cd14/Stat1/Lyn/Irf8/Ptafr/Sirpa/Epsti1/Litaf/Cd68/Gch1/Trem2/Irgm1/Gbp5/Cd84/Tlr2/Arid5a/Syk/Jak2	36	up
GO:0035456	BP	GO:0035456	response to interferon-beta	20/364	77/28928	0.25974026	20.64221493	19.48266054	4.50E-21	4.62E-19	2.77E-19	Ifitm3/Ifit1/Acod1/Ifitm1/Iigp1/Ifi204/Bst2/Irf1/Ifi207/Gbp2/Stat1/Mndal/Ifi211/Gbp7/Irgm1/Ifit3/Ifi47/Gm12185/Trex1/Ifi203	20	up
GO:0002819	BP	GO:0002819	regulation of adaptive immune response	31/364	263/28928	0.117870722	9.367484227	15.38826586	5.01E-21	4.98E-19	2.98E-19	H2-K1/B2m/Il1b/H2-D1/Fcer1g/Cd74/Ccr2/Fcgr3/Arg1/Ptprc/Pf4/Fcgr2b/Lgals1/Fcgr1/Irf7/Tnfrsf1b/Cd44/Irf1/Lilrb4a/H2-Q7/Rsad2/Il4ra/C3/Vsir/Nckap1l/Clec4n/Trem2/Arid5a/Ptpn6/Samsn1/Jak2	31	up
GO:1903706	BP	GO:1903706	regulation of hemopoiesis	39/364	458/28928	0.085152838	6.767311291	14.04446745	5.11E-21	4.98E-19	2.98E-19	B2m/Isg15/Cd74/Ccr2/Csf1r/Lox/Cebpb/Ptprc/Itgam/H2-Aa/Tyrobp/Csf3r/C1qc/Pf4/Ccl9/Mmp14/Lgals1/Cd44/Irf1/Lilrb4a/Il4ra/Vsir/Ccr1/Hcls1/Runx1/Stat1/Inpp5d/Mafb/Lyn/Nckap1l/Jun/Clec2d/Ikzf1/Trem2/Irgm1/Evi2/Rbp1/Syk/Ptpn6	39	up
GO:0050867	BP	GO:0050867	positive regulation of cell activation	37/364	407/28928	0.090909091	7.224775225	14.27681663	5.94E-21	5.65E-19	3.38E-19	B2m/Il1b/Cd74/H2-Ab1/Ccr2/Csf1r/Coro1a/Ctsc/Ptprc/H2-Aa/H2-Eb1/Tyrobp/Ccl2/Clec4d/Thbs1/Mmp14/Lgals1/Plek/Irf1/Lilrb4a/Aif1/Il4ra/Vsir/H2-DMb1/Runx1/Inpp5d/Vav1/Cd38/Sirpa/Nckap1l/Trem2/Irgm1/Vcam1/Syk/Ptprj/Jak2/Ccdc88b	37	up
GO:0001906	BP	GO:0001906	cell killing	32/364	295/28928	0.108474576	8.620748743	14.85142416	1.46E-20	1.35E-18	8.10E-19	Lyz2/H2-K1/B2m/H2-D1/Coro1a/Fcgr3/Arg1/Ctsc/Ptprc/Itgam/Tyrobp/Ccl2/Ccr5/Fcgr2b/Cxcl5/Cxcl10/Fcgr1/H2-Q7/C3/Gbp2/Cxcl14/Ccl8/Vav1/Tap1/Arrb2/Ncf1/Nckap1l/Clec2d/Gbp7/Gbp5/Syk/Ptpn6	32	up
GO:0050670	BP	GO:0050670	regulation of lymphocyte proliferation	30/364	259/28928	0.115830116	9.205312062	14.97378489	3.64E-20	3.30E-18	1.98E-18	Il1b/Cd74/Laptm5/Ccr2/Csf1r/Coro1a/Cebpb/Arg1/Ptprc/H2-Aa/Tyrobp/Fcgr2b/Tnfrsf1b/Cd44/Irf1/Lilrb4a/Aif1/Vsir/H2-DMb1/Inpp5d/Lyn/Cd38/Lst1/Nckap1l/Irgm1/Vcam1/Syk/Ptpn6/Jak2/Ccdc88b	30	up
GO:0002687	BP	GO:0002687	positive regulation of leukocyte migration	26/364	180/28928	0.144444444	11.47936508	15.92063121	4.48E-20	3.97E-18	2.37E-18	Camk1d/Il1b/Cd74/Ccr2/Lgmn/Csf1r/Coro1a/Ccl2/Thbs1/Mmp14/Cxcl10/Aif1/C3ar1/Ccr1/Cxcl14/Ccl7/Ptafr/Nckap1l/Myo1f/Trem2/Icam1/P2rx4/Pla2g7/Tlr2/Ptprj/Cmklr1	26	up
GO:0002696	BP	GO:0002696	positive regulation of leukocyte activation	35/364	383/28928	0.091383812	7.262502511	13.92756371	6.03E-20	5.13E-18	3.07E-18	B2m/Il1b/Cd74/H2-Ab1/Ccr2/Csf1r/Coro1a/Ctsc/Ptprc/H2-Aa/H2-Eb1/Tyrobp/Ccl2/Clec4d/Thbs1/Mmp14/Lgals1/Irf1/Lilrb4a/Aif1/Il4ra/Vsir/H2-DMb1/Runx1/Inpp5d/Vav1/Cd38/Sirpa/Nckap1l/Trem2/Irgm1/Vcam1/Syk/Jak2/Ccdc88b	35	up
GO:0070663	BP	GO:0070663	regulation of leukocyte proliferation	31/364	286/28928	0.108391608	8.614155076	14.60817428	6.06E-20	5.13E-18	3.07E-18	Il1b/Cd74/Laptm5/Ccr2/Csf1r/Coro1a/Cebpb/Arg1/Ptprc/H2-Aa/Tyrobp/Csf2rb/Fcgr2b/Tnfrsf1b/Cd44/Irf1/Lilrb4a/Aif1/Vsir/H2-DMb1/Inpp5d/Lyn/Cd38/Lst1/Nckap1l/Irgm1/Vcam1/Syk/Ptpn6/Jak2/Ccdc88b	31	up
GO:0032944	BP	GO:0032944	regulation of mononuclear cell proliferation	30/364	264/28928	0.113636364	9.030969031	14.797706	6.33E-20	5.25E-18	3.14E-18	Il1b/Cd74/Laptm5/Ccr2/Csf1r/Coro1a/Cebpb/Arg1/Ptprc/H2-Aa/Tyrobp/Fcgr2b/Tnfrsf1b/Cd44/Irf1/Lilrb4a/Aif1/Vsir/H2-DMb1/Inpp5d/Lyn/Cd38/Lst1/Nckap1l/Irgm1/Vcam1/Syk/Ptpn6/Jak2/Ccdc88b	30	up
