	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Rida	0.00019838	-0.611249728	0.018	0.025	1	RIR	Rida
E2f3	0.000198503	0.409379767	0.014	0.009	1	RIR	E2f3
Sept9	0.000198811	0.307896521	0.052	0.04	1	RIR	Sept9
Id3	0.000199002	0.15591614	0.069	0.056	1	RIR	Id3
Prr16	0.000199941	0.207129608	0.027	0.019	1	RIR	Prr16
Wipf1	0.000201649	0.466439056	0.032	0.024	1	RIR	Wipf1
St8sia4	0.000202523	0.947199219	0.01	0.005	1	RIR	St8sia4
Ptges	0.000204798	0.672218306	0.016	0.01	1	RIR	Ptges
Wasf2	0.000205947	0.288300815	0.077	0.063	1	RIR	Wasf2
Gak	0.000206312	0.346884042	0.05	0.039	1	RIR	Gak
Steap2	0.000207212	0.538639138	0.024	0.016	1	RIR	Steap2
Cdh13	0.000207548	0.452986442	0.032	0.023	1	RIR	Cdh13
Anxa8	0.000209995	-0.2766441	0.151	0.167	1	RIR	Anxa8
Epb41	0.000211121	0.282757036	0.083	0.069	1	RIR	Epb41
Inafm1	0.000211804	-1.091635948	0.008	0.013	1	RIR	Inafm1
Cenpa	0.00021184	-0.725727399	0.01	0.016	1	RIR	Cenpa
Bmp2k	0.000212096	0.377433326	0.022	0.015	1	RIR	Bmp2k
Mindy2	0.000217943	0.287961647	0.052	0.041	1	RIR	Mindy2
Nt5c2	0.000221317	0.292555101	0.049	0.038	1	RIR	Nt5c2
Rnd3	0.000226072	0.250294079	0.071	0.058	1	RIR	Rnd3
Atp6v0c	0.000227704	0.205152827	0.092	0.078	1	RIR	Atp6v0c
Rhog	0.000228816	0.573827873	0.017	0.011	1	RIR	Rhog
Lnpep	0.00023154	0.216440973	0.061	0.049	1	RIR	Lnpep
Kat6a	0.000232321	0.175249181	0.044	0.034	1	RIR	Kat6a
Rlf	0.000232631	0.319780726	0.025	0.018	1	RIR	Rlf
Slbp	0.000233269	0.470638333	0.036	0.027	1	RIR	Slbp
Casp7	0.000233286	0.43964557	0.019	0.012	1	RIR	Casp7
Folr2	0.000233309	0.707223487	0.012	0.007	1	RIR	Folr2
Fam174b	0.000233563	-1.0964707	0.006	0.011	1	RIR	Fam174b
Clic4	0.000234278	0.343656221	0.043	0.033	1	RIR	Clic4
Ndufb9	0.000236248	-0.3047158	0.088	0.101	1	RIR	Ndufb9
Calr	0.00023835	0.132852225	0.191	0.168	1	RIR	Calr
Mcm6	0.000238577	0.575737486	0.025	0.018	1	RIR	Mcm6
Evpl	0.000239437	-0.217979532	0.287	0.304	1	RIR	Evpl
Atp5g3	0.000241134	-0.236618788	0.138	0.154	1	RIR	Atp5g3
Slc25a5	0.000242234	-0.320386694	0.242	0.258	1	RIR	Slc25a5
Slc34a2	0.00024307	-0.44582858	0.07	0.083	1	RIR	Slc34a2
Med12l	0.000245936	0.292998465	0.022	0.015	1	RIR	Med12l
Rbbp8	0.000246034	0.370647253	0.026	0.018	1	RIR	Rbbp8
Snap23	0.000246794	0.213919267	0.039	0.029	1	RIR	Snap23
Wnk2	0.000248205	0.395734723	0.027	0.019	1	RIR	Wnk2
Sptssb	0.000250878	-0.900199049	0.006	0.011	1	RIR	Sptssb
Rap2b	0.000253582	0.362374781	0.029	0.021	1	RIR	Rap2b
Zfc3h1	0.000255439	0.585712913	0.034	0.025	1	RIR	Zfc3h1
Gigyf2	0.0002572	0.239360371	0.051	0.04	1	RIR	Gigyf2
Hmgn1	0.000257463	-0.324440499	0.256	0.27	1	RIR	Hmgn1
Vdac2	0.000259066	-0.534040828	0.092	0.106	1	RIR	Vdac2
Slc44a4	0.000260401	0.511521005	0.03	0.022	1	RIR	Slc44a4
Lgals7	0.000265645	-0.231395455	0.09	0.103	1	RIR	Lgals7
Stfa1	0.000266257	-0.665299157	0.03	0.039	1	RIR	Stfa1
Rnf169	0.00027015	0.348630513	0.041	0.031	1	RIR	Rnf169
Gns	0.000275387	0.229044622	0.079	0.065	1	RIR	Gns
Cdc42ep4	0.000276558	-1.066065889	0.032	0.041	1	RIR	Cdc42ep4
Arhgap39	0.000280523	-0.734305504	0.007	0.011	1	RIR	Arhgap39
Atp5b	0.000282969	-0.192171078	0.216	0.232	1	RIR	Atp5b
Csrp1	0.000283325	-0.337481632	0.084	0.098	1	RIR	Csrp1
AU040320	0.000283724	0.370687428	0.027	0.02	1	RIR	AU040320
Gpr137b	0.000284084	0.851709999	0.016	0.01	1	RIR	Gpr137b
Ptms	0.000284217	-0.162343919	0.095	0.109	1	RIR	Ptms
Sec61g	0.000284491	-0.301026069	0.174	0.189	1	RIR	Sec61g
Tor1aip2	0.000284692	0.118754575	0.085	0.071	1	RIR	Tor1aip2
Btg2	0.000290672	0.655890922	0.023	0.015	1	RIR	Btg2
Nsd2	0.00029117	0.435390879	0.028	0.02	1	RIR	Nsd2
Cops9	0.000291304	-0.410667384	0.081	0.094	1	RIR	Cops9
Hypk	0.000294155	-0.677802732	0.033	0.042	1	RIR	Hypk
Thra	0.000295643	-0.274914042	0.063	0.075	1	RIR	Thra
Slc6a14	0.000296167	0.23955392	0.085	0.071	1	RIR	Slc6a14
Fen1	0.000297369	0.805649962	0.018	0.012	1	RIR	Fen1
Ddx46	0.00030005	0.110471976	0.032	0.023	1	RIR	Ddx46
Creb1	0.000300231	0.111948559	0.044	0.034	1	RIR	Creb1
Tmcc1	0.000306166	0.32396295	0.061	0.049	1	RIR	Tmcc1
Sdhb	0.000306566	-0.469490423	0.082	0.095	1	RIR	Sdhb
Uqcrc1	0.00030675	-0.354799115	0.093	0.106	1	RIR	Uqcrc1
Mr1	0.00030763	-0.491780415	0.048	0.059	1	RIR	Mr1
Smg1	0.000307894	0.355307189	0.05	0.04	1	RIR	Smg1
Tmx3	0.000309676	0.278653606	0.06	0.048	1	RIR	Tmx3
Galntl6	0.000309853	0.662952819	0.019	0.012	1	RIR	Galntl6
Psma7	0.000319333	-0.231832158	0.152	0.168	1	RIR	Psma7
Pof1b	0.000321631	-0.240409207	0.083	0.096	1	RIR	Pof1b
Klf6	0.000322729	0.265853247	0.06	0.048	1	RIR	Klf6
Wtap	0.000327532	0.184362887	0.037	0.028	1	RIR	Wtap
Adam19	0.000328846	0.797864889	0.014	0.008	1	RIR	Adam19
Bnip2	0.000330387	0.345282622	0.048	0.038	1	RIR	Bnip2
Galnt18	0.000332463	0.341773538	0.235	0.213	1	RIR	Galnt18
Gsr	0.000336851	0.364003557	0.035	0.026	1	RIR	Gsr
Tmem127	0.000337026	0.323987122	0.048	0.038	1	RIR	Tmem127
Hmgcs1	0.000339438	-0.348624575	0.151	0.166	1	RIR	Hmgcs1
Akr1b3	0.000339898	0.29532324	0.068	0.056	1	RIR	Akr1b3
Mcm5	0.000340816	1.104013649	0.015	0.009	1	RIR	Mcm5
Tmprss11b	0.000342085	0.237329101	0.086	0.072	1	RIR	Tmprss11b
Mdm2	0.000344339	0.384609909	0.042	0.032	1	RIR	Mdm2
Mxra8	0.000345349	0.247202292	0.046	0.036	1	RIR	Mxra8
Cryba1	0.000345394	-0.316456984	0.414	0.421	1	RIR	Cryba1
Npas2	0.000346504	0.944441756	0.015	0.009	1	RIR	Npas2
Svil	0.000346513	0.219595719	0.054	0.044	1	RIR	Svil
Nufip2	0.000347666	0.174558918	0.064	0.052	1	RIR	Nufip2
Gm128	0.00034811	-0.64555214	0.016	0.022	1	RIR	Gm128
Lgals8	0.000348526	0.454080712	0.034	0.026	1	RIR	Lgals8
Uvrag	0.000348932	0.168854567	0.052	0.041	1	RIR	Uvrag
Pde12	0.00035613	0.509386244	0.015	0.009	1	RIR	Pde12
Ywhah	0.000364575	0.237451114	0.078	0.065	1	RIR	Ywhah
Ddi2	0.000364665	0.182503662	0.043	0.033	1	RIR	Ddi2
Camta2	0.000366515	0.591351129	0.024	0.017	1	RIR	Camta2
Abhd17b	0.000368445	0.189569016	0.053	0.042	1	RIR	Abhd17b
Cttnbp2nl	0.000368923	0.201797268	0.038	0.029	1	RIR	Cttnbp2nl
Psmb1	0.000369518	-0.20335092	0.22	0.236	1	RIR	Psmb1
Zfp281	0.000380379	0.46245709	0.014	0.009	1	RIR	Zfp281
mt-Nd5	0.000381122	-0.486171468	0.09	0.103	1	RIR	mt-Nd5
Fads2	0.000383543	-0.319769815	0.076	0.088	1	RIR	Fads2
Gm2a	0.000384525	0.418990452	0.042	0.033	1	RIR	Gm2a
Cep170	0.000386286	0.483413148	0.016	0.01	1	RIR	Cep170
Unc13c	0.000387589	-0.578115293	0.019	0.027	1	RIR	Unc13c
Manba	0.000389554	0.636495055	0.012	0.007	1	RIR	Manba
Man2b1	0.000390719	0.379943723	0.016	0.01	1	RIR	Man2b1
Pnpt1	0.000393749	0.463622759	0.011	0.006	1	RIR	Pnpt1
Gm2000	0.000400246	-0.501528764	0.066	0.078	1	RIR	Gm2000
Esrp1	0.000400984	-0.352597155	0.112	0.126	1	RIR	Esrp1
Antxr2	0.00040311	0.700895276	0.019	0.012	1	RIR	Antxr2
Dicer1	0.000405746	0.170092554	0.034	0.026	1	RIR	Dicer1
Ranbp2	0.000414037	0.39849274	0.04	0.03	1	RIR	Ranbp2
Ubl4a	0.000414853	-0.585836396	0.019	0.026	1	RIR	Ubl4a
Dyrk1a	0.000418381	0.224728353	0.054	0.043	1	RIR	Dyrk1a
Phf11d	0.000418654	0.771402077	0.017	0.011	1	RIR	Phf11d
Cenpf	0.000425518	-0.560600688	0.008	0.013	1	RIR	Cenpf
Dctn2	0.000429813	-0.215773015	0.092	0.106	1	RIR	Dctn2
Mapk14	0.0004307	0.157489791	0.048	0.038	1	RIR	Mapk14
Jmjd1c	0.000431512	0.188939913	0.082	0.068	1	RIR	Jmjd1c
Phc2	0.000435223	0.156238388	0.068	0.056	1	RIR	Phc2
Cd274	0.000444992	0.322404195	0.027	0.02	1	RIR	Cd274
Vwa5a	0.000445774	0.305379901	0.045	0.035	1	RIR	Vwa5a
Phf21a	0.000446437	0.306192687	0.067	0.055	1	RIR	Phf21a
Cramp1l	0.000454063	0.571384687	0.023	0.016	1	RIR	Cramp1l
Gab2	0.000454115	0.417591856	0.036	0.027	1	RIR	Gab2
Mid1ip1	0.000460955	-0.305377091	0.074	0.086	1	RIR	Mid1ip1
Itga4	0.000462376	0.907201755	0.011	0.007	1	RIR	Itga4
Vps41	0.000471893	0.238215615	0.04	0.031	1	RIR	Vps41
Kmt2d	0.00047226	0.362358849	0.044	0.034	1	RIR	Kmt2d
Bhlhe41	0.000474569	-0.651561604	0.013	0.019	1	RIR	Bhlhe41
Man1a2	0.00047544	0.479916163	0.043	0.033	1	RIR	Man1a2
Mrc2	0.000479596	0.572093384	0.058	0.047	1	RIR	Mrc2
Cap1	0.000483208	0.249987819	0.058	0.047	1	RIR	Cap1
Ddx23	0.00048509	0.743926848	0.017	0.011	1	RIR	Ddx23
Itgbl1	0.00049104	0.302553986	0.056	0.045	1	RIR	Itgbl1
Hsp90b1	0.000492813	0.149152031	0.226	0.204	1	RIR	Hsp90b1
Rbp2	0.000493294	-0.49557795	0.123	0.137	1	RIR	Rbp2
Rnasel	0.000496097	0.53307087	0.037	0.029	1	RIR	Rnasel
Zbtb1	0.000497555	0.39632582	0.018	0.012	1	RIR	Zbtb1
Cct7	0.000497962	-0.293053227	0.129	0.143	1	RIR	Cct7
Secisbp2l	0.000500946	0.324448542	0.028	0.021	1	RIR	Secisbp2l
Pigp	0.000501549	-0.484717091	0.025	0.033	1	RIR	Pigp
Aldh2	0.000502849	-0.184767232	0.131	0.146	1	RIR	Aldh2
Il1r1	0.000509366	0.862760539	0.017	0.011	1	RIR	Il1r1
Iqgap1	0.000509619	0.112148384	0.135	0.118	1	RIR	Iqgap1
Nras	0.000511346	0.388708855	0.06	0.049	1	RIR	Nras
Washc4	0.000515491	0.409744888	0.018	0.012	1	RIR	Washc4
Ubr5	0.000517593	0.160472287	0.113	0.097	1	RIR	Ubr5
Anln	0.000520423	-0.739015784	0.012	0.017	1	RIR	Anln
Rexo2	0.000533036	0.239097042	0.028	0.021	1	RIR	Rexo2
Adam17	0.000538613	0.261256486	0.055	0.044	1	RIR	Adam17
Dnajc24	0.000540146	0.23662634	0.028	0.02	1	RIR	Dnajc24
Prdx1	0.000542303	-0.163987344	0.193	0.208	1	RIR	Prdx1
Klf12	0.000542687	-0.641936204	0.013	0.019	1	RIR	Klf12
Soat1	0.000549783	0.435533936	0.016	0.01	1	RIR	Soat1
Nfya	0.000553062	1.003984916	0.011	0.006	1	RIR	Nfya
Cyth3	0.000560968	0.302070483	0.044	0.035	1	RIR	Cyth3
Edf1	0.000564671	-0.427784284	0.098	0.111	1	RIR	Edf1
Notch3	0.000567534	-0.645245566	0.054	0.064	1	RIR	Notch3
Ywhaq	0.000583749	-0.379935959	0.127	0.14	1	RIR	Ywhaq
Krt19	0.000584792	-0.258702644	0.115	0.129	1	RIR	Krt19
Raph1	0.000585532	0.322534042	0.025	0.018	1	RIR	Raph1
Atg4c	0.000590661	0.797843866	0.017	0.012	1	RIR	Atg4c
Agpat3	0.000591584	-0.40167726	0.068	0.08	1	RIR	Agpat3
Osbpl8	0.000600608	0.191993674	0.05	0.04	1	RIR	Osbpl8
Thbs4	0.00060301	0.410377856	0.072	0.06	1	RIR	Thbs4
Tmem184b	0.000610858	0.365001745	0.024	0.017	1	RIR	Tmem184b
Smarcad1	0.000616611	-0.204653946	0.016	0.011	1	RIR	Smarcad1
Phlda3	0.000628677	-0.387027749	0.055	0.065	1	RIR	Phlda3
Fbxw7	0.000639385	0.161675473	0.038	0.029	1	RIR	Fbxw7
Sem1	0.000641286	-0.25781195	0.196	0.211	1	RIR	Sem1
Dmrta2	0.000648868	-0.64535025	0.053	0.063	1	RIR	Dmrta2
Svip	0.000650824	-0.930092924	0.018	0.025	1	RIR	Svip
Psmb6	0.000653116	-0.474527242	0.084	0.096	1	RIR	Psmb6
Med21	0.000656386	-0.887736434	0.013	0.019	1	RIR	Med21
Cyfip1	0.000657691	0.113096908	0.067	0.055	1	RIR	Cyfip1
Slc27a3	0.000659019	0.921576935	0.01	0.006	1	RIR	Slc27a3
Polr2e	0.000659959	-0.782778574	0.021	0.028	1	RIR	Polr2e
Ubac2	0.000664499	0.467198514	0.028	0.021	1	RIR	Ubac2
Naip1	0.000666955	0.645594128	0.01	0.006	1	RIR	Naip1
Arntl2	0.000684559	0.841935767	0.011	0.006	1	RIR	Arntl2
Mapk4	0.000685467	-1.198902319	0.016	0.022	1	RIR	Mapk4
Alg5	0.000686839	0.468995387	0.014	0.009	1	RIR	Alg5
Setd2	0.000689654	0.263486616	0.041	0.032	1	RIR	Setd2
Apaf1	0.000704704	0.586363851	0.021	0.015	1	RIR	Apaf1
Chd1	0.000705075	0.281316628	0.038	0.029	1	RIR	Chd1
Car14	0.00070662	-0.599572023	0.016	0.022	1	RIR	Car14
Dsc3	0.000708779	-0.447612422	0.138	0.151	1	RIR	Dsc3
Elk3	0.000711827	0.334210322	0.042	0.033	1	RIR	Elk3
Pclaf	0.000715864	0.542333025	0.023	0.016	1	RIR	Pclaf
Atf7	0.000717696	0.307466717	0.035	0.026	1	RIR	Atf7
Zfp326	0.000723458	0.334382727	0.039	0.03	1	RIR	Zfp326
Agps	0.000725465	0.145053378	0.045	0.036	1	RIR	Agps
Lrrc17	0.00072785	-0.295836073	0.118	0.132	1	RIR	Lrrc17
Exoc5	0.000732888	0.206792843	0.044	0.035	1	RIR	Exoc5
Grm8	0.000738772	-0.826812328	0.04	0.049	1	RIR	Grm8
Nedd4l	0.000741193	0.237790894	0.042	0.032	1	RIR	Nedd4l
Dcxr	0.00074137	-0.144612616	0.008	0.012	1	RIR	Dcxr
Reln	0.000744575	-0.664712976	0.011	0.017	1	RIR	Reln
Fads1	0.00074588	-0.618206589	0.03	0.038	1	RIR	Fads1
G3bp1	0.000749218	-0.291078998	0.109	0.123	1	RIR	G3bp1
Coq10b	0.000751533	0.289192663	0.039	0.03	1	RIR	Coq10b
Pros1	0.000752276	0.463402083	0.031	0.023	1	RIR	Pros1
Tle3	0.000758517	0.406999108	0.046	0.036	1	RIR	Tle3
Pla2g4a	0.000762199	0.252251254	0.041	0.032	1	RIR	Pla2g4a
Trim5	0.000763237	1.073150607	0.011	0.007	1	RIR	Trim5
Haus6	0.000775485	0.829527328	0.01	0.005	1	RIR	Haus6
Etfdh	0.000779	-0.934456196	0.012	0.017	1	RIR	Etfdh
Dnaja1	0.000779119	0.237425258	0.079	0.067	1	RIR	Dnaja1
Casp3	0.000803686	0.852921801	0.016	0.01	1	RIR	Casp3
Gstt2	0.000810857	-1.012186932	0.008	0.012	1	RIR	Gstt2
Adar	0.000814235	0.332463968	0.03	0.023	1	RIR	Adar
Gm38394	0.000817583	0.653021665	0.016	0.01	1	RIR	Gm38394
Idi1	0.000817854	-0.364396156	0.05	0.06	1	RIR	Idi1
Rnf185	0.00081913	0.639243649	0.016	0.011	1	RIR	Rnf185
Rai14	0.00082487	0.486646885	0.029	0.021	1	RIR	Rai14
Nbeal1	0.000826296	0.235589553	0.048	0.039	1	RIR	Nbeal1
Rbms1	0.000827116	0.161834539	0.138	0.121	1	RIR	Rbms1
Asap1	0.000831211	0.266715797	0.06	0.049	1	RIR	Asap1
Xrcc5	0.000831833	-0.602232464	0.015	0.021	1	RIR	Xrcc5
Mier1	0.000838986	0.183275194	0.032	0.024	1	RIR	Mier1
Spred1	0.000840759	0.280210634	0.056	0.046	1	RIR	Spred1
Pxk	0.000844295	0.313304637	0.038	0.029	1	RIR	Pxk
Sc5d	0.000846793	0.120940477	0.106	0.092	1	RIR	Sc5d
Phlpp1	0.000847766	0.293840408	0.051	0.041	1	RIR	Phlpp1
Ikzf2	0.000848895	0.222142534	0.144	0.127	1	RIR	Ikzf2
Adcy7	0.000851752	0.379302761	0.019	0.013	1	RIR	Adcy7
Jam3	0.000881804	-0.638782372	0.009	0.013	1	RIR	Jam3
Zfp91	0.000882672	0.191574347	0.069	0.057	1	RIR	Zfp91
Eef2	0.00088795	-0.127029092	0.527	0.53	1	RIR	Eef2
Sap18	0.000894493	-0.592854947	0.031	0.039	1	RIR	Sap18
Snx2	0.000906223	0.172385143	0.053	0.043	1	RIR	Snx2
Scarb2	0.000910627	0.221879754	0.081	0.069	1	RIR	Scarb2
Trpm1	0.000913423	-0.517567348	0.04	0.049	1	RIR	Trpm1
Dennd1b	0.000919659	0.347392061	0.048	0.039	1	RIR	Dennd1b
Melk	0.000924303	-0.5219992	0.011	0.015	1	RIR	Melk
Snx31	0.000924952	-0.588815972	0.016	0.021	1	RIR	Snx31
2610528A11Rik	0.000926295	-0.487845611	0.131	0.143	1	RIR	2610528A11Rik
Setx	0.000927831	0.431016473	0.032	0.024	1	RIR	Setx
Atad2	0.000930849	0.396693275	0.027	0.02	1	RIR	Atad2
Smim7	0.000935162	-0.435680915	0.038	0.047	1	RIR	Smim7
Crem	0.000946572	0.582806858	0.011	0.007	1	RIR	Crem
Myo5a	0.000949619	0.278619417	0.04	0.031	1	RIR	Myo5a
Bicdl2	0.000950245	-0.368002365	0.027	0.035	1	RIR	Bicdl2
Fam241b	0.000952321	-1.057182735	0.007	0.011	1	RIR	Fam241b
Ankdd1b	0.000954937	1.278253123	0.01	0.006	1	RIR	Ankdd1b
Rbm3	0.000955145	0.120071034	0.169	0.151	1	RIR	Rbm3
Cerk	0.000960613	0.236346826	0.035	0.026	1	RIR	Cerk
Nktr	0.000962555	0.450816093	0.058	0.047	1	RIR	Nktr
Sipa1l1	0.000973774	0.244040507	0.062	0.051	1	RIR	Sipa1l1
Cdk17	0.000977627	0.265512649	0.027	0.02	1	RIR	Cdk17
Omp	0.000978252	0.661932114	0.011	0.006	1	RIR	Omp
Preb	0.0009801	0.210742665	0.022	0.015	1	RIR	Preb
Ndufa5	0.000987828	-0.34422197	0.116	0.129	1	RIR	Ndufa5
Ptpn1	0.000994824	0.16360022	0.046	0.037	1	RIR	Ptpn1
Banf1	0.001004639	-0.482206715	0.034	0.043	1	RIR	Banf1
Derl1	0.001017777	0.205177475	0.057	0.046	1	RIR	Derl1
Col17a1	0.001020935	0.106202849	0.305	0.287	1	RIR	Col17a1
St8sia6	0.001024417	-0.384031757	0.033	0.041	1	RIR	St8sia6
Ankrd44	0.001028108	0.191660263	0.041	0.032	1	RIR	Ankrd44
Gm26688	0.001039649	-0.406952423	0.078	0.09	1	RIR	Gm26688
Sun2	0.001040621	-0.468881309	0.025	0.033	1	RIR	Sun2
Erich5	0.001042023	0.166811664	0.049	0.039	1	RIR	Erich5
Churc1	0.001047394	-0.731941532	0.027	0.035	1	RIR	Churc1
Plcb3	0.001066421	0.289619283	0.035	0.027	1	RIR	Plcb3
Igfbp6	0.001067718	-0.692733526	0.021	0.028	1	RIR	Igfbp6
Myo3a	0.001093132	-0.262244379	0.13	0.143	1	RIR	Myo3a
Vegfb	0.001100538	-0.614019879	0.016	0.022	1	RIR	Vegfb
Acp5	0.001106563	0.370952114	0.02	0.014	1	RIR	Acp5
Tbca	0.00111495	-0.315125431	0.095	0.107	1	RIR	Tbca
Dlg2	0.001123984	-0.436548097	0.069	0.08	1	RIR	Dlg2
Tgm2	0.001125021	-0.110969705	0.176	0.156	1	RIR	Tgm2
Hsdl2	0.001136493	-0.663133134	0.023	0.029	1	RIR	Hsdl2
Rnf150	0.001137116	0.51005379	0.025	0.019	1	RIR	Rnf150
Galnt10	0.001139391	0.206066138	0.037	0.029	1	RIR	Galnt10
Ddx58	0.001143215	0.703373752	0.02	0.014	1	RIR	Ddx58
Gmnn	0.001145279	0.712128104	0.017	0.012	1	RIR	Gmnn
Nedd8	0.001145319	-0.434647742	0.073	0.084	1	RIR	Nedd8
Ppp1r12c	0.001154186	0.150879483	0.037	0.029	1	RIR	Ppp1r12c
Utp3	0.001163504	0.409963375	0.029	0.022	1	RIR	Utp3
Ccdc6	0.001191339	0.23313101	0.033	0.025	1	RIR	Ccdc6
Stk25	0.001198416	0.619850679	0.039	0.031	1	RIR	Stk25
Gm40271	0.001206627	-0.2285759	0.201	0.215	1	RIR	Gm40271
Serpinb3a	0.00121184	-0.180259644	0.039	0.048	1	RIR	Serpinb3a
Dock4	0.001222285	0.372785944	0.036	0.028	1	RIR	Dock4
Me2	0.001227423	0.251930389	0.013	0.008	1	RIR	Me2
Cbr3	0.001232035	-1.03957731	0.009	0.013	1	RIR	Cbr3
Lsm7	0.001233562	-0.626311978	0.026	0.034	1	RIR	Lsm7
Psd3	0.001233858	0.390941175	0.04	0.032	1	RIR	Psd3
Psapl1	0.001236584	-0.741654566	0.023	0.03	1	RIR	Psapl1
Tbc1d5	0.00123711	0.250146883	0.052	0.042	1	RIR	Tbc1d5
Gan	0.00123756	0.307030652	0.027	0.02	1	RIR	Gan
Otud4	0.001249842	0.253401355	0.04	0.031	1	RIR	Otud4
Gclm	0.00125556	-0.272312452	0.027	0.034	1	RIR	Gclm
Sec24a	0.001270102	0.563936508	0.021	0.015	1	RIR	Sec24a
Zfp36	0.001279462	0.166011732	0.07	0.059	1	RIR	Zfp36
Plagl2	0.00128577	0.703023872	0.011	0.007	1	RIR	Plagl2
Mfsd12	0.001287866	0.688161796	0.011	0.007	1	RIR	Mfsd12
Naaa	0.001288723	0.486595882	0.023	0.017	1	RIR	Naaa
Atp5c1	0.001299354	-0.389878373	0.097	0.109	1	RIR	Atp5c1
Odc1	0.001301948	-0.346292507	0.083	0.094	1	RIR	Odc1
6720427I07Rik	0.001304429	0.351268837	0.024	0.017	1	RIR	6720427I07Rik
Dnajc2	0.001310536	0.264287027	0.031	0.024	1	RIR	Dnajc2
Prkcb	0.001317372	0.333142483	0.03	0.023	1	RIR	Prkcb
Tango6	0.00133559	0.667241526	0.01	0.006	1	RIR	Tango6
Ndufb8	0.001351712	-0.326084829	0.1	0.112	1	RIR	Ndufb8
Uba6	0.001361206	0.107747566	0.025	0.018	1	RIR	Uba6
Pde7a	0.001367901	0.319598849	0.037	0.029	1	RIR	Pde7a
Btbd3	0.001376222	0.22320841	0.033	0.025	1	RIR	Btbd3
Plin2	0.001384185	0.778892757	0.019	0.013	1	RIR	Plin2
Cox7b	0.001389827	-0.282181453	0.156	0.17	1	RIR	Cox7b
Acaa2	0.001395336	-0.258663929	0.03	0.038	1	RIR	Acaa2
Olfml2a	0.001400527	-0.2802785	0.017	0.023	1	RIR	Olfml2a
Wwtr1	0.001401338	0.327607589	0.051	0.042	1	RIR	Wwtr1
Arhgap31	0.001402527	0.928506113	0.018	0.012	1	RIR	Arhgap31
Stk17b	0.001402736	0.56337906	0.02	0.014	1	RIR	Stk17b
Cdkn2aipnl	0.001403225	-0.604622614	0.017	0.023	1	RIR	Cdkn2aipnl
Stk38	0.001410445	0.175263362	0.068	0.057	1	RIR	Stk38
Ttc22	0.001418063	0.565140096	0.015	0.01	1	RIR	Ttc22
Tlk2	0.001422189	0.464603225	0.037	0.029	1	RIR	Tlk2
Map3k9	0.00142244	0.866948889	0.013	0.008	1	RIR	Map3k9
Ralgds	0.001437194	0.352236952	0.036	0.028	1	RIR	Ralgds
Thbd	0.001439365	0.440211232	0.021	0.015	1	RIR	Thbd
Gnb2	0.001446825	-0.252045048	0.148	0.161	1	RIR	Gnb2
Stn1	0.00145223	0.645674496	0.015	0.01	1	RIR	Stn1
Med13	0.001464852	0.129650144	0.056	0.046	1	RIR	Med13
Atp7a	0.001474687	1.084608508	0.012	0.007	1	RIR	Atp7a
Psmg4	0.001482433	-0.423276307	0.012	0.017	1	RIR	Psmg4
Taldo1	0.001487058	-0.200931161	0.32	0.331	1	RIR	Taldo1
Tdrd3	0.001491896	0.216808053	0.037	0.028	1	RIR	Tdrd3
Psmb4	0.001493587	-0.347206066	0.137	0.15	1	RIR	Psmb4
Ripk1	0.00150459	0.760968427	0.018	0.012	1	RIR	Ripk1
Rragc	0.001506487	0.407462976	0.033	0.026	1	RIR	Rragc
Pafah1b3	0.001517111	-0.655226876	0.012	0.017	1	RIR	Pafah1b3
Pip5k1a	0.001541006	0.245884461	0.036	0.028	1	RIR	Pip5k1a
Eps8	0.001543892	0.168476964	0.046	0.037	1	RIR	Eps8
Ap2a2	0.001556782	0.382419962	0.038	0.03	1	RIR	Ap2a2
Ndufb5	0.00156411	-0.355894765	0.062	0.072	1	RIR	Ndufb5
Sf3a1	0.001568611	0.269993962	0.033	0.025	1	RIR	Sf3a1
Nfu1	0.001571116	-0.538581006	0.046	0.054	1	RIR	Nfu1
Snx9	0.001574101	0.425653304	0.045	0.036	1	RIR	Snx9
Gpt	0.001578304	-0.848656847	0.02	0.026	1	RIR	Gpt
Nup54	0.001582288	0.263166134	0.011	0.007	1	RIR	Nup54
Cspg5	0.001585779	-1.156239491	0.01	0.015	1	RIR	Cspg5
Ifitm10	0.00159288	-0.976344194	0.008	0.012	1	RIR	Ifitm10
Timm22	0.001606968	-0.273851382	0.029	0.036	1	RIR	Timm22
Rreb1	0.001625524	0.108440544	0.066	0.055	1	RIR	Rreb1
Dnajc1	0.001626106	0.315146224	0.045	0.036	1	RIR	Dnajc1
Zfand5	0.001629469	0.113880498	0.115	0.1	1	RIR	Zfand5
Srsf11	0.001639874	0.137759532	0.065	0.054	1	RIR	Srsf11
Specc1	0.001645836	0.177961701	0.043	0.035	1	RIR	Specc1
Cflar	0.001649455	0.266192307	0.049	0.04	1	RIR	Cflar
Wdr43	0.001651976	0.282870942	0.041	0.032	1	RIR	Wdr43
Atp6v1e1	0.001659788	-0.3951035	0.101	0.113	1	RIR	Atp6v1e1
Myl12a	0.001688271	-0.318981638	0.153	0.166	1	RIR	Myl12a
Pycard	0.001688871	-0.278494876	0.085	0.096	1	RIR	Pycard
Kif1c	0.001694046	-0.416085132	0.089	0.1	1	RIR	Kif1c
