	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Cblb	1.21E-05	0.427752841	0.036	0.025	0.295645234	RIR	Cblb
Myl6	1.22E-05	-0.206045016	0.435	0.451	0.296999031	RIR	Myl6
Sorl1	1.22E-05	0.215541126	0.123	0.103	0.297437101	RIR	Sorl1
Net1	1.22E-05	-0.272240864	0.181	0.201	0.297973199	RIR	Net1
Snd1	1.27E-05	0.496149984	0.049	0.036	0.310380224	RIR	Snd1
Slc14a1	1.29E-05	-1.053081144	0.009	0.015	0.315297757	RIR	Slc14a1
Ets2	1.35E-05	0.710515141	0.033	0.023	0.329672716	RIR	Ets2
Ubash3b	1.36E-05	0.864589942	0.02	0.012	0.330818096	RIR	Ubash3b
Ndufs8	1.37E-05	-0.744683541	0.029	0.04	0.332867246	RIR	Ndufs8
Sh3bgrl	1.38E-05	0.498169117	0.045	0.033	0.337686475	RIR	Sh3bgrl
Ccdc80	1.39E-05	0.568141908	0.032	0.022	0.338516148	RIR	Ccdc80
Ndufa7	1.41E-05	-0.553034901	0.059	0.073	0.34312325	RIR	Ndufa7
Omd	1.42E-05	-1.133864354	0.009	0.016	0.345161371	RIR	Omd
Il10rb	1.49E-05	0.612245409	0.037	0.027	0.362255514	RIR	Il10rb
Upk1b	1.50E-05	-0.283718352	0.249	0.27	0.36478995	RIR	Upk1b
Ddx17	1.51E-05	0.164787289	0.13	0.109	0.367563587	RIR	Ddx17
Ttyh3	1.54E-05	0.616191136	0.023	0.015	0.374324915	RIR	Ttyh3
Park7	1.54E-05	-0.328732765	0.086	0.102	0.375737966	RIR	Park7
Eif3h	1.57E-05	-0.332537342	0.177	0.196	0.383618231	RIR	Eif3h
Hipk2	1.61E-05	0.373140855	0.062	0.048	0.392557416	RIR	Hipk2
Sox4	1.63E-05	0.938487246	0.029	0.02	0.3975248	RIR	Sox4
Hspa1b	1.68E-05	-0.55940069	0.136	0.153	0.410546924	RIR	Hspa1b
Il6ra	1.69E-05	1.509374821	0.012	0.006	0.411047289	RIR	Il6ra
Ehbp1l1	1.69E-05	0.833244562	0.022	0.014	0.41197441	RIR	Ehbp1l1
Fgl2	1.69E-05	0.849293343	0.017	0.01	0.41290867	RIR	Fgl2
Slc16a3	1.70E-05	0.831437742	0.01	0.005	0.415419987	RIR	Slc16a3
Cyc1	1.72E-05	-1.274979698	0.012	0.019	0.418508909	RIR	Cyc1
Nccrp1	1.72E-05	0.510795464	0.076	0.061	0.418992658	RIR	Nccrp1
Itch	1.73E-05	0.366626013	0.053	0.041	0.421420329	RIR	Itch
C1galt1	1.74E-05	0.982434727	0.014	0.007	0.425046866	RIR	C1galt1
Parp9	1.75E-05	0.6295335	0.032	0.022	0.427597536	RIR	Parp9
Irgm2	1.77E-05	0.909157033	0.012	0.006	0.43190753	RIR	Irgm2
Dusp5	1.79E-05	0.601918533	0.035	0.025	0.436784335	RIR	Dusp5
Map7d1	1.81E-05	0.454049838	0.06	0.047	0.442062888	RIR	Map7d1
Traf3	1.82E-05	0.647114611	0.024	0.015	0.442798146	RIR	Traf3
P4hb	1.91E-05	0.292677451	0.169	0.147	0.46596189	RIR	P4hb
Tmprss4	1.94E-05	0.220628596	0.062	0.048	0.473481121	RIR	Tmprss4
Anxa7	1.95E-05	-0.469114919	0.108	0.124	0.474978384	RIR	Anxa7
Tcf4	1.96E-05	0.178551609	0.151	0.13	0.476740419	RIR	Tcf4
Man1a	1.96E-05	1.220732422	0.024	0.015	0.477003575	RIR	Man1a
Col5a3	1.99E-05	1.845498676	0.012	0.006	0.484277695	RIR	Col5a3
Skil	2.00E-05	0.635313945	0.029	0.019	0.48687459	RIR	Skil
Laptm4a	2.01E-05	-0.252246767	0.375	0.389	0.491167967	RIR	Laptm4a
Vps13b	2.21E-05	0.317917546	0.068	0.053	0.53796454	RIR	Vps13b
Snx32	2.24E-05	0.502018263	0.032	0.022	0.545772505	RIR	Snx32
Gbp3	2.25E-05	0.766178765	0.014	0.008	0.548397141	RIR	Gbp3
Glrx3	2.34E-05	-0.311531081	0.138	0.156	0.57052191	RIR	Glrx3
Sdr42e1	2.35E-05	-0.587903914	0.041	0.053	0.572116322	RIR	Sdr42e1
Sash1	2.38E-05	0.38335684	0.04	0.029	0.580743186	RIR	Sash1
