	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Wdr89	1.10E-10	0.762919993	0.122	0.065	2.69E-06	RIR	Wdr89
Hcls1	1.18E-10	5.071543404	0.028	0.002	2.87E-06	RIR	Hcls1
Crhbp	1.21E-10	-1.178885291	0.06	0.106	2.95E-06	RIR	Crhbp
Timp3	1.28E-10	-0.806054476	0.292	0.351	3.12E-06	RIR	Timp3
Pros1	1.31E-10	1.080826812	0.067	0.025	3.20E-06	RIR	Pros1
S100a11	1.46E-10	0.666447502	0.123	0.065	3.56E-06	RIR	S100a11
H2-Aa	1.53E-10	1.600854069	0.048	0.013	3.73E-06	RIR	H2-Aa
Rpl13a	1.69E-10	0.288100933	0.49	0.392	4.12E-06	RIR	Rpl13a
Ptma	1.82E-10	0.320416978	0.395	0.299	4.43E-06	RIR	Ptma
Clec4e	1.83E-10	9.188491332	0.024	0	4.46E-06	RIR	Clec4e
Slc43a2	1.95E-10	2.894450053	0.034	0.005	4.74E-06	RIR	Slc43a2
Irf5	1.96E-10	4.107169642	0.031	0.004	4.79E-06	RIR	Irf5
Lyn	2.02E-10	0.794151762	0.059	0.02	4.92E-06	RIR	Lyn
Col5a2	2.19E-10	1.125878386	0.055	0.018	5.34E-06	RIR	Col5a2
Lum	2.32E-10	0.624888001	0.121	0.066	5.66E-06	RIR	Lum
F13a1	2.47E-10	2.406200511	0.044	0.011	6.03E-06	RIR	F13a1
Tubb5	2.58E-10	0.902865282	0.115	0.06	6.28E-06	RIR	Tubb5
Tgm2	2.67E-10	1.167931256	0.072	0.029	6.50E-06	RIR	Tgm2
Fcgr4	2.69E-10	9.57489479	0.023	0	6.56E-06	RIR	Fcgr4
Csf3r	3.37E-10	2.89197936	0.036	0.006	8.22E-06	RIR	Csf3r
Tpm3	3.40E-10	1.16859814	0.09	0.042	8.29E-06	RIR	Tpm3
Vat1l	3.88E-10	-1.245273956	0.071	0.118	9.46E-06	RIR	Vat1l
Clic6	4.10E-10	-1.833084507	0.032	0.066	1.00E-05	RIR	Clic6
Wnt5a	4.39E-10	1.792841039	0.061	0.022	1.07E-05	RIR	Wnt5a
Bmp1	4.65E-10	2.195368951	0.053	0.017	1.13E-05	RIR	Bmp1
Nrros	4.85E-10	2.578647234	0.028	0.002	1.18E-05	RIR	Nrros
Anxa2	4.92E-10	0.574141004	0.269	0.194	1.20E-05	RIR	Anxa2
Tnfaip2	5.11E-10	3.903942742	0.03	0.004	1.24E-05	RIR	Tnfaip2
Maf	5.28E-10	0.959622758	0.076	0.033	1.29E-05	RIR	Maf
Gsta3	5.42E-10	-1.212875041	0.104	0.158	1.32E-05	RIR	Gsta3
Itgb1	5.55E-10	0.828603088	0.124	0.069	1.35E-05	RIR	Itgb1
Ms4a6b	6.42E-10	3.590723271	0.031	0.004	1.57E-05	RIR	Ms4a6b
Cox7a2	6.86E-10	-1.033328591	0.131	0.187	1.67E-05	RIR	Cox7a2
Rpl36al	7.28E-10	0.558580186	0.196	0.129	1.78E-05	RIR	Rpl36al
Atp2b1	8.35E-10	0.798018657	0.087	0.042	2.04E-05	RIR	Atp2b1
Rack1	8.87E-10	0.246220279	0.265	0.186	2.16E-05	RIR	Rack1
Car14	9.23E-10	-1.739626447	0.049	0.088	2.25E-05	RIR	Car14
Parp14	9.32E-10	2.947302439	0.037	0.008	2.27E-05	RIR	Parp14
Rpl17	9.45E-10	0.102614514	0.357	0.266	2.30E-05	RIR	Rpl17
Cd9	9.48E-10	0.745330097	0.115	0.063	2.31E-05	RIR	Cd9
Dock2	9.64E-10	1.595946248	0.032	0.005	2.35E-05	RIR	Dock2
Col6a3	1.05E-09	0.540186612	0.072	0.03	2.56E-05	RIR	Col6a3
Ptpn18	1.06E-09	3.859625909	0.028	0.003	2.59E-05	RIR	Ptpn18
Npm1	1.06E-09	0.557935325	0.158	0.097	2.59E-05	RIR	Npm1
Irf7	1.08E-09	1.899734632	0.034	0.006	2.63E-05	RIR	Irf7
Zbp1	1.09E-09	4.528256431	0.024	0.001	2.66E-05	RIR	Zbp1
Clec4a3	1.11E-09	4.594898614	0.027	0.002	2.70E-05	RIR	Clec4a3
Etv6	1.12E-09	1.161586634	0.061	0.023	2.74E-05	RIR	Etv6
Eif4a1	1.18E-09	0.819920193	0.147	0.088	2.88E-05	RIR	Eif4a1
Eif3e	1.29E-09	0.803598156	0.087	0.042	3.14E-05	RIR	Eif3e
Abhd14b	1.41E-09	-2.162198358	0.031	0.065	3.44E-05	RIR	Abhd14b
Rps24	1.44E-09	0.219518022	0.395	0.306	3.52E-05	RIR	Rps24
Gmfg	1.49E-09	2.413049871	0.031	0.005	3.62E-05	RIR	Gmfg
Slc6a9	1.76E-09	-1.348569948	0.031	0.064	4.28E-05	RIR	Slc6a9
Hck	1.82E-09	1.514090621	0.028	0.004	4.44E-05	RIR	Hck
Igfn1	1.83E-09	-1.737651165	0.009	0.029	4.47E-05	RIR	Igfn1
Adam17	1.89E-09	1.059909554	0.049	0.016	4.62E-05	RIR	Adam17
Lpl	2.07E-09	-1.113590251	0.029	0.062	5.04E-05	RIR	Lpl
Tapbp	2.08E-09	0.286772255	0.121	0.067	5.08E-05	RIR	Tapbp
Lrrc25	2.80E-09	6.346785359	0.022	0.001	6.83E-05	RIR	Lrrc25
Sec61g	2.82E-09	0.607433555	0.168	0.107	6.87E-05	RIR	Sec61g
Prdx6	3.13E-09	-0.598808181	0.199	0.259	7.63E-05	RIR	Prdx6
Rps20	3.21E-09	0.208578207	0.473	0.375	7.81E-05	RIR	Rps20
Lox	3.22E-09	0.902028997	0.029	0.004	7.84E-05	RIR	Lox
Cck	3.46E-09	-3.187479914	0.007	0.025	8.44E-05	RIR	Cck
Ncf1	3.51E-09	3.361973698	0.029	0.004	8.55E-05	RIR	Ncf1
Slc24a5	3.60E-09	-0.999756812	0.111	0.162	8.78E-05	RIR	Slc24a5
Ifi207	3.62E-09	4.095308137	0.025	0.002	8.84E-05	RIR	Ifi207
Slc8a1	3.64E-09	1.911287375	0.041	0.011	8.88E-05	RIR	Slc8a1
Stat1	4.51E-09	1.634332667	0.054	0.02	0.000110078	RIR	Stat1
Nampt	4.57E-09	0.299452533	0.096	0.049	0.000111474	RIR	Nampt
Fam13a	4.60E-09	-1.583979846	0.026	0.056	0.000112156	RIR	Fam13a
Pik3ap1	4.60E-09	1.778600093	0.031	0.005	0.000112176	RIR	Pik3ap1
Fgl2	4.73E-09	0.988242245	0.041	0.011	0.000115232	RIR	Fgl2
Cd14	4.75E-09	2.021589205	0.031	0.005	0.000115826	RIR	Cd14
Sod2	4.84E-09	0.63983591	0.127	0.074	0.000118059	RIR	Sod2
Cmklr1	4.87E-09	5.513344621	0.022	0.001	0.000118624	RIR	Cmklr1
Ostf1	5.30E-09	1.223946707	0.062	0.025	0.000129282	RIR	Ostf1
Clec4a2	5.40E-09	3.822409912	0.025	0.002	0.00013166	RIR	Clec4a2
Cd300lf	5.76E-09	4.812773265	0.024	0.002	0.000140545	RIR	Cd300lf
Stat3	6.29E-09	0.899610259	0.075	0.035	0.000153294	RIR	Stat3
App	6.55E-09	-0.515923073	0.46	0.48	0.000159645	RIR	App
Rnase4	6.74E-09	0.770708244	0.055	0.021	0.000164332	RIR	Rnase4
Xkr4	7.93E-09	-1.636580169	0.025	0.053	0.000193264	RIR	Xkr4
Litaf	8.17E-09	1.306081183	0.05	0.018	0.000199217	RIR	Litaf
Apoc2	8.70E-09	9.289543763	0.019	0	0.000212038	RIR	Apoc2
Dpysl3	9.16E-09	0.461323518	0.081	0.039	0.00022325	RIR	Dpysl3
Rsad2	9.72E-09	2.950708557	0.029	0.005	0.000236916	RIR	Rsad2
Susd6	1.00E-08	0.405163219	0.057	0.022	0.000244258	RIR	Susd6
Ncf2	1.00E-08	1.547988749	0.029	0.005	0.000244812	RIR	Ncf2
Capg	1.05E-08	1.516861599	0.062	0.026	0.000254793	RIR	Capg
H2-Q7	1.09E-08	5.721309624	0.02	0.001	0.000266149	RIR	H2-Q7
Rgs2	1.12E-08	2.035535522	0.061	0.025	0.000273819	RIR	Rgs2
Cd84	1.13E-08	3.727739799	0.028	0.005	0.000275108	RIR	Cd84
Igfbp4	1.14E-08	0.47026508	0.133	0.08	0.000277559	RIR	Igfbp4
Wwc1	1.15E-08	-1.366453993	0.032	0.063	0.000281588	RIR	Wwc1
Ly6a	1.19E-08	1.881093056	0.049	0.017	0.00028932	RIR	Ly6a
Crlf1	1.21E-08	2.352816188	0.04	0.012	0.000294687	RIR	Crlf1
Rasa3	1.21E-08	2.603970966	0.036	0.009	0.000295673	RIR	Rasa3
Grb2	1.24E-08	0.523003087	0.084	0.042	0.000301575	RIR	Grb2
Hlf	1.26E-08	-1.364272548	0.039	0.073	0.000307733	RIR	Hlf
Pilra	1.28E-08	8.878365045	0.019	0	0.000311816	RIR	Pilra
Tagln	1.35E-08	0.752980195	0.095	0.05	0.000328879	RIR	Tagln
Msrb1	1.36E-08	1.659933697	0.045	0.015	0.000330782	RIR	Msrb1
Cdc42	1.37E-08	0.503752783	0.16	0.103	0.000333184	RIR	Cdc42
Tubb6	1.37E-08	2.402064291	0.032	0.007	0.000333952	RIR	Tubb6
Pnp	1.43E-08	1.209184033	0.065	0.028	0.000348813	RIR	Pnp
Gm12868	1.45E-08	-1.66100468	0.012	0.032	0.000354261	RIR	Gm12868
D630024D03Rik	1.50E-08	-1.757694598	0.011	0.031	0.000366378	RIR	D630024D03Rik
Uqcr11	1.53E-08	-0.88348422	0.178	0.232	0.000372531	RIR	Uqcr11
Ssr3	1.55E-08	0.868744724	0.097	0.052	0.000377734	RIR	Ssr3
Hsp90ab1	1.61E-08	0.223878051	0.356	0.275	0.000392949	RIR	Hsp90ab1
Rpl12	1.63E-08	0.507471606	0.352	0.275	0.000397943	RIR	Rpl12
Npsr1	1.64E-08	-1.807819284	0.016	0.04	0.000399358	RIR	Npsr1
Lcp2	1.68E-08	3.913078632	0.024	0.002	0.000408448	RIR	Lcp2
Pax6	1.68E-08	-0.971559507	0.128	0.181	0.000409871	RIR	Pax6
Ifngr1	1.69E-08	1.515318518	0.051	0.019	0.000411447	RIR	Ifngr1
Arid5a	1.73E-08	1.700842925	0.026	0.004	0.00042275	RIR	Arid5a
Stx7	1.85E-08	1.144049314	0.065	0.029	0.000451635	RIR	Stx7
Tmem123	1.87E-08	0.777391752	0.058	0.023	0.000454989	RIR	Tmem123
Spata5	1.91E-08	0.788379617	0.085	0.043	0.00046659	RIR	Spata5
Slpi	2.04E-08	3.848748575	0.023	0.002	0.000497319	RIR	Slpi
Pkp4	2.04E-08	-0.688794277	0.123	0.174	0.000497496	RIR	Pkp4
Il10ra	2.16E-08	2.063270054	0.023	0.002	0.000527018	RIR	Il10ra
Slc16a3	2.18E-08	4.69007263	0.022	0.002	0.00053207	RIR	Slc16a3
Ccl8	2.21E-08	3.605922616	0.024	0.003	0.000538773	RIR	Ccl8
B4galt5	2.47E-08	1.600604239	0.04	0.012	0.000603328	RIR	B4galt5
Crispld2	2.53E-08	0.507949075	0.081	0.04	0.000617378	RIR	Crispld2
Rpl23	2.61E-08	0.150844888	0.39	0.306	0.000635199	RIR	Rpl23
Slc38a3	2.68E-08	-1.318887967	0.025	0.053	0.000652616	RIR	Slc38a3
Trem2	2.72E-08	1.623354516	0.033	0.008	0.000663346	RIR	Trem2
Cers6	2.83E-08	2.551946289	0.038	0.011	0.000689473	RIR	Cers6
Runx1	3.11E-08	1.400652343	0.035	0.009	0.000758337	RIR	Runx1
Ucp2	3.23E-08	-0.774325586	0.077	0.12	0.000786862	RIR	Ucp2
Slc39a1	3.23E-08	0.425960565	0.099	0.054	0.000788217	RIR	Slc39a1
Hif1a	3.24E-08	0.233621299	0.188	0.127	0.00078896	RIR	Hif1a
Syk	3.37E-08	3.048589243	0.027	0.005	0.00082219	RIR	Syk
mt-Nd5	3.47E-08	-0.835597108	0.166	0.219	0.000845757	RIR	mt-Nd5
Vsir	3.67E-08	1.040389914	0.036	0.01	0.000894507	RIR	Vsir
H2-Eb1	3.68E-08	0.101740026	0.043	0.014	0.000898461	RIR	H2-Eb1
Lrp1	3.71E-08	0.282113668	0.317	0.241	0.000904186	RIR	Lrp1
Ass1	3.80E-08	1.438359211	0.033	0.008	0.000926875	RIR	Ass1
Phlda1	3.90E-08	0.710755882	0.069	0.032	0.000950584	RIR	Phlda1
Sash3	3.91E-08	2.947017089	0.024	0.003	0.000952713	RIR	Sash3
Tnc	4.18E-08	2.743660667	0.034	0.009	0.001019316	RIR	Tnc
Cadm1	4.21E-08	-0.911244131	0.127	0.177	0.001026307	RIR	Cadm1
Gpsm3	4.27E-08	1.693771214	0.02	0.001	0.001041753	RIR	Gpsm3
Pou2f2	4.38E-08	2.318369437	0.028	0.005	0.001067242	RIR	Pou2f2
Lst1	4.53E-08	2.266601462	0.028	0.005	0.001104324	RIR	Lst1
Rpl27a	4.53E-08	0.431020568	0.292	0.224	0.001105454	RIR	Rpl27a
Rpl23a	4.70E-08	0.220479806	0.251	0.18	0.001144818	RIR	Rpl23a
Wdr1	4.80E-08	0.636042234	0.072	0.035	0.001169578	RIR	Wdr1
Sntg1	5.17E-08	-1.151415852	0.049	0.085	0.001260527	RIR	Sntg1
Plxnd1	5.22E-08	1.750622683	0.037	0.011	0.001273425	RIR	Plxnd1
Fgr	5.65E-08	5.046532911	0.021	0.002	0.001377596	RIR	Fgr
Igsf5	5.79E-08	-2.347020695	0.007	0.023	0.001411832	RIR	Igsf5
Rassf4	5.97E-08	2.875931342	0.021	0.002	0.001456458	RIR	Rassf4
Eif3a	6.00E-08	0.518333607	0.116	0.069	0.00146191	RIR	Eif3a
Tnfrsf1b	6.40E-08	0.790622432	0.031	0.007	0.001559465	RIR	Tnfrsf1b
Naca	6.40E-08	0.203076306	0.195	0.133	0.001559556	RIR	Naca
Rdh5	6.68E-08	-0.927411611	0.116	0.164	0.001628839	RIR	Rdh5
Pdgfra	6.85E-08	0.417685444	0.049	0.018	0.00167014	RIR	Pdgfra
Ddx6	6.85E-08	0.726347401	0.127	0.078	0.001670449	RIR	Ddx6
Snx5	6.94E-08	0.649044986	0.1	0.056	0.001691433	RIR	Snx5
Slfn8	6.94E-08	4.043506374	0.024	0.004	0.001693253	RIR	Slfn8
Aplp2	6.98E-08	-0.50496102	0.183	0.236	0.001701791	RIR	Aplp2
Vav1	7.19E-08	3.284668474	0.025	0.004	0.00175322	RIR	Vav1
Lsp1	7.68E-08	0.704451966	0.032	0.008	0.001872435	RIR	Lsp1
Krt15	7.97E-08	0.616581034	0.228	0.165	0.001944117	RIR	Krt15
Arhgap45	8.02E-08	2.496617694	0.032	0.008	0.001954817	RIR	Arhgap45
Fmod	8.31E-08	-1.108908963	0.096	0.141	0.002027342	RIR	Fmod
Vcp	8.37E-08	-0.174630548	0.167	0.111	0.002039893	RIR	Vcp
Serp1	8.47E-08	0.632612639	0.11	0.065	0.002064544	RIR	Serp1
Cbl	8.47E-08	1.34936669	0.042	0.014	0.002065398	RIR	Cbl
Hmox1	8.75E-08	2.012508154	0.045	0.016	0.002133953	RIR	Hmox1
Mmp12	8.81E-08	3.443109868	0.025	0.004	0.00214784	RIR	Mmp12
Chd4	9.17E-08	0.803038221	0.117	0.07	0.002236897	RIR	Chd4
Oasl2	9.35E-08	0.72733626	0.035	0.01	0.002279346	RIR	Oasl2
Cxcl16	9.51E-08	1.607509395	0.027	0.005	0.002319393	RIR	Cxcl16
Rpl36a	9.54E-08	0.100081573	0.206	0.141	0.002325291	RIR	Rpl36a
Dab2	9.71E-08	1.092938519	0.06	0.027	0.002367478	RIR	Dab2
Rps15a	9.88E-08	0.120520185	0.417	0.334	0.002407786	RIR	Rps15a
Aebp1	9.96E-08	0.309744972	0.107	0.062	0.002429025	RIR	Aebp1
Irf8	1.04E-07	2.320344695	0.025	0.004	0.002546211	RIR	Irf8
Cox5b	1.06E-07	-0.78420461	0.157	0.206	0.002580713	RIR	Cox5b
Gusb	1.07E-07	0.654900382	0.06	0.027	0.002604034	RIR	Gusb
Ackr3	1.14E-07	-1.272825268	0.026	0.052	0.002767896	RIR	Ackr3
Fosl2	1.17E-07	1.91607539	0.043	0.015	0.002861595	RIR	Fosl2
Cyb5r3	1.18E-07	0.700981866	0.093	0.052	0.0028883	RIR	Cyb5r3
Cap1	1.21E-07	0.400870041	0.066	0.031	0.002960966	RIR	Cap1
Arap1	1.24E-07	1.21456185	0.044	0.016	0.00302118	RIR	Arap1
Postn	1.24E-07	0.95920571	0.069	0.034	0.00303119	RIR	Postn
Nt5dc2	1.26E-07	-1.21749182	0.03	0.058	0.003080817	RIR	Nt5dc2
Nebl	1.27E-07	-1.09097646	0.041	0.073	0.003104765	RIR	Nebl
Myd88	1.28E-07	1.31172643	0.032	0.008	0.003119305	RIR	Myd88
Tspan10	1.29E-07	-0.935645295	0.06	0.097	0.00314354	RIR	Tspan10
Tlr2	1.34E-07	5.660863757	0.018	0.001	0.003265893	RIR	Tlr2
Srgap2	1.35E-07	1.125163187	0.056	0.025	0.003297151	RIR	Srgap2
Smim3	1.36E-07	2.076442279	0.031	0.008	0.003304445	RIR	Smim3
Serping1	1.44E-07	-0.322729713	0.092	0.05	0.003507946	RIR	Serping1
Slc15a3	1.46E-07	3.600613344	0.022	0.003	0.003554631	RIR	Slc15a3
Emilin2	1.48E-07	2.786855081	0.028	0.006	0.003600398	RIR	Emilin2
Ndufa13	1.56E-07	-1.087001151	0.174	0.225	0.00379442	RIR	Ndufa13
Apod	1.59E-07	0.787554291	0.12	0.074	0.003884969	RIR	Apod
Tbx2	1.66E-07	-1.057792207	0.03	0.058	0.00403907	RIR	Tbx2
Fam241b	1.76E-07	-4.175625516	0.002	0.013	0.004295322	RIR	Fam241b
Tmem14c	1.77E-07	0.547763037	0.106	0.063	0.004311311	RIR	Tmem14c
Gas6	1.80E-07	-0.652599004	0.147	0.196	0.004396534	RIR	Gas6
Adamts1	1.84E-07	0.741587099	0.092	0.051	0.004490808	RIR	Adamts1
P2ry6	1.89E-07	1.731951329	0.02	0.002	0.004610129	RIR	P2ry6
Nectin1	1.99E-07	-1.161633702	0.051	0.086	0.004850148	RIR	Nectin1
Arpc5	2.03E-07	0.751258192	0.09	0.05	0.004960657	RIR	Arpc5
Hba-a2	2.11E-07	-2.575802115	0.025	0.05	0.005135084	RIR	Hba-a2
Birc3	2.12E-07	2.126864445	0.028	0.006	0.005163108	RIR	Birc3
Myo1f	2.21E-07	2.984399544	0.024	0.004	0.00539818	RIR	Myo1f
Tnfaip8l2	2.31E-07	5.270146737	0.018	0.001	0.005637521	RIR	Tnfaip8l2
Znrf1	2.40E-07	1.840547058	0.033	0.009	0.005858736	RIR	Znrf1
Tnfrsf1a	2.41E-07	0.891626661	0.101	0.059	0.005876954	RIR	Tnfrsf1a
Prpf40a	2.44E-07	1.26612935	0.061	0.029	0.005950753	RIR	Prpf40a
Clec4n	2.44E-07	3.363968145	0.021	0.002	0.005957435	RIR	Clec4n
Ppp1r18	2.52E-07	2.324746377	0.022	0.003	0.006144294	RIR	Ppp1r18
Wipf1	2.54E-07	1.679714966	0.033	0.009	0.006186254	RIR	Wipf1
Megf11	2.54E-07	-1.683223659	0.019	0.042	0.006191593	RIR	Megf11
Pdia3	2.59E-07	0.404003647	0.21	0.152	0.006318088	RIR	Pdia3
Jun	2.67E-07	0.930724912	0.063	0.03	0.006507919	RIR	Jun
Osmr	2.70E-07	1.330078567	0.031	0.008	0.006591118	RIR	Osmr
Kctd16	2.75E-07	-1.650019048	0.013	0.032	0.006697471	RIR	Kctd16
Id1	3.12E-07	-1.198942699	0.036	0.065	0.007598089	RIR	Id1
Odc1	3.13E-07	1.067210186	0.078	0.042	0.007622437	RIR	Odc1
Tmx4	3.22E-07	-1.441170563	0.05	0.083	0.007840723	RIR	Tmx4
Cdh22	3.36E-07	-1.057199798	0.008	0.024	0.008180822	RIR	Cdh22
Ccl7	3.40E-07	9.082222603	0.015	0	0.008300722	RIR	Ccl7
Cxcl10	3.53E-07	5.219677151	0.016	0.001	0.008607511	RIR	Cxcl10
Sla	3.57E-07	4.901936398	0.016	0.001	0.008695883	RIR	Sla
Rnf213	3.58E-07	0.638896131	0.058	0.027	0.008734342	RIR	Rnf213
Hspa5	3.59E-07	0.29792811	0.229	0.167	0.008754459	RIR	Hspa5
Rab8b	3.75E-07	1.09583022	0.05	0.021	0.009136655	RIR	Rab8b
Calr	3.75E-07	0.228743069	0.23	0.167	0.009147113	RIR	Calr
Ifi204	3.82E-07	1.464555534	0.025	0.005	0.00930634	RIR	Ifi204
Cp	3.83E-07	0.748610554	0.171	0.122	0.009336773	RIR	Cp
Atf4	3.97E-07	0.629468676	0.181	0.127	0.009668795	RIR	Atf4
Lrmda	3.97E-07	0.901436634	0.1	0.06	0.009670292	RIR	Lrmda
Rpl21	4.06E-07	0.219121674	0.394	0.314	0.009907723	RIR	Rpl21
G3bp2	4.12E-07	0.867552484	0.066	0.033	0.010057256	RIR	G3bp2
Dock8	4.31E-07	1.237475053	0.029	0.008	0.010497275	RIR	Dock8
Ccr1	4.39E-07	4.02797183	0.021	0.003	0.010696169	RIR	Ccr1
Mbnl1	4.54E-07	0.306583122	0.109	0.066	0.011062199	RIR	Mbnl1
Defb2	4.63E-07	-3.364257083	0.003	0.013	0.011289014	RIR	Defb2
Clec5a	4.93E-07	2.466018939	0.019	0.002	0.012017034	RIR	Clec5a
Prodh	4.95E-07	-0.412593018	0.018	0.039	0.012074212	RIR	Prodh
Prkcd	4.96E-07	0.712680259	0.05	0.021	0.012096816	RIR	Prkcd
Gstm1	5.01E-07	-1.536032298	0.021	0.043	0.012214378	RIR	Gstm1
Igfbp2	5.09E-07	0.241873213	0.187	0.134	0.012406146	RIR	Igfbp2
Slfn4	5.14E-07	6.256874431	0.016	0.001	0.012534684	RIR	Slfn4
Lair1	5.50E-07	3.448527681	0.021	0.003	0.013406879	RIR	Lair1
H2-DMb1	5.78E-07	0.803885057	0.037	0.012	0.014097374	RIR	H2-DMb1
Gnai2	6.14E-07	0.217815885	0.195	0.138	0.014976744	RIR	Gnai2
Gng11	6.19E-07	-0.815732551	0.082	0.121	0.0150914	RIR	Gng11
BC005537	6.53E-07	0.130827274	0.119	0.074	0.015930243	RIR	BC005537
Spi1	6.54E-07	1.573320215	0.019	0.002	0.015953752	RIR	Spi1
Slc39a12	6.70E-07	-1.439241366	0.019	0.041	0.016329666	RIR	Slc39a12
Arhgdib	7.00E-07	1.313432229	0.039	0.014	0.017069988	RIR	Arhgdib
Ifi211	7.11E-07	2.054280235	0.018	0.002	0.017345968	RIR	Ifi211
Tenm4	7.35E-07	-1.091228429	0.091	0.13	0.017912058	RIR	Tenm4
Fndc1	7.36E-07	1.898244056	0.033	0.011	0.017955994	RIR	Fndc1
Plat	7.47E-07	2.097227563	0.041	0.016	0.018224724	RIR	Plat
Ccl5	7.59E-07	2.972370734	0.017	0.001	0.018513438	RIR	Ccl5
Sh3gl2	7.90E-07	-1.078133834	0.04	0.069	0.019255686	RIR	Sh3gl2
Rnf130	7.99E-07	0.945043339	0.064	0.032	0.019475203	RIR	Rnf130
Zfp36l1	8.03E-07	0.582908421	0.085	0.048	0.019585397	RIR	Zfp36l1
Itga4	8.20E-07	3.165091077	0.021	0.004	0.019990337	RIR	Itga4
Mmp9	8.21E-07	4.796038227	0.018	0.002	0.020020681	RIR	Mmp9
2900052N01Rik	8.41E-07	-1.032117555	0.025	0.049	0.020503445	RIR	2900052N01Rik
Abat	8.45E-07	-1.372412052	0.028	0.053	0.020607491	RIR	Abat
Htra3	8.51E-07	0.954879277	0.02	0.003	0.020755729	RIR	Htra3
Rps25	8.68E-07	0.248635917	0.247	0.185	0.021155132	RIR	Rps25
Psmb10	8.73E-07	1.710141956	0.043	0.017	0.021282229	RIR	Psmb10
Filip1l	8.78E-07	0.303065811	0.484	0.396	0.021399216	RIR	Filip1l
Lrg1	9.19E-07	2.723859832	0.017	0.001	0.02239849	RIR	Lrg1
Wdr92	9.39E-07	1.365929438	0.061	0.03	0.022896061	RIR	Wdr92
Tmbim6	9.85E-07	0.364823346	0.148	0.101	0.02401549	RIR	Tmbim6
Lilr4b	1.04E-06	0.166459387	0.018	0.002	0.025416218	RIR	Lilr4b
Sfpq	1.04E-06	0.295675309	0.148	0.1	0.025451517	RIR	Sfpq
Rpl22	1.05E-06	0.106699544	0.267	0.205	0.025500384	RIR	Rpl22
Etl4	1.06E-06	-0.721454505	0.09	0.129	0.02585616	RIR	Etl4
Plac8	1.07E-06	1.306730441	0.045	0.019	0.025972159	RIR	Plac8
Nr1d1	1.07E-06	-0.700596278	0.014	0.032	0.026134592	RIR	Nr1d1
Defb11	1.08E-06	-2.145540544	0.006	0.019	0.02634559	RIR	Defb11
Arf1	1.10E-06	0.304717274	0.156	0.107	0.026847783	RIR	Arf1
Mfsd1	1.12E-06	1.109014568	0.058	0.028	0.027354047	RIR	Mfsd1
Fam107a	1.14E-06	-1.236939413	0.027	0.051	0.027789437	RIR	Fam107a
Rbpj	1.22E-06	1.218734047	0.052	0.023	0.029780798	RIR	Rbpj
Trf	1.22E-06	0.3851534	0.126	0.082	0.029840331	RIR	Trf
Vti1a	1.25E-06	0.290495593	0.056	0.026	0.030449976	RIR	Vti1a
Igfbp5	1.26E-06	-0.490738098	0.262	0.313	0.030808763	RIR	Igfbp5
Btf3	1.27E-06	0.259692787	0.094	0.055	0.03096814	RIR	Btf3
Samsn1	1.30E-06	2.701370953	0.024	0.005	0.031616004	RIR	Samsn1
Fpr2	1.32E-06	8.281403809	0.014	0	0.03213883	RIR	Fpr2
Nectin3	1.32E-06	-0.548915288	0.13	0.175	0.032254737	RIR	Nectin3
Abca4	1.36E-06	-0.837852729	0.088	0.127	0.033048014	RIR	Abca4
Rftn1	1.37E-06	3.966784865	0.023	0.005	0.033300221	RIR	Rftn1
Mob1a	1.38E-06	0.914753747	0.042	0.017	0.033553923	RIR	Mob1a
Tyr	1.38E-06	-0.804925537	0.108	0.15	0.033609421	RIR	Tyr
Gpc1	1.40E-06	0.63896811	0.056	0.026	0.03423685	RIR	Gpc1
Htra1	1.41E-06	0.983805092	0.102	0.063	0.034479391	RIR	Htra1
Pla2g5	1.42E-06	-0.87024151	0.104	0.145	0.034599606	RIR	Pla2g5
Ntrk2	1.42E-06	-0.7661745	0.111	0.152	0.034710985	RIR	Ntrk2
Wdfy4	1.49E-06	4.160720023	0.017	0.002	0.036354967	RIR	Wdfy4
Cdc42se1	1.49E-06	1.585702778	0.034	0.012	0.036375873	RIR	Cdc42se1
Evi2	1.51E-06	3.391273437	0.017	0.002	0.036832095	RIR	Evi2
Atp1b3	1.58E-06	-0.682439128	0.313	0.351	0.038445778	RIR	Atp1b3
Nupr1	1.58E-06	0.217499354	0.238	0.178	0.038617973	RIR	Nupr1
Sfrp2	1.59E-06	2.025721651	0.024	0.005	0.038739213	RIR	Sfrp2
Gm21188	1.60E-06	8.566813034	0.013	0	0.038974474	RIR	Gm21188
Mgst1	1.60E-06	-0.973929169	0.13	0.174	0.038992508	RIR	Mgst1
Tnfrsf12a	1.62E-06	2.885206203	0.024	0.005	0.039490902	RIR	Tnfrsf12a
Cltb	1.63E-06	-1.057605296	0.066	0.101	0.039818739	RIR	Cltb
Ifi209	1.64E-06	5.271216365	0.015	0.001	0.040105702	RIR	Ifi209
Angptl2	1.66E-06	-0.828163058	0.052	0.084	0.040371391	RIR	Angptl2
Rapsn	1.68E-06	-1.549348473	0.01	0.026	0.040922854	RIR	Rapsn
Map4k4	1.72E-06	0.806523196	0.061	0.03	0.041915481	RIR	Map4k4
Uqcr10	1.73E-06	-1.053737462	0.154	0.197	0.042072341	RIR	Uqcr10
