	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Ctsc	1.62E-25	1.322302145	0.153	0.055	3.94E-21	RIR	Ctsc
Tyrobp	3.08E-25	2.526043709	0.086	0.013	7.52E-21	RIR	Tyrobp
Hexb	4.60E-25	0.786113486	0.352	0.216	1.12E-20	RIR	Hexb
Tyrp1	4.66E-25	-0.98785728	0.266	0.378	1.14E-20	RIR	Tyrp1
mt-Nd2	6.20E-25	-0.678500119	0.432	0.517	1.51E-20	RIR	mt-Nd2
Hba-a1	1.01E-24	-4.144886372	0.006	0.043	2.45E-20	RIR	Hba-a1
Dbp	1.03E-24	-1.576927662	0.044	0.114	2.52E-20	RIR	Dbp
Mmp14	1.27E-24	1.21206198	0.181	0.077	3.09E-20	RIR	Mmp14
Rps9	2.14E-23	0.437931736	0.505	0.367	5.22E-19	RIR	Rps9
Folr1	3.78E-23	-1.399539917	0.077	0.158	9.21E-19	RIR	Folr1
Apoe	5.63E-23	-0.36261068	0.55	0.656	1.37E-18	RIR	Apoe
Glul	8.59E-23	-0.796302808	0.309	0.409	2.10E-18	RIR	Glul
Fabp5	9.57E-23	1.12513197	0.226	0.116	2.33E-18	RIR	Fabp5
Mlana	2.31E-22	-0.936068349	0.322	0.422	5.64E-18	RIR	Mlana
Coro1a	2.50E-22	4.208511758	0.066	0.006	6.09E-18	RIR	Coro1a
Slc26a4	3.01E-22	-1.437503891	0.066	0.142	7.33E-18	RIR	Slc26a4
Lgals1	4.62E-22	1.334356219	0.207	0.103	1.13E-17	RIR	Lgals1
Fcgr3	2.01E-21	2.419347649	0.081	0.016	4.89E-17	RIR	Fcgr3
Pf4	2.24E-21	4.454009552	0.063	0.006	5.45E-17	RIR	Pf4
Cebpb	2.75E-21	2.484178134	0.078	0.014	6.70E-17	RIR	Cebpb
Kcnip4	3.17E-21	-1.403433205	0.095	0.177	7.73E-17	RIR	Kcnip4
Hp	4.56E-21	5.164009736	0.056	0.003	1.11E-16	RIR	Hp
Dapl1	6.87E-21	-1.243943253	0.109	0.194	1.67E-16	RIR	Dapl1
Arg1	6.97E-21	4.118875656	0.07	0.011	1.70E-16	RIR	Arg1
Il1b	8.71E-21	4.878664569	0.059	0.005	2.12E-16	RIR	Il1b
Myh9	9.48E-21	1.282309143	0.139	0.053	2.31E-16	RIR	Myh9
Aif1	1.22E-20	2.357735828	0.069	0.01	2.98E-16	RIR	Aif1
Col1a1	1.23E-20	1.022499086	0.251	0.144	3.00E-16	RIR	Col1a1
Unc93b1	1.83E-20	3.968797707	0.063	0.007	4.46E-16	RIR	Unc93b1
Arpc2	3.05E-20	0.977914853	0.182	0.086	7.44E-16	RIR	Arpc2
Ms4a6d	5.99E-20	5.675019419	0.05	0.001	1.46E-15	RIR	Ms4a6d
Pid1	6.89E-20	1.155142629	0.102	0.03	1.68E-15	RIR	Pid1
C1qb	6.98E-20	1.415713415	0.09	0.023	1.70E-15	RIR	C1qb
Pcp4	7.53E-20	-1.344358045	0.101	0.182	1.84E-15	RIR	Pcp4
C3ar1	9.84E-20	5.060343937	0.054	0.004	2.40E-15	RIR	C3ar1
Chchd10	1.22E-19	-1.142056883	0.14	0.229	2.97E-15	RIR	Chchd10
Tagln2	2.04E-19	0.981388363	0.1	0.03	4.97E-15	RIR	Tagln2
Ifitm1	4.44E-19	0.745573887	0.131	0.052	1.08E-14	RIR	Ifitm1
Rpsa	4.57E-19	0.678601811	0.368	0.248	1.11E-14	RIR	Rpsa
Mfrp	5.09E-19	-0.924842958	0.09	0.167	1.24E-14	RIR	Mfrp
Adgre1	5.82E-19	3.639191993	0.058	0.006	1.42E-14	RIR	Adgre1
Pirb	7.30E-19	4.903183357	0.05	0.002	1.78E-14	RIR	Pirb
Pla2g7	7.41E-19	1.95928269	0.094	0.028	1.81E-14	RIR	Pla2g7
Gpx3	8.19E-19	-0.245812846	0.19	0.29	2.00E-14	RIR	Gpx3
Dhrs1	1.07E-18	-0.924729817	0.152	0.238	2.61E-14	RIR	Dhrs1
Slc4a5	1.07E-18	-1.356308431	0.075	0.145	2.62E-14	RIR	Slc4a5
Pld5	1.51E-18	-1.478063426	0.049	0.109	3.67E-14	RIR	Pld5
Fbln2	2.19E-18	2.490835547	0.084	0.022	5.34E-14	RIR	Fbln2
Serpine1	2.63E-18	2.614040795	0.079	0.019	6.42E-14	RIR	Serpine1
Eef1a1	2.88E-18	0.330537886	0.57	0.442	7.03E-14	RIR	Eef1a1
Fxyd5	2.89E-18	3.178208097	0.064	0.011	7.04E-14	RIR	Fxyd5
Fam129a	2.90E-18	-1.041388476	0.145	0.231	7.06E-14	RIR	Fam129a
Btg1	3.06E-18	1.558463168	0.103	0.035	7.45E-14	RIR	Btg1
Cd74	3.25E-18	0.734815417	0.103	0.034	7.93E-14	RIR	Cd74
Bgn	3.87E-18	0.432131819	0.201	0.107	9.43E-14	RIR	Bgn
Msr1	4.12E-18	4.516955449	0.052	0.004	1.00E-13	RIR	Msr1
Ptprc	4.59E-18	2.605141402	0.058	0.008	1.12E-13	RIR	Ptprc
9330185C12Rik	5.07E-18	0.793571176	0.187	0.097	1.24E-13	RIR	9330185C12Rik
Slc38a8	5.26E-18	-1.555700192	0.015	0.054	1.28E-13	RIR	Slc38a8
Thbs1	5.62E-18	1.476500385	0.095	0.03	1.37E-13	RIR	Thbs1
Slc6a6	5.89E-18	-0.893383015	0.267	0.359	1.44E-13	RIR	Slc6a6
Csf1r	7.17E-18	1.885335889	0.079	0.019	1.75E-13	RIR	Csf1r
Lamp1	9.79E-18	0.695110104	0.247	0.146	2.39E-13	RIR	Lamp1
Cyba	1.14E-17	1.5879678	0.112	0.042	2.78E-13	RIR	Cyba
Ccl9	1.21E-17	7.513619344	0.043	0.001	2.94E-13	RIR	Ccl9
Lgals3	1.34E-17	1.918586331	0.137	0.061	3.27E-13	RIR	Lgals3
Tpt1	1.51E-17	0.352103299	0.539	0.412	3.69E-13	RIR	Tpt1
Steap4	1.54E-17	2.119218208	0.069	0.014	3.75E-13	RIR	Steap4
Shisa5	2.01E-17	0.939722623	0.078	0.02	4.90E-13	RIR	Shisa5
C1ra	2.07E-17	1.797277238	0.064	0.012	5.04E-13	RIR	C1ra
Ccl2	2.16E-17	6.194564631	0.044	0.001	5.27E-13	RIR	Ccl2
Slc4a4	2.63E-17	-1.333728119	0.098	0.173	6.41E-13	RIR	Slc4a4
Il1rn	2.77E-17	1.392677323	0.045	0.002	6.76E-13	RIR	Il1rn
Mcl1	4.41E-17	1.216437131	0.106	0.039	1.08E-12	RIR	Mcl1
Cfl1	5.03E-17	1.072533586	0.15	0.07	1.23E-12	RIR	Cfl1
Vcam1	7.09E-17	1.623725936	0.082	0.023	1.73E-12	RIR	Vcam1
Marcks	9.08E-17	1.0890666	0.17	0.087	2.22E-12	RIR	Marcks
Wfdc17	1.18E-16	3.627443983	0.051	0.006	2.88E-12	RIR	Wfdc17
Podxl2	1.26E-16	-1.430316572	0.02	0.06	3.07E-12	RIR	Podxl2
1600010M07Rik	1.32E-16	0.944152823	0.209	0.118	3.22E-12	RIR	1600010M07Rik
Fyb	1.48E-16	2.843710483	0.056	0.009	3.61E-12	RIR	Fyb
Cfp	1.50E-16	2.89936733	0.05	0.005	3.65E-12	RIR	Cfp
Rps26	1.66E-16	0.110762445	0.325	0.211	4.04E-12	RIR	Rps26
Ctsa	1.66E-16	1.060537775	0.171	0.089	4.05E-12	RIR	Ctsa
Kcnip1	1.79E-16	0.93534112	0.198	0.11	4.37E-12	RIR	Kcnip1
Ccr5	1.80E-16	5.435521368	0.043	0.002	4.39E-12	RIR	Ccr5
Samhd1	1.84E-16	2.373889517	0.064	0.013	4.49E-12	RIR	Samhd1
Spock1	1.98E-16	-1.384529183	0.034	0.082	4.83E-12	RIR	Spock1
Vasp	2.31E-16	1.300759919	0.132	0.059	5.64E-12	RIR	Vasp
Sdc3	3.53E-16	1.193421567	0.096	0.033	8.60E-12	RIR	Sdc3
Csf2rb	4.02E-16	4.633146578	0.043	0.002	9.81E-12	RIR	Csf2rb
Arhgap30	4.06E-16	10.19733869	0.038	0	9.90E-12	RIR	Arhgap30
Zeb2	4.25E-16	0.697905075	0.152	0.073	1.04E-11	RIR	Zeb2
Rpl5	4.55E-16	0.497623119	0.319	0.212	1.11E-11	RIR	Rpl5
