"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","geneRatio","Regions"
"GO:0031214","GO:0031214","biomineral tissue development","4/11","191/28928",0.0209424083769634,55.0747263207996,14.6238499612587,5.8611306482796e-07,0.000266095331431894,9.06932847681159e-05,"Gpnmb/Grem1/Igf1/Ptn",4,0.363636363636364,"Iris"
"GO:0048771","GO:0048771","tissue remodeling","4/11","222/28928",0.018018018018018,47.3841113841114,13.5310285611484,1.06799453838051e-06,0.000314528234478719,0.000107200673471764,"Gpnmb/Grem1/Igf1/Ptn",4,0.363636363636364,"Iris"
"GO:0043542","GO:0043542","endothelial cell migration","4/11","237/28928",0.0168776371308017,44.3851169927119,13.0801741445661,1.3855869360296e-06,0.000314528234478719,0.000107200673471764,"Dcn/Grem1/Igf1/Ptn",4,0.363636363636364,"Iris"
"GO:2000177","GO:2000177","regulation of neural precursor cell proliferation","3/11","137/28928",0.0218978102189781,57.5872594558726,12.9485754905787,1.66756596815283e-05,0.00252358316513795,0.000860112973047249,"Dct/Igf1/Ptn",3,0.272727272727273,"Iris"
"GO:0055007","GO:0055007","cardiac muscle cell differentiation","3/11","164/28928",0.0182926829268293,48.1064301552106,11.7991005032206,2.85495144103048e-05,0.00347320381510261,0.00118377222541174,"Grem1/Igf1/Myh11",3,0.272727272727273,"Iris"
"GO:0010594","GO:0010594","regulation of endothelial cell migration","3/11","181/28928",0.0165745856353591,43.5881466599699,11.2099373854704,3.83107958542952e-05,0.00347320381510261,0.00118377222541174,"Dcn/Igf1/Ptn",3,0.272727272727273,"Iris"
"GO:0035051","GO:0035051","cardiocyte differentiation","3/11","203/28928",0.0147783251231527,38.8643081056874,10.5589187620494,5.38980776909061e-05,0.00349567532452448,0.00119143119106213,"Grem1/Igf1/Myh11",3,0.272727272727273,"Iris"
"GO:0070374","GO:0070374","positive regulation of ERK1 and ERK2 cascade","3/11","227/28928",0.013215859030837,34.7553063676412,9.95813228487891,7.51065886888627e-05,0.00393914173931673,0.00134257787080816,"Acta2/Gpnmb/Igf1",3,0.272727272727273,"Iris"
"GO:0061351","GO:0061351","neural precursor cell proliferation","3/11","230/28928",0.0130434782608696,34.301976284585,9.88961835881014,7.8088712893944e-05,0.00393914173931673,0.00134257787080816,"Dct/Igf1/Ptn",3,0.272727272727273,"Iris"
"GO:0007272","GO:0007272","ensheathment of neurons","11/28","203/28928",0.0541871921182266,55.9831104855735,24.4697254907903,2.99142745226995e-17,9.25846796477551e-15,5.71520086933681e-15,"Bcas1/Cldn11/Mag/Mbp/Mobp/Plp1/Ptn/S100b/Trf/Tspan2/Ugt8a",11,0.392857142857143,"Optic Nerve"
"GO:0008366","GO:0008366","axon ensheathment","11/28","203/28928",0.0541871921182266,55.9831104855735,24.4697254907903,2.99142745226995e-17,9.25846796477551e-15,5.71520086933681e-15,"Bcas1/Cldn11/Mag/Mbp/Mobp/Plp1/Ptn/S100b/Trf/Tspan2/Ugt8a",11,0.392857142857143,"Optic Nerve"
"GO:0042063","GO:0042063","gliogenesis","12/28","417/28928",0.0287769784172662,29.7307297019527,18.3945958719558,1.69909325166925e-15,3.5057957426109e-13,2.16410824686295e-13,"Cnp/Enpp2/Gfap/Gpr37l1/Mag/Mobp/Opalin/Plp1/Ptn/Trf/Tspan2/Vim",12,0.428571428571429,"Optic Nerve"
"GO:0042552","GO:0042552","myelination","10/28","200/28928",0.05,51.6571428571429,22.3761201381562,2.34261992487722e-15,3.62520433374749e-13,2.23781850718534e-13,"Bcas1/Mag/Mbp/Mobp/Plp1/Ptn/S100b/Trf/Tspan2/Ugt8a",10,0.357142857142857,"Optic Nerve"
"GO:0010001","GO:0010001","glial cell differentiation","11/28","309/28928",0.0355987055016181,36.7785483125289,19.681424107731,3.15889396819444e-15,3.91071073262472e-13,2.41406002200965e-13,"Cnp/Enpp2/Gfap/Gpr37l1/Mag/Mobp/Opalin/Plp1/Ptn/Tspan2/Vim",11,0.392857142857143,"Optic Nerve"
"GO:0048709","GO:0048709","oligodendrocyte differentiation","8/28","135/28928",0.0592592592592593,61.2232804232804,21.8307987468144,5.23939947964789e-13,5.40531379650340e-11,3.33667019493366e-11,"Cnp/Enpp2/Mag/Mobp/Opalin/Plp1/Ptn/Tspan2",8,0.285714285714286,"Optic Nerve"
"GO:0014013","GO:0014013","regulation of gliogenesis","7/28","144/28928",0.0486111111111111,50.2222222222222,18.4309907821943,7.09272871752184e-11,6.27199868020859e-09,3.87166996159463e-09,"Enpp2/Gfap/Gpr37l1/Mag/Ptn/Trf/Vim",7,0.25,"Optic Nerve"
"GO:0014015","GO:0014015","positive regulation of gliogenesis","6/28","94/28928",0.0638297872340425,65.9452887537994,19.630932234755,3.56028540619166e-10,2.7547708330408e-08,1.7005047400626e-08,"Enpp2/Gfap/Mag/Ptn/Trf/Vim",6,0.214285714285714,"Optic Nerve"
"GO:0048708","GO:0048708","astrocyte differentiation","6/28","97/28928",0.0618556701030928,63.9057437407953,19.3164852856987,4.31247378039501e-10,2.96602363340501e-08,1.83090992079929e-08,"Gfap/Gpr37l1/Mag/Plp1/Tspan2/Vim",6,0.214285714285714,"Optic Nerve"
"GO:0021782","GO:0021782","glial cell development","6/28","147/28928",0.0408163265306122,42.1690962099125,15.5761045179681,5.33822219647923e-09,3.30435953962064e-07,2.03976279718101e-07,"Gfap/Mag/Mobp/Plp1/Tspan2/Vim",6,0.214285714285714,"Optic Nerve"
"GO:0008088","GO:0008088","axo-dendritic transport","3/17","94/28928",0.0319148936170213,54.3078848560701,12.5530001020189,2.18598028209881e-05,0.00467799780369146,0.00237006283217029,"Kif5a/Nefl/Nefm",3,0.176470588235294,"GCL"
"GO:0050803","GO:0050803","regulation of synapse structure or activity","4/17","398/28928",0.0100502512562814,17.1019804906887,7.84358392799294,7.28883632742653e-05,0.00762126215939673,0.00386123955935988,"Nefl/Nrn1/Slc17a6/Sparcl1",4,0.235294117647059,"GCL"
"GO:0010970","GO:0010970","transport along microtubule","3/17","190/28928",0.0157894736842105,26.8681114551084,8.67476773268061,0.000177205352240546,0.0108348415369934,0.0054893688062485,"Kif5a/Nefl/Nefm",3,0.176470588235294,"GCL"
"GO:0030705","GO:0030705","cytoskeleton-dependent intracellular transport","3/17","212/28928",0.0141509433962264,24.0799112097669,8.1787078192546,0.000244607688628225,0.01308651134161,0.00663015577071241,"Kif5a/Nefl/Nefm",3,0.176470588235294,"GCL"
"GO:0099111","GO:0099111","microtubule-based transport","3/17","243/28928",0.0123456790123457,21.0079883805374,7.59492934185966,0.000364904949523328,0.0164830137952605,0.00835096124403263,"Kif5a/Nefl/Nefm",3,0.176470588235294,"GCL"
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","3/17","317/28928",0.00946372239747634,16.103915383188,6.55688033857178,0.000790897413512894,0.019324156754158,0.00979039914253947,"Nsg1/Slc17a6/Sncg",3,0.176470588235294,"GCL"
"GO:0050807","GO:0050807","regulation of synapse organization","3/17","390/28928",0.00769230769230769,13.089592760181,5.82876854412606,0.0014367701006012,0.0241088497740317,0.0122145180852202,"Nefl/Nrn1/Sparcl1",3,0.176470588235294,"GCL"
"GO:0007612","GO:0007612","learning","5/28","206/28928",0.0242718446601942,25.0762829403606,10.794375006418,1.5003580972938e-06,0.00085970518974935,0.000396410402548153,"Adgrb3/Gabrb3/Nrxn3/Slc6a1/Syt11",5,0.178571428571429,"INL"
"GO:0007416","GO:0007416","synapse assembly","5/28","304/28928",0.0164473684210526,16.9924812030075,8.7250770574581,9.99589614188427e-06,0.00286382424464984,0.00132051049032261,"Adgrb3/Gabrb3/Mdga2/Nrxn3/Ptprd",5,0.178571428571429,"INL"
"GO:0007611","GO:0007611","learning or memory","5/28","356/28928",0.0140449438202247,14.5104333868379,7.98372833901026,2.13693066600969e-05,0.00288065967428456,0.0013282733135766,"Adgrb3/Gabrb3/Nrxn3/Slc6a1/Syt11",5,0.178571428571429,"INL"
"GO:0097106","GO:0097106","postsynaptic density organization","3/28","59/28928",0.0508474576271186,52.5326876513317,12.3331700905218,2.54580464744786e-05,0.00288065967428456,0.0013282733135766,"Dlg2/Nrxn3/Ptprd",3,0.107142857142857,"INL"
"GO:0050890","GO:0050890","cognition","5/28","401/28928",0.0124688279301746,12.8820805130032,7.45793198181417,3.77258368051616e-05,0.00288065967428456,0.0013282733135766,"Adgrb3/Gabrb3/Nrxn3/Slc6a1/Syt11",5,0.178571428571429,"INL"
"GO:0035176","GO:0035176","social behavior","3/28","71/28928",0.0422535211267606,43.6539235412475,11.2006793061033,4.44119296925017e-05,0.00288065967428456,0.0013282733135766,"Gabrb3/Gad1/Nrxn3",3,0.107142857142857,"INL"
"GO:0051932","GO:0051932","synaptic transmission, GABAergic","3/28","73/28928",0.0410958904109589,42.4579256360078,11.0392673442479,4.8266438996457e-05,0.00288065967428456,0.0013282733135766,"Gabrb3/Grik1/Slc6a1",3,0.107142857142857,"INL"
"GO:0099084","GO:0099084","postsynaptic specialization organization","3/28","73/28928",0.0410958904109589,42.4579256360078,11.0392673442479,4.8266438996457e-05,0.00288065967428456,0.0013282733135766,"Dlg2/Nrxn3/Ptprd",3,0.107142857142857,"INL"
"GO:0051703","GO:0051703","biological process involved in intraspecies interaction between organisms","3/28","74/28928",0.0405405405405405,41.8841698841699,10.9609910326896,5.02732927449312e-05,0.00288065967428456,0.0013282733135766,"Gabrb3/Gad1/Nrxn3",3,0.107142857142857,"INL"
"GO:0015800","GO:0015800","acidic amino acid transport","3/28","86/28928",0.0348837209302326,36.0398671096345,10.1293314408005,7.87538321331306e-05,0.00356551601318375,0.00164406084193832,"Grik1/Slc1a3/Slc6a1",3,0.107142857142857,"INL"
"GO:0006836","GO:0006836","neurotransmitter transport","4/28","240/28928",0.0166666666666667,17.2190476190476,7.85348874590531,8.08930334579211e-05,0.00356551601318375,0.00164406084193832,"Cadps/Nrxn3/Slc6a1/Syt11",4,0.142857142857143,"INL"
"GO:0007601","GO:0007601","visual perception","13/20","162/28928",0.0802469135802469,116.069135802469,38.6308525949194,2.44263618545222e-25,3.25655100964122e-23,1.42831184633387e-23,"Gnat1/Guca1b/Pdc/Pde6a/Pde6b/Pde6g/Pde6h/Prph2/Rcvrn/Rho/Rom1/Rs1/Slc24a1",13,0.65,"ONL"
"GO:0050953","GO:0050953","sensory perception of light stimulus","13/20","166/28928",0.0783132530120482,113.272289156627,38.1570466815235,3.39224063504293e-25,3.25655100964122e-23,1.42831184633387e-23,"Gnat1/Guca1b/Pdc/Pde6a/Pde6b/Pde6g/Pde6h/Prph2/Rcvrn/Rho/Rom1/Rs1/Slc24a1",13,0.65,"ONL"
"GO:0009583","GO:0009583","detection of light stimulus","10/20","52/28928",0.192307692307692,278.153846153846,52.6152620410149,2.55459334137499e-23,1.63493973848e-21,7.17078832666665e-22,"Aipl1/Gnat1/Gnb1/Gngt1/Guca1b/Pde6b/Prph2/Rcvrn/Rho/Rom1",10,0.5,"ONL"
"GO:0009582","GO:0009582","detection of abiotic stimulus","10/20","142/28928",0.0704225352112676,101.859154929577,31.6903115849905,1.04258188540089e-18,4.30317214323131e-17,1.88735620317163e-17,"Aipl1/Gnat1/Gnb1/Gngt1/Guca1b/Pde6b/Prph2/Rcvrn/Rho/Rom1",10,0.5,"ONL"
"GO:0009581","GO:0009581","detection of external stimulus","10/20","143/28928",0.0699300699300699,101.146853146853,31.577655447211,1.12061774563315e-18,4.30317214323131e-17,1.88735620317163e-17,"Aipl1/Gnat1/Gnb1/Gngt1/Guca1b/Pde6b/Prph2/Rcvrn/Rho/Rom1",10,0.5,"ONL"
"GO:0007602","GO:0007602","phototransduction","7/20","28/28928",0.25,361.6,50.2126901401281,2.70837277051808e-17,8.66679286565787e-16,3.80122494107801e-16,"Aipl1/Gnat1/Gnb1/Gngt1/Guca1b/Rcvrn/Rho",7,0.35,"ONL"
"GO:0009416","GO:0009416","response to light stimulus","10/20","346/28928",0.0289017341040462,41.8034682080925,20.0838279976239,8.74456146868958e-15,2.39850828855486e-13,1.0519773195416e-13,"Aipl1/Gnat1/Gnb1/Gngt1/Guca1b/Pde6b/Prph2/Rcvrn/Rho/Rom1",10,0.5,"ONL"
"GO:0009314","GO:0009314","response to radiation","10/20","474/28928",0.0210970464135021,30.5147679324895,17.0417642320605,2.02570289386094e-13,4.86168694526625e-12,2.13231883564309e-12,"Aipl1/Gnat1/Gnb1/Gngt1/Guca1b/Pde6b/Prph2/Rcvrn/Rho/Rom1",10,0.5,"ONL"
"GO:0060041","GO:0060041","retina development in camera-type eye","8/20","217/28928",0.0368663594470046,53.3235023041475,20.3498019068596,1.02694303520343e-12,2.19081180843399e-11,9.60882372120173e-12,"Gnat1/Gnb1/Pde6a/Pde6b/Prph2/Rho/Rom1/Rs1",8,0.4,"ONL"
"GO:0001654","GO:0001654","eye development","9/20","473/28928",0.0190274841437632,27.5213530655391,15.2969421798044,1.10899700556857e-11,2.04790642313409e-10,8.98204571550039e-11,"Gnat1/Gnb1/Gngt1/Pde6a/Pde6b/Prph2/Rho/Rom1/Rs1",9,0.45,"ONL"
"GO:0150063","GO:0150063","visual system development","9/20","476/28928",0.0189075630252101,27.3478991596639,15.2458183713149,1.17327972158724e-11,2.04790642313409e-10,8.98204571550039e-11,"Gnat1/Gnb1/Gngt1/Pde6a/Pde6b/Prph2/Rho/Rom1/Rs1",9,0.45,"ONL"
"GO:0002088","GO:0002088","lens development in camera-type eye","13/18","97/28928",0.134020618556701,215.386025200458,52.7735598959096,2.47630378807407e-29,8.96421971282812e-27,5.23933748845145e-27,"Bfsp2/Cryaa/Cryab/Cryba1/Cryba2/Cryba4/Crybb1/Crybb2/Crybb3/Crygs/Gja8/Lim2/Mip",13,0.722222222222222,"Len"
"GO:0043010","GO:0043010","camera-type eye development","14/18","423/28928",0.033096926713948,53.190438665616,26.9814020047703,4.78485430925607e-23,8.66058629975348e-21,5.06187219031826e-21,"Bfsp2/Col4a1/Cryaa/Cryab/Cryba1/Cryba2/Cryba4/Crybb1/Crybb2/Crybb3/Crygs/Gja8/Lim2/Mip",14,0.777777777777778,"Len"
"GO:00016541","GO:0001654","eye development","14/18","473/28928",0.0295983086680761,47.5677707305614,25.4800706587598,2.32485725665749e-22,2.26220883101349e-20,1.32219824086569e-20,"Bfsp2/Col4a1/Cryaa/Cryab/Cryba1/Cryba2/Cryba4/Crybb1/Crybb2/Crybb3/Crygs/Gja8/Lim2/Mip",14,0.777777777777778,"Len"
